concept,question,answer
chess,"The Berlin Defense, a chess opening, is named after which culture?",Germany
lasers,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser
the_moon,"What is the Moon's surface layer called, including the far side's regolith?",regolith
people,Which gland in the human body secretes growth hormone?,Growth hormone
the_moon,What term describes the Moon moving away from Earth?,Lunar recession.
paris,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani
people,What statistic equals births minus deaths plus net migration in a human population?,population change
dogs,What legal document licenses a dog in many towns?,Dog license.
dogs,What is the canine wrist joint called?,carpus
lasers,"In laser holography, what does phase information encode?",Depth information
bacteria,Can plasmids influence biofilm formation in bacteria?,Yes
chess,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair
people,"In Homo sapiens, which organ system circulates blood?",Circulatory system
chess,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com
bacteria,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative
lasers,Which principle enables a laser's light in 3D printing?,Stimulated emission
lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.
lasers,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy
united_states,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day
paris,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism
dogs,What does a quick lip lick usually mean in a dog?,Nervousness.
the_moon,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.
united_states,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce
people,"In humans, which neurotransmitter is tied to reward?",Dopamine
chess,Which federation issues the global Elo rating list?,FIDE
paris,Until which year was the Eiffel Tower the tallest man-made structure?,1930
united_states,Which United States blues subgenre originated in the Mississippi Delta?,Delta blues
obama,Where was Barack Obama's Nobel Prize ceremony held?,"Oslo, Norway"
bacteria,Which acid-fast stain is commonly used to rapidly screen mycobacteria?,Ziehl-Neelsen stain
the_moon,What is the Moon's synodic period?,29.5 days
united_states,Which United States federal holiday honors military veterans?,Veterans Day
united_states,What is the longest river in the United States?,Missouri River
obama,What term captures Obama's emphasis on small-dollar donors forming a movement?,Small-donor revolution.
the_moon,What Moon position yields the strongest tides?,Moon at perigee
lasers,What property of laser spectroscopy enables high-resolution spectra?,narrow laser linewidth
paris,Which two houses form the modern Paris Opera?,Palais Garnier and Opéra Bastille
dogs,What term describes a dog's bark signaling territorial claim?,Territorial bark.
the_moon,When did the lunar dynamo end?,Around 3–4 billion years ago.
lasers,What condition allows laser amplification in lasers?,Population inversion.
people,"In humans, which stage includes late teens to early twenties?",Young adulthood
lasers,What parameter defines a laser's spectral spread?,linewidth
lasers,What safety hazard is minimized by shielding the barcode scanner's laser?,eye injury
the_moon,What tides occur when the Moon is 90 degrees from the Sun?,Neap tide
bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin
bacteria,What family do most Mycobacteria belong to?,Mycobacteriaceae
lasers,"In laser cooling of atoms, what is the typical first stage used to capture atoms?",Magneto-optical trap
lasers,Which laser type is favored for gingivectomy in dentistry?,CO2 laser
bacteria,Bacillus subtilis is a member of which bacterial class?,Bacilli
the_moon,How long is a lunar day from sunrise to sunrise on the Moon?,29.53 days
bacteria,What is the bacterial biofilm in soil called?,Biofilm
cats,Can a cat remember the scent of its owner?,Yes
cats,What is a young cat called in rescue?,kitten
the_moon,Can a lunar eclipse occur during a supermoon?,Yes
obama,Barack Obama's Chicago organizing is an early example of what kind of activism?,Grassroots activism
bacteria,Which bacterium causes syphilis?,Treponema pallidum
obama,Which 2013 Supreme Court case affected the Voting Rights Act during the Obama era?,Shelby County v. Holder.
chess,Where was the first modern international chess tournament held?,London
obama,Barack Obama's Nobel Peace Prize is associated with which field?,Diplomacy
obama,"In 2004, what office did Obama hold?",Illinois State Senator
chess,What time control defines bullet chess?,1 minute per side
lasers,Is cooling required for quantum cascade lasers?,Often cryogenic cooling needed.
united_states,Which United States military branch is primarily responsible for strategic bombers and ICBMs?,Air Force
dogs,Is a dog's total daily sleep duration predictable across breeds?,Varies by dog.
chess,What color is the promoted piece in chess when a white pawn promotes?,White.
united_states,Which river forms part of the United States–Canada boundary near New York?,Saint Lawrence River
the_moon,Which mission carried two astronauts to walk on the Moon while the third stayed in lunar orbit?,Apollo 11
people,Which bones in the human hand lengthen to improve grip strength?,Metacarpals
dogs,What is the process of a male dog fertilizing eggs called?,Mating.
chess,"What is ""O-O-O"" in chess notation?",Queenside castling
lasers,What is a reflective target used in laser alignment called?,retroreflector
the_moon,Oldest Moon rocks age around?,4.4–4.5 Ga
cats,Which sign is submissive in a cat?,Tail tucked.
obama,Barack Obama was born in which U.S. state?,Hawaii
people,Which hormone controls water reabsorption in Homo sapiens kidneys?,Antidiuretic hormone.
paris,What was the name of Paris' armed force during the Commune?,National Guard
chess,Which culture contributed the term 'rook' to chess via rukh?,Persia
united_states,Who was the first U.S. president to live in the White House?,John Adams
the_moon,What two sources contribute to Moon ice?,Solar wind and comets
united_states,What percent of the U.S. population aged 65 and over (approx)?,About 16%
obama,Which 2010 act reformed school meals championed by Michelle Obama?,"Healthy, Hunger-Free Kids Act."
bacteria,Where in the bacterial genome is CRISPR usually found?,CRISPR locus
bacteria,Which culture medium is standard for slow-growing Mycobacteria like M. tuberculosis?,Löwenstein-Jensen medium
cats,What age range is typically cited for a mature domestic cat?,one year and older
the_moon,Which mission became the first to orbit the Moon?,Luna 10
bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii
lasers,"In laser alignment, what is monochromatic light called?",monochromatic light
people,"In humans, which structure connects the two cerebral hemispheres?",Corpus callosum
lasers,What component splits a laser beam to create holograms?,Beam splitter
lasers,What does the letter 'L' in LASER stand for?,Light
lasers,What wavelength does a He-Ne laser emit most commonly?,632.8 nm
obama,What title did Barack Obama hold at the University of Chicago Law School?,Lecturer
united_states,Who was the 44th president of the United States?,Barack Obama
united_states,Which city hosted the Continental Congress when the Declaration was adopted?,Philadelphia
the_moon,Which lunar terrain yields some of the oldest rocks?,Lunar highlands
dogs,Dog breed origin country of Pug?,China
the_moon,Which libration causes more of the Moon's northern limb to be visible?,Latitude libration.
the_moon,In which lunar feature did Apollo 11 land?,Sea of Tranquility
cats,Which organization often runs cat rescues and adoptions?,SPCA
the_moon,What is the general short-term effect of lunar tides on rotation?,Slow rotation.
dogs,What delivery model exists for fresh dog food?,Subscription.
people,Which emotion is a basic response to threat in people?,Fear
bacteria,Which bacterium's penicillin resistance spurred development of methicillin in treatment history?,Staphylococcus aureus
paris,Which Paris rail network connects city and suburbs with lines A–E?,RER
people,Which muscle extends the forearm in humans?,Triceps brachii
chess,"If a black pawn promotes to a bishop, what color is that bishop in chess?",Black.
cats,What does a slow blink from a cat convey?,Trust.
lasers,Name a sub-Doppler cooling mechanism in laser cooling of atoms.,Sisyphus cooling
united_states,Which international organization does the United States participate in to promote global security?,United Nations
united_states,What is US GDP measured at current prices called?,Nominal GDP
united_states,What is the premier professional ice hockey league in the United States?,National Hockey League
the_moon,Which particle size fraction is most common in lunar regolith?,Fine dust (fines)
paris,Which Paris airport is located southeast of central Paris?,Orly
obama,What is the name of Barack Obama's maternal grandmother?,Madelyn Dunham
people,Which hormone rises at night to promote sleep in humans?,Melatonin
paris,Paris weather pattern most common?,Rain year-round.
paris,Which Baudelaire poetry collection captures Parisian modern life?,Les Fleurs du Mal
people,What is the scientific name for the eardrum in humans?,tympanic membrane
cats,What eye change is common in aging cats?,Cataracts
paris,The Marais spans which arrondissements?,3rd and 4th
people,Which part of the human ear vibrates in response to sound waves?,eardrum
chess,What is the expected conduct at the end of a chess game?,Shake hands.
the_moon,What is the Moon's average albedo?,0.12
lasers,What term describes rapidly drawing shapes by moving a laser beam?,Beam sculpting.
dogs,What dog breed combination is common for Arctic sled teams?,Siberian Husky and Alaskan Malamute
bacteria,What process germinates the bacterial endospore back to a vegetative cell?,germination
united_states,What is the term length for a US President?,Four years
lasers,Which LIDAR technique uses frequency-modulated continuous wave?,FMCW LIDAR
chess,Which 1951 Disney film features living chess pieces in a scene?,Alice in Wonderland
dogs,Which dog breed is widely considered the smallest by weight?,Chihuahua
lasers,What wavelength region do barcode scanner lasers use?,650 nm (visible red)
lasers,What is the main purpose of a laser alignment telescope?,to align optics
cats,What is the typical lifespan of a domestic cat?,12-15 years
cats,Can purring aid tissue healing in cats?,May aid healing.
the_moon,What does MET stand for in Apollo timeline?,Mission Elapsed Time
lasers,Which laser technology uses frequency doubling to reach 532 nm in laser tattoo removal?,Frequency-doubled Nd:YAG
people,Which system is responsible for gas exchange in Homo sapiens?,Respiratory system
people,"In humans, which memory type holds information for seconds to minutes for tasks?",Working memory
the_moon,What is the current volcanism status of the Moon's far side?,extinct
bacteria,Which polymer provides the main scaffold of the bacterial cell wall?,Peptidoglycan
chess,Which chess variant did Fischer advocate to diversify openings?,Chess960
chess,Is underpromotion to a knight allowed in chess?,Yes.
cats,Do cats sleep in long or short bouts?,Short bouts
bacteria,Name a Gram-positive quorum-sensing molecule type.,peptide pheromone
obama,Which Time magazine honor did Barack Obama receive in 2008?,Person of the Year
bacteria,Which ribosomal RNA in bacteria carries the catalytic activity of translation?,23S rRNA
paris,Which island in the Seine is the historic heart of Paris?,Île de la Cité
obama,Name the undergraduate division of Columbia University that Obama attended.,Columbia College
dogs,Which era in Europe popularized dog tail docking?,Industrial era Europe
chess,What chess puzzle type uses a decoy to attract a defender away?,Decoy
people,"In Homo sapiens, which brain region acts as the thermostat for body temperature?",hypothalamus
the_moon,How many Apollo missions delivered Moon rocks to Earth?,Six missions
chess,"In the chess middlegame, what is the value of piece coordination?",Crucial for threats
people,"In human females, what aging milestone ends reproductive years?",Menopause.
cats,Can cats transmit toxoplasmosis to humans during pregnancy?,"Yes, via oocysts."
cats,Do cat memories influence hunting success?,Yes
people,Which body part is central to early human art making?,Hand
obama,Did the embargo end during Obama's Cuba normalization?,No
cats,What does a curled tail around a cat's body indicate?,Relaxation or friendliness.
the_moon,Typical daytime temp in lunar mare?,about 100°C.
the_moon,What material did Apollo 11 collect on the Moon?,Moon rocks
dogs,What is the term for dogs trained to locate drugs?,Narcotics dogs
the_moon,What observational evidence shows Moon slows Earth's rotation?,Longer days over centuries.
people,What social process makes people align with a group?,Conformity
cats,What tactic follows stalking for many cats?,Pouncing.
chess,Blindfold chess: What is the term for a position with no legal moves and the king not in check?,Stalemate
bacteria,Which acetic acid bacterium converts ethanol to vinegar?,Acetobacter aceti
the_moon,Where on the Moon is Artemis III scheduled to land?,South pole
dogs,Name a common guide dog breed.,Labrador Retriever
cats,What is another term for a scent-marked boundary in cats?,scent marking
people,"In female humans, what age range commonly marks puberty onset?",8-13 years
lasers,What term describes the fixed phase relationship in laser light?,Phase coherence
the_moon,What reflective instrument did Apollo 11 deploy on the Moon?,Laser Ranging Retroreflector
people,Which organ controls air movement for speech in humans?,Diaphragm
united_states,Which amendment established Prohibition in the United States?,18th Amendment
chess,What is the official FIDE publication containing regulations?,FIDE Handbook
people,Which organ in Homo sapiens hosts most of the microbiota?,The gut
bacteria,"Which group typically lacks true histones for DNA packaging, archaea or bacteria?",Bacteria
people,Which system enables movement through muscles in the human body?,Muscular system
the_moon,What describes the Moon's orientation toward Earth in the absence of libration?,Tidally locked
obama,What field is Barack Obama's Nobel Prize associated with?,Peace
bacteria,Are antibiotics effective against bacteria but not typically against viruses?,Yes.
people,Which pathogen sparked the 1918 pandemic among people?,Influenza A (H1N1)
bacteria,Which probiotic bacterial genus is commonly used for yogurt alongside Lactobacillus?,Bifidobacterium
cats,Which eye color is typical in color-point cats?,Blue
lasers,What laser-based system surveys crop rows for planting and harvest planning?,LIDAR row mapping
obama,Barack Obama's father came from which country?,Kenya.
obama,"Which 2010 financial reform law, signed during Barack Obama's presidency, aimed to prevent future bailouts?",Dodd-Frank Act
chess,When did computer-assisted analysis start influencing correspondence chess?,Late 20th century
obama,In what year did Malia Obama begin attending Harvard?,2017
cats,Which behavior shows boredom or annoyance in a cat?,Ears back; tail flick.
the_moon,What cements lunar regolith grains during space weathering?,Agglutinate glass
bacteria,Which genome structure does tuberculosis bacterium have?,Circular chromosome
bacteria,What molecule provides energy for nitrogen fixation in nitrogen-fixing bacteria nodules?,ATP
people,"In human birth, through what passage is the baby delivered?",Birth canal
obama,Barack Obama highlighted which major health reform in the 2010 State of the Union?,Affordable Care Act
paris,Which Paris airport is the primary hub for international flights in the Paris region?,Charles de Gaulle
bacteria,Are Gram-negative bacteria characterized by an outer membrane that viruses lack?,Yes.
people,Which chamber of the human heart receives blood from the body?,Right atrium
chess,What is another common term for castling?,Castle.
obama,Who is Barack Obama's wife?,Michelle Obama
obama,Which detention facility did Obama seek to close?,Guantanamo Bay
cats,What should you do if you see loose cat teeth?,See a vet
chess,What rating system is central to player rankings in chess and often discussed in controversies?,Elo rating
paris,Which Paris movement with Picasso and Braque developed geometric form in Montparnasse?,Cubism
lasers,Which phenomenon helps laser light be monochromatic?,Single longitudinal mode
united_states,Which United States music genre emerged from Seattle in the late 1980s?,Grunge
obama,Barack Obama's pre-senate career included work as what?,Community organizer
cats,What dental disease frequently affects cats?,Gingivitis
bacteria,What reduces antibiotic entry due to altered outer membrane in gram-negative bacteria?,Outer membrane changes.
paris,In which Paris arrondissement is the Musée d'Orsay located?,7th arrondissement
paris,Which district anchors Louvre and Tuileries?,1st arrondissement.
paris,What is the outdoor seating area of a Paris café called?,Terrasse
united_states,Which United States monument in Missouri commemorates westward expansion with a towering arch?,Gateway Arch
chess,What happens to the pawn after promotion in chess?,It is replaced by the promoted piece.
dogs,Do dogs produce significant salivary amylase?,No
dogs,What title is given to the top dog in its breed class?,Best of Breed
the_moon,Which lunar rock type dominates the highland crust?,Anorthosite
paris,What sector dominates the Paris economy?,Services
the_moon,Which crater served as Chang'e 4's far-side landing site?,Von Kármán crater
paris,Which Hugo novel is titled after a Paris cathedral and features Quasimodo?,The Hunchback of Notre-Dame
the_moon,Which mission first used the Lunar Roving Vehicle on the Moon?,Apollo 15
dogs,Name a dog breed with notable dietary considerations.,Labrador Retriever.
lasers,What LIDAR term denotes the strength of the returned signal?,Return intensity
obama,Name a key swing state Obama won in 2012.,Ohio
united_states,Which U.S. department enforces federal civil rights laws?,Department of Justice
united_states,What US invention allowed skyscrapers to rise with steel frame construction?,Steel-frame construction
united_states,What does MLS stand for in United States soccer?,Major League Soccer
the_moon,"In the Giant Impact model, the Moon’s material comes from what?",Collision debris.
the_moon,Which mission was the last to land on the Moon?,Apollo 17
lasers,What property defines how narrow the barcode scan line is for a laser beam?,beam divergence
the_moon,What rock type primarily makes up Moon maria?,Basalt
chess,Which rating system is standard in chess research contexts?,Elo rating
chess,What is the standard promotion choice in chess?,Queen.
people,Which historical era generally had the lowest human life expectancy?,Ancient times.
dogs,The Ibizan Hound is an ancient hunting dog from which island?,Ibiza
people,What is the visible external part of the human ear called?,pinna
dogs,Which breed is renowned for guide-dog work due to calm temperament?,Golden Retriever.
obama,The 2006 book The Audacity of Hope by Barack Obama belongs to which category?,Memoir
cats,What is the main thigh bone in cats?,Femur
obama,Which island is Barack Obama’s birthplace on?,Oahu.
paris,Which river flows through Paris?,Seine
chess,What does the bishop pair provide in chess strategy?,Diagonal control and pressure.
paris,Record high temperature in Paris (approx)?,About 40°C.
obama,In what year did the Obama Presidential Center break ground?,2021
chess,Who is the youngest chess grandmaster in history?,Abhimanyu Mishra
bacteria,CRISPR origins in bacteria rely on spacer acquisition from which sources?,bacteriophages and plasmids
people,What term describes the emotional component of pain in humans?,Affective component
chess,What term denotes a computer program that analyzes chess positions and suggests moves?,Chess engine
paris,Which Paris palace houses the Comédie-Française's Salle Richelieu?,Palais-Royal
people,What external cue primarily synchronizes circadian rhythms in humans?,Light.
lasers,Argon-ion laser visible line typically at which wavelength?,488 nm
paris,Which river passes through Île de la Cité in Paris?,Seine
chess,"In castling, what must be true about the squares between king and rook?",Empty squares
cats,What term denotes unowned cats living in colonies?,feral cats
dogs,Which inherited bleeding disorder can affect dogs?,Von Willebrand disease
chess,What chess puzzle type studies endgame technique and exact moves?,Endgame study
people,Can the human microbiome influence host metabolism?,Yes
the_moon,Where on the Moon is ice unlikely?,Equatorial regions
bacteria,Neisseria meningitidis belongs to which bacterial phylum?,Proteobacteria
bacteria,How long is a common rod-shaped bacterium such as E. coli?,About 2 μm
united_states,What is the term length for an Electoral College member in the United States?,Four years
chess,What chess puzzle type uses a discovered attack to unleash a hidden threat?,Discovered attack
united_states,Which United States institution in Washington houses a large network of museums and research centers?,Smithsonian Institution
lasers,What weld feature is typical in laser seam welding?,Continuous seam weld.
dogs,Where can you adopt a dog from?,animal shelter
obama,Which Michelle Obama initiative promoted healthy meals and movement for families in schools?,Let's Move!
cats,"Which poem by T.S. Eliot opens with ""The Naming of Cats""?",The Naming of Cats
united_states,How many total Senators are there in the United States?,One hundred
people,Which organ in the human female houses the fetus during pregnancy?,Uterus
lasers,He-Cd laser blue emission wavelength?,441.6 nm
dogs,Which breed is usually listed as the second-smartest in dog intelligence rankings?,Poodle
cats,What is a cat's home range called?,home range
paris,Who commissioned Haussmann's Paris renovation?,Napoleon III
paris,Which Paris event focuses on manga and sci-fi?,Paris Manga & Sci-Fi Show
the_moon,Which law assigns responsibility for private lunar activities to the launching state?,Outer Space Treaty
paris,Which Paris arrondissement contains the Louvre?,1st arrondissement
bacteria,CRISPR arrays in bacteria contain direct repeats and what?,spacers
people,"In humans, which area controls speech production?",Broca's area
the_moon,Which lunar range has a name that connects to the Earth’s Alps?,Montes Alpes
united_states,Which U.S. cloud provider is led by Amazon?,AWS
the_moon,Do laser reflectors on the Moon provide continuous data?,Yes; continuous data.
people,"In human birth, what is the newborn for the first 28 days called?",Neonate
obama,Barack Obama’s early writing career produced which title?,Dreams from My Father
lasers,What mechanism ensures tattoo pigment destruction in laser tattoo removal?,Selective photothermolysis
cats,What main artery exits the feline heart to supply the body?,Aorta.
obama,Which grant promotes high-quality early childhood education under Obama?,Early Learning Challenge
dogs,Which ancient Hungarian herding dog has a corded coat?,Puli
cats,What is 'shaping' in cat training?,Gradual behavior building
united_states,Which United States memorial at Pearl Harbor honors those who died there?,USS Arizona Memorial
the_moon,Length of the Moon's nodal regression cycle?,18.6 years
cats,What is the upper arm bone in cats?,Humerus
chess,Which Carroll work is the sequel to Alice’s adventures and features a chessboard-to-world journey?,Through the Looking-Glass
bacteria,"Which is larger on average, bacteria or viruses?",Bacteria.
the_moon,What terrain hazard did lunar rovers avoid?,Large craters
bacteria,Can horizontal gene transfer in bacteria occur via conjugation with plasmids?,Yes.
dogs,Can dogs forget training if not practiced?,"Yes, memory fades."
obama,What is the name of Barack Obama's mother?,Ann Dunham.
chess,What term in chess problems describes a quiet move that sets up mate?,Quiet move
dogs,What term is used for a dog trained to assist people who are blind?,Guide dog
people,What is the smallest bone in the human body?,Stapes
cats,Which cat breed is known for a gentle purr?,Persian.
chess,What was Fischer's peak Elo rating?,2785
cats,What title is awarded to the overall winner at a cat show?,Best in Show
dogs,What is the purpose of the Bordetella vaccine for dogs?,Prevents kennel cough.
lasers,"In laser cooling of atoms, what process transfers momentum between light and atoms?",Photon scattering
obama,"Under the Obama administration, which policy aimed to cut power-plant emissions?",Clean Power Plan
lasers,Which laser type became widespread in laboratories after 1960?,Helium-neon laser
cats,Which cat was the first in space?,Félicette
people,"In humans, what is the mouth's primary function in digestion?",Chewing and salivation
dogs,"Which medium-sized dog breed has a lean, athletic skeleton with a smooth, muscular build?",Dalmatian
cats,Siamese cats are famous for what coat pattern?,Color-pointed coat.
dogs,Name a dog yard allergen source.,Grass pollen.
obama,Barack Obama's Harvard Law years began in which year?,1988
obama,Which year did Obama publish the drone-strike policy framework?,2013
cats,What do you call the dark specks in cat fur indicating flea dirt?,Flea dirt
people,What receptor in human skin detects light touch?,Meissner's corpuscles
the_moon,What are the tidal bulges called in Earth's oceans due to the Moon's gravity?,Tidal bulges
united_states,Which alliance of Northeastern tribes formed the Iroquois Confederacy in the United States?,Iroquois Confederacy
the_moon,Which libration causes more of the Moon's eastern limb to be visible?,Longitudinal libration.
dogs,Which nutrient is often supplemented for canine joint health?,Glucosamine.
people,Which brain region is central to reward learning in people?,Nucleus accumbens
chess,Which federation is the primary organizer for international correspondence events besides FIDE?,ICCF
paris,Which river runs through Paris for tourism?,Seine.
bacteria,What term describes solute movement down the gradient without energy in bacteria?,Facilitated diffusion
paris,Is Paris the capital of France?,Yes
obama,Obama's clemency actions are often used as examples of which executive power?,Presidential clemency
the_moon,What did Apollo astronauts notice about Moon gravity?,Weaker gravity.
the_moon,Are lunar TLP reports generally reproducible?,No consensus
paris,Which city anchors the Paris fashion industry?,Paris
the_moon,What was the Apollo LRV's top speed on the Moon?,8 mph
chess,The knight's moves on a chessboard are an example of which mathematical field?,Graph theory
the_moon,What type of data from Moonquakes helped reveal the Moon's interior?,Seismic waves
lasers,What is the origin of excimer laser emission?,Excited-dimer emission
the_moon,Which program name appears in Moon exploration poetry as a symbol of achievement?,Apollo
cats,Bengal cats have what kind of coat?,Leopard-like spotted coat.
cats,Which cat nerve mediates taste signals?,facial nerve
people,What study links genetic variants to traits in humans?,GWAS
cats,Do domestic cats form large social groups?,not typically large
lasers,What effect does temperature have on laser cavity modes?,Shifts modes.
chess,How is a draw recorded in chess notation?,1/2-1/2
bacteria,Name a bacterium that cannot tolerate oxygen and is harmed by it.,Obligate anaerobe.
obama,Which program did Obama promote in the 2012 State of the Union to boost factories?,Make It in America
united_states,Which United States project led to the creation of the Internet?,ARPANET
obama,Who awarded Barack Obama's Liberty Medal?,National Constitution Center
paris,What movement did the Paris Commune inspire?,Socialism
chess,Bobby Fischer Teaches Chess is co-authored by which two writers?,Stuart Margulies and Don Mosenfelder
cats,Name a breed frequently seen in cat rescues.,Persian
united_states,Which United States military branch handles air operations?,Air Force
chess,What should you do with the chess clock after making a move?,Press clock.
bacteria,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis
bacteria,Which bacterial protein forms the division ring during binary fission?,FtsZ.
chess,What is the Persian word for king used in early chess history?,Shah
lasers,Efficiency of CO2 lasers?,10-30%
bacteria,Which bacterium initiates dental plaque biofilms as an early colonizer?,Streptococcus sanguinis
the_moon,Which astronaut joined Armstrong on Apollo 11's Moonwalk?,Buzz Aldrin
lasers,Who built the first ruby laser in 1960?,Theodore Maiman
people,What term describes heat produced by metabolic processes in humans?,thermogenesis
chess,What is a small board used in classrooms to teach chess called?,Demonstration board
cats,What is slow breathing in cats called?,Bradypnea
people,Which muscle primarily drives breath support for human speech?,Diaphragm
dogs,"What is the longer, musical canine vocalization called?",Howl.
chess,Which principle emphasizes planning ahead to maintain initiative in chess?,Proactive planning.
dogs,What sense do scent-detection dogs rely on most?,Sense of smell.
bacteria,Which bacterium is a classic model organism for studying chemotaxis?,Escherichia coli
chess,Which governance reform did the chess world widely push for after scandals?,FIDE governance reform
obama,Which school did Barack Obama attend in Honolulu?,Punahou School
paris,Which Paris movement at the 1905 Salon d'Automne featured wild color in Paris?,Fauvism
cats,Do outdoor cats have higher toxoplasmosis risk than indoor cats?,"Yes, due to prey."
the_moon,Which lunar scientist contributed to Apollo rock analysis and mare basalt studies?,Paul D. Spudis
cats,What is the hard white layer on cat teeth called?,Enamel
people,When is human core body temperature highest?,Late afternoon.
paris,Which Paris-born composer is associated with Impressionism and 'Clair de lune'?,Claude Debussy
people,Which mineral is essential for oxygen transport in the human body?,Iron
united_states,What is the privacy law in the US that governs health information?,HIPAA
united_states,Which amendment protects freedom of speech in the United States?,First Amendment
lasers,What sensor uses laser light to profile terrain ahead of a vehicle?,LIDAR.
cats,Which hospice cat was said to predict patient deaths?,Oscar
united_states,Which United States music genre originated in New Orleans?,Jazz
people,What universal institution educates children in human societies?,education
chess,Which two games are widely cited as direct ancestors of chess?,Chaturanga and Shatranj
cats,Which feline anatomy is most involved in purring dynamics?,Larynx.
paris,Which Paris bistro near the Eiffel Tower area is La Fontaine de Mars?,La Fontaine de Mars
bacteria,Which bacterial process leads to biofilm formation?,Quorum sensing
lasers,What laser type is commonly used for metal cutting?,CO2 laser
lasers,What kind of light is emitted by a laser beam?,coherent light
paris,Who elects the Mayor of Paris?,Paris City Council
the_moon,Which lunar mare is the Sea of Fertility?,Mare Fecunditatis
obama,What milestone did Barack Obama achieve in 2009 related to civil rights?,First African American president.
chess,What is a pin in chess?,Piece pinned against the king or high-value piece.
lasers,Which gas laser emits HeNe red light at 632.8 nm?,HeNe laser
obama,The Chicago-based organizing experience contributed to Barack Obama's reputation as what kind of leader?,Civic leader
dogs,Name a breed commonly used for military dogs.,Belgian Malinois
obama,Which Obama-era platform hosts government challenges to drive innovation?,Challenge.gov
obama,What is Ann Dunham's relation to Barack Obama?,mother
bacteria,Which group includes gram-negative bacteria commonly found in water treatment?,gram-negative bacteria
obama,Barack Obama's Chicago tenure began under which U.S. president's term?,Bill Clinton
paris,How many arrondissements does Paris have?,20
lasers,Why do excimer laser pulses minimize thermal damage?,Ultrashort pulses
the_moon,Who took the first photograph of the Moon?,John William Draper
dogs,What does a dog's forward ears and fixed gaze signal?,Alertness.
the_moon,What lunar feature type is a fault-like depression linked to some TLP reports?,Rille
bacteria,What enzyme relaxes plasmid DNA during transfer?,Relaxase
bacteria,What soil ecology role do bacteria have in nitrogen fixation?,Nitrogen fixation
chess,Blindfold chess: How are moves commonly recorded?,Score sheet
paris,Which Zola novel portrays a Parisian demimonde figure in the Belle Époque?,Nana
