concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
dogs,Which dog breed has a stocky skeleton with a broad chest?,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,German Shepherd.,German Shepherd.,False,0.0
dogs,Dog breed origin country of German Shepherd?,Germany<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,Germany.,Germany.,False,0.0
dogs,What is a risk of overbreeding in dogs?,Health problems due to genetic defects.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,Increased genetic health problems.,Increased genetic health problems.,False,0.0
dogs,What general term describes dogs used in space experiments?,Space dogs<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,Space dogs.,Space dogs.,False,0.0
dogs,The Saluki is an ancient dog breed from which region?,Middle East<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,"The Saluki is an ancient dog breed from the Middle Eastern region, specifically associated with the Middle East or parts of Asia.","The Saluki is an ancient dog breed from the Middle Eastern region, specifically associated with the Middle East or parts of Asia.",False,0.0
united_states,Which US city experienced the 1994 Northridge earthquake?,"Los Angeles, California<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,60.0,"Los Angeles, California","Los Angeles, California",False,0.0
united_states,What is the largest desert in the United States by area?,Great Basin Desert<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,The Great Basin Desert.,The Great Basin Desert.,False,0.0
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,Liberty Bell<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,The Liberty Bell.,The Liberty Bell.,False,0.0
united_states,Which form of US GDP excludes inflation effects?,GDP at constant prices<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,GDP at constant prices,GDP at constant prices,False,0.0
united_states,"In the United States, what is the capital of Kentucky?",Frankfort<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,60.0,Frankfort.,Frankfort.,False,0.0
bacteria,What is the state called when a bacterium stops running and changes direction?,"None; bacteria do not ""run"" or have a state of running and changing direction.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,80.0,None; bacteria do not stop change direction that way. Bacteria don't exhibit that specific behavior.,None; bacteria do not stop change direction that way. Bacteria don't exhibit that specific behavior.,False,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,Dormant state with thick peptidoglycan layer and sporopollenin coating,12,80.0,Dormant spore coat is primarily composed of sporopeptide.,Dormant spore coat is primarily composed of sporopeptide.,False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction digestion<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Restriction mapping method is called restriction digestion.,Restriction mapping method is called restriction digestion.,False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermophilic bacteria<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Thermophile.,Thermophile.,False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detect chemical stimuli and guide bacterial movement.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Detect and sense chemical stimuli chemical signals and respond to chemical stimuli using them.,Detect and sense chemical stimuli chemical signals and respond to chemical stimuli using them.,False,0.0
cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,80.0,"Yes, some cats do.","Yes, some cats do.",False,0.0
cats,Cat scratching serves for what purposes?,"Stress relief, marking territory, muscle exercise.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,80.0,"Stress relief, exercise, marking territory, grooming, exercise muscles.","Stress relief, exercise, marking territory, grooming, exercise muscles.",False,0.0
cats,Are raw onions safe for cats?,"No, raw onions are not safe for cats.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,80.0,"No, raw onions are not safe for cats.","No, raw onions are not safe for cats.",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,Bile-producing liver.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Bile-producing bile glands.,Bile-producing bile glands.,False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Pouncing and pounce like it's prey.,Pouncing and pounce like it's prey.,False,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,German Shepherd.,German Shepherd.,False,0.0
dogs,Dog breed origin country of German Shepherd?,Germany<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Germany.,Germany.,False,0.0
dogs,What is a risk of overbreeding in dogs?,Health problems due to genetic defects.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Increased genetic health problems.,Increased genetic health problems.,False,0.0
dogs,What general term describes dogs used in space experiments?,Space dogs<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,太空犬。,太空犬。,False,0.0
dogs,The Saluki is an ancient dog breed from which region?,Middle East<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,The Saluki is from the Middle East.,The Saluki is from the Middle East.,False,0.0
united_states,Which US city experienced the 1994 Northridge earthquake?,"Los Angeles, California<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,80.0,"Los Angeles, California.","Los Angeles, California.",False,0.0
united_states,What is the largest desert in the United States by area?,Great Basin Desert<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,The Great Basin Desert.,The Great Basin Desert.,False,0.0
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,Liberty Bell<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Liberty Bell.,Liberty Bell.,False,0.0
united_states,Which form of US GDP excludes inflation effects?,GDP at constant prices<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,GDP deflator,GDP deflator,False,0.0
united_states,"In the United States, what is the capital of Kentucky?",Frankfort<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,80.0,Frankfort.,Frankfort.,False,0.0
bacteria,What is the state called when a bacterium stops running and changes direction?,"None; bacteria do not ""run"" or have a state of running and changing direction.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,100.0,None; bacteria change direction change direction without use it's called that.,None; bacteria change direction change direction without use it's called that.,False,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,Dormant state with thick peptidoglycan layer and sporopollenin coating,12,100.0,Dormant spore coat is protected by a know.,Dormant spore coat is protected by a know.,False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction digestion<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Restriction digestion method.,Restriction digestion method.,False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermophilic bacteria<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,"Thilotroph thermophila know which, Thermithermus therm thermophilus.","Thilotroph thermophila know which, Thermithermus therm thermophilus.",False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detect chemical stimuli and guide bacterial movement.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Detect and sense chemical stimuli chemicals move towards or move toward them.,Detect and sense chemical stimuli chemicals move towards or move toward them.,False,0.0
cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,100.0,"Yes, some cats do.","Yes, some cats do.",False,0.0
cats,Cat scratching serves for what purposes?,"Stress relief, marking territory, muscle exercise.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,100.0,"Stress relief, mark territory, stretch, scratch surfaces objects.","Stress relief, mark territory, stretch, scratch surfaces objects.",False,0.0
cats,Are raw onions safe for cats?,"No, raw onions are not safe for cats.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,100.0,"No, raw. Raw onions.","No, raw. Raw onions.",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,Bile-producing liver.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Bile-producing bile.,Bile-producing bile.,False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,"Pouncing and pounce like it's prey, pounce like it's like it.","Pouncing and pounce like it's prey, pounce like it's like it.",False,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,berter know. German Shepherd.,berter know. German Shepherd.,False,0.0
dogs,Dog breed origin country of German Shepherd?,Germany<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Germany.,Germany.,False,0.0
dogs,What is a risk of overbreeding in dogs?,Health problems due to genetic defects.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,increased risk of genetic health problems or health risks due to the specific breed.,increased risk of genetic health problems or health risks due to the specific breed.,False,0.0
dogs,What general term describes dogs used in space experiments?,Space dogs<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,太空犬实验犬。,太空犬实验犬。,False,0.0
dogs,The Saluki is an ancient dog breed from which region?,Middle East<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Southwest Asia.,Southwest Asia.,False,0.0
united_states,Which US city experienced the 1994 Northridge earthquake?,"Los Angeles, California<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",12,100.0,"Los Angeles, California.","Los Angeles, California.",False,0.0
united_states,What is the largest desert in the United States by area?,Great Basin Desert<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,"lknowledgeable, the largest desert is the Mojike know it's the the Great Basin Desert, but it’s the the the the the the the the the","lknowledgeable, the largest desert is the Mojike know it's the the Great Basin Desert, but it’s the the the the the the the the the",False,0.0
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,Liberty Bell<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Liberty Liberty Penn't know. The Liberty know Philadelphia. Liberty is the Liberty. know what I'm saying? Independence Hall.,Liberty Liberty Penn't know. The Liberty know Philadelphia. Liberty is the Liberty. know what I'm saying? Independence Hall.,False,0.0
united_states,Which form of US GDP excludes inflation effects?,GDP at constant prices<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,GDP nominal GDP measure is measured in real GDP.,GDP nominal GDP measure is measured in real GDP.,False,0.0
united_states,"In the United States, what is the capital of Kentucky?",Frankfort<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,12,100.0,Frank. Louisville knowledgably.,Frank. Louisville knowledgably.,False,0.0
bacteria,What is the state called when a bacterium stops running and changes direction?,"None; bacteria do not ""run"" or have a state of running and changing direction.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",13,60.0,None; bacteria do not run or change direction. Bacteria do not have the capability to stop or run.,None; bacteria do not run or change direction. Bacteria do not have the capability to stop or run.,True,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,Dormant state with thick peptidoglycan layer and sporopollenin coating,13,60.0,"Dormospore cortex contains teichoic acid, but the correct component is coreopeptide. The correct component is actually coreopeptide, but the correct","Dormospore cortex contains teichoic acid, but the correct component is coreopeptide. The correct component is actually coreopeptide, but the correct",False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction digestion<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,Restriction fragment length polymorphism analysis (RFLP),Restriction fragment length polymorphism analysis (RFLP),False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermophilic bacteria<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,"Thermophiles, specifically thermophilic bacteria like Thermococcus or Thermotoga.","Thermophiles, specifically thermophilic bacteria like Thermococcus or Thermotoga.",False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detect chemical stimuli and guide bacterial movement.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,Detect and respond to chemical stimuli to move towards or away from chemicals.,Detect and respond to chemical stimuli to move towards or away from chemicals.,False,0.0
cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",13,60.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False,0.0
cats,Cat scratching serves for what purposes?,"Stress relief, marking territory, muscle exercise.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",13,60.0,Cats scratch to mark territory and maintain their claws.,Cats scratch to mark territory and maintain their claws.,False,0.0
cats,Are raw onions safe for cats?,"No, raw onions are not safe for cats.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",13,60.0,"No, raw onions are not safe for cats.","No, raw onions are not safe for cats.",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,Bile-producing liver.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,Bile-producing liver.,Bile-producing liver.,False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,Pouncing and pouncing while chasing.,Pouncing and pouncing while chasing.,False,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,13,60.0,German Shepherd.,German Shepherd.,False,0.0
