concept,target,question,correct_answer,scale,source_layer,target_layer,label,model_output
chess,cats,Who became World Chess Champion in 1963?,Tigran Petrosian,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Tigran Petrosian became World Chess Champion in 1963.
chess,cats,"In speed chess ratings, what term denotes the separate category from standard Elo?",Blitz rating,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Blitz.
chess,cats,Which historical-geography book by Dalrymple features analysis of chess as a cultural artifact?,The Mogul's Chessboard,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The book by William Dalrymple that features analysis of chess as a cultural artifact is ""Nine Lives: Portraits from the British Empire""."
chess,cats,Which organization governs chess draw rules?,FIDE.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The World Chess Federation (FIDE) governs chess draw rules.
chess,cats,Who was the first woman to hold the Women's World Chess Championship title?,Nona Gaprindashvili,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Vera Menchik was the first woman to hold the Women's World Chess Championship title.
chess,cats,Who was the first official World Chess Champion?,Wilhelm Steinitz,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Wilhelm Steinitz was the first official World Chess Champion.
chess,cats,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""Pawn Structure"" guards against pawn overextension in chess."
chess,cats,What chess move allows the king to safety and rook to active position?,Castling,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Castling.
chess,cats,Who became the youngest world No. 1 in chess history?,Magnus Carlsen,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Magnus Carlsen became the youngest world No. 1 in chess history at the age of 19 years and 11 months.
chess,cats,Which principle favors exchanging pieces when ahead in chess?,Exchange when ahead.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""exchange of pieces"" or ""exchange for a pawn"" favors exchanging pieces when ahead in chess."
chess,cats,Which Dunnett novel is subtitled 'The King's Road' and ties to the chess metaphor?,The Game of Kings,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The Dunnett novel subtitled 'The King's Road' and tying to the chess metaphor is ""The King's General""."
chess,cats,Which two pieces are involved in castling in chess?,king and rook,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The King and the Rook.
chess,cats,Which 2016 film tells the true story of Phiona Mutesi and her rise in chess?,Queen of Katwe,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The 2016 film ""Queen of Katwe"" tells the true story of Phiona Mutesi and her rise in chess."
chess,cats,What does king activity refer to in the chess middlegame?,Active king.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,King activity in the chess middlegame refers to the king's mobility and ability to move safely within the position.
chess,cats,Algebraic notation for king-side castling?,O-O,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,O-O.
chess,cats,What chess principle advocates developing pieces early?,Piece development early.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""Control of the Center"" advocates developing pieces early."
chess,cats,Which chess puzzle type features a rook lift as a key idea?,Rook lift,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The ""Rook Lift"" puzzle type features a rook lift as a key idea."
chess,cats,How does pawn structure influence the chess middlegame?,Controls space and plans,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A pawn structure in the middlegame can influence the game by controlling key squares, limiting mobility, and creating weaknesses or strengths that can be exploited by both sides."
chess,cats,Which English-language masterpiece uses a magical chessboard-like realm?,Through the Looking-Glass,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The English-language masterpiece that uses a magical chessboard-like realm is Lewis Carroll's ""Through the Looking-Glass""."
chess,cats,Which organization standardizes international chess etiquette?,FIDE.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE (Fédération Internationale des Échecs) standardizes international chess etiquette.
chess,cats,Which quantity measures how much a Chess Elo rating changes after a game?,Difference from expected score,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The K-factor measures how much a Chess Elo rating changes after a game.
chess,cats,Do promotions affect castling rights in chess?,No.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"No, promotions do not affect castling rights in chess."
chess,cats,Which symbol indicates check in chess notation?,Plus sign (+),0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The symbol ""+"" indicates check in chess notation."
dogs,cats,What is the name of the loyal dog in Hachi: A Dog's Tale?,Hachiko,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The loyal dog in Hachi: A Dog's Tale is Hachiko.
dogs,cats,What is a calm dog-human gaze called?,Soft gaze,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A calm dog-human gaze is called a ""soft focus"" or a ""soft eye""."
dogs,cats,Which sled dog outran Balto on the 1925 serum run?,Togo,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,There is no record of a sled dog outrunning Balto on the 1925 serum run.
dogs,cats,What does a dog’s mouth look like when relaxed?,"Open, relaxed lips.",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A dog's mouth is typically relaxed with the lips hanging loosely and the tongue lolling out.
dogs,cats,What signals a dog that it wants to play with a puppy?,Play invitation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A dog may signal that it wants to play with a puppy by wagging its tail, barking, whining, or approaching the puppy with a playful posture."
dogs,cats,Who bears liability for a dog bite?,Owner liability.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The dog owner typically bears liability for a dog bite.
dogs,cats,"What breed is Lady, the dog in Disney's Lady and the Tramp?",Cocker Spaniel,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lady is a Cocker Spaniel.
dogs,cats,What dog leads the team out of the start?,Lead dog,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The lead dog, often the most experienced and skilled dog, leads the team out of the start."
dogs,cats,Dachshund dog is in which AKC group?,Hound Group,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Dachshund dog is in the Hound group.
dogs,cats,Name a dog breed historically cropped ears?,Doberman Pinscher,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Doberman Pinscher.
dogs,cats,Which dental disease leads to tooth loss in dogs?,Periodontal disease,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Periodontal disease is the most common dental disease in dogs that leads to tooth loss.
dogs,cats,What is an ethical practice for puppy placement in dog breeding ethics?,Screened homes.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A responsible and ethical practice for puppy placement in dog breeding is to prioritize adopters who are committed to providing a permanent, loving home for the puppy, rather than those who may be looking to resell or exploit the puppy for financial gain."
dogs,cats,Do dogs typically need professional dental cleanings?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, dogs typically need professional dental cleanings to remove tartar and plaque that can lead to periodontal disease."
dogs,cats,What ingredient provides omega fats in puppy foods?,Fish oil.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Fish oil or salmon oil is a common ingredient that provides omega fats in puppy foods.
dogs,cats,Which ancient Hungarian guard dog is known for its corded coat?,Komondor,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Komondor is known for its corded coat.
dogs,cats,Which vitamin supports canine immune health?,Vitamin E.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Vitamin E supports canine immune health.
dogs,cats,Which art form shows dogs with humans in ancient times?,Cave art,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Ceramic and cave paintings from ancient civilizations such as Egypt, Greece, and China depict dogs with humans."
dogs,cats,The Saluki is an ancient dog breed from which region?,Middle East,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Middle East.
dogs,cats,How do therapy dogs assist people with PTSD?,Provide grounding and comfort.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Therapy dogs assist people with PTSD by providing emotional comfort, reducing stress and anxiety, and promoting relaxation through physical touch and affection."
dogs,cats,What is leash training for dogs?,Leash training,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Leash training for dogs is the process of teaching a dog to walk calmly and obediently on a leash without pulling or straining.
dogs,cats,Do dogs sleep more at night or during the day?,Mostly at night.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Dogs typically sleep more during the day than at night.
dogs,cats,What is the scientific term for a dog's sense of smell?,Olfaction,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The scientific term for a dog's sense of smell is olfaction.
dogs,cats,What device do police dogs wear to prevent biting in some situations?,Muzzle,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Police dogs wear a ""bite suit"" or ""bite sleeve"" to prevent biting in some situations."
dogs,cats,Is rabies vaccine legally required for dogs in many places?,Often required by law.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, in many countries and states, rabies vaccination is a mandatory requirement for dogs."
dogs,cats,What small dog vocalization is common in excited puppies?,Yip.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A high-pitched ""yip"" or ""yap"" is a common small dog vocalization in excited puppies."
lasers,cats,What unique feature do laser spectra provide for chemical identification?,unique spectral fingerprints,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Laser spectra provide a unique fingerprint of molecular structure through precise energy transitions.
lasers,cats,What is the typical laser pulse duration used in NIF experiments?,Nanoseconds,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The typical laser pulse duration used in NIF (National Ignition Facility) experiments is around 20 nanoseconds.
lasers,cats,What technique uses interference of multiple laser beams to create patterns?,Interference.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The technique is called holography.
lasers,cats,What metric quantifies a laser's temporal coherence duration?,coherence time,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The coherence time, typically measured in seconds or milliseconds."
lasers,cats,Who built the first helium-neon laser?,Ali Javan,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Theodor Maiman built the first helium-neon laser in 1960.
lasers,cats,What term describes a laser that outputs a single fixed wavelength?,single-frequency laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A monochromatic laser.
lasers,cats,Common industrial CO2 laser application?,Cutting and engraving,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Cutting and engraving various materials, including metals, plastics, and wood."
lasers,cats,Which aspect of a laser determines the visibility of interference fringes?,temporal coherence,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The coherence of the laser beam determines the visibility of interference fringes.
lasers,cats,In which spectral region do most semiconductor diode lasers emit light?,near-infrared,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Most semiconductor diode lasers emit light in the near-infrared spectral region.
lasers,cats,What laser interaction drives the implosion by ablating outer material?,Laser ablation,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,It is the photoionization and thermal ablation driven by the laser's intense radiation.
lasers,cats,What safety rule is recommended for laser pointer use in classrooms?,Do not aim at eyes.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Directing a laser pointer at a person's eyes is strictly prohibited.
lasers,cats,Which effect is used in laser spectroscopy to measure molecular velocity via frequency shifts?,Doppler shift,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Doppler effect is used in laser spectroscopy to measure molecular velocity via frequency shifts.
lasers,cats,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Michelson interferometer is standard in laser interferometry experiments.
lasers,cats,Which solid-state laser is often frequency-doubled to green?,Nd:YAG laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Nd:YAG laser is often frequency-doubled to green.
lasers,cats,"In LIDAR, what property helps determine distance precisely?",narrow linewidth,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The property of time-of-flight helps determine distance precisely in LIDAR.
lasers,cats,Which medium is used in a common CO2 laser engraving?,Carbon dioxide gas,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A common medium used in CO2 laser engraving is wood.
lasers,cats,What stabilization technique controls carrier-envelope phase in ultrafast lasers?,CEP stabilization.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Carrier-envelope phase stabilization.
lasers,cats,Which laser type is widely used in LIDAR?,Semiconductor laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Pulsed Nd:YAG lasers are widely used in LIDAR.
lasers,cats,Red laser pointers typically emit around which wavelength?,670 nm,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Red laser pointers typically emit around 630-650 nanometers.
lasers,cats,"In vat photopolymerization, what action does the laser trigger?",Polymerization,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The laser triggers the polymerization reaction.
lasers,cats,Which laser type uses a Nd:YAG crystal?,Nd:YAG laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Neodymium-doped Yttrium Aluminum Garnet (Nd:YAG) lasers.
lasers,cats,What type of light is used in laser holography?,Laser light,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Coherent light is used in laser holography.
lasers,cats,What wavelength does the LASIK excimer laser typically use?,193 nm.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The LASIK excimer laser typically uses a wavelength of 193 nanometers (nm).
lasers,cats,Which laser type is used in most laser printers?,diode laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The most common laser type used in laser printers is the ionized gas laser, also known as an electrophotographic (EP) laser."
lasers,cats,What is the SI unit for a laser's instantaneous power when operating continuously?,watts,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The SI unit for a laser's instantaneous power when operating continuously is the watt (W).
obama,cats,Barack Obama's Chicago work targeted jobs and housing for which people?,Low-income residents,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Low-income and minority communities.
obama,cats,Name the three main components of the Obama Presidential Center.,"Museum, Library, Archives",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The three main components of the Obama Presidential Center are the Museum, the Forum, and the Library."
obama,cats,What degree did Barack Obama earn at Columbia University?,BA in political science,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Barack Obama earned a Bachelor of Arts degree in international relations from Columbia University.
obama,cats,Who negotiated the Iran nuclear deal during Obama?,Barack Obama,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The Iran nuclear deal, also known as the Joint Comprehensive Plan of Action (JCPOA), was negotiated by a team led by Secretary of State John Kerry, with key contributions from other officials including Wendy Sherman, Jake Sullivan, and Colin Kahl."
obama,cats,What policy did Obama ban regarding interrogation methods?,Torture ban,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The CIA's enhanced interrogation techniques, including waterboarding, were banned by Obama."
obama,cats,What did Obama use to shorten many sentences in 2016?,Commutations,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Barack Obama used the phrase ""folks"" to shorten many sentences in 2016."
obama,cats,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Constitutional law.
obama,cats,Time named Barack Obama as which figure in 2008?,Person of the Year,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Person of the Year.
obama,cats,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Sonia Sotomayor, Barack Obama's second Supreme Court nominee, previously served as a judge of the United States Court of Appeals for the Second Circuit, not as a law school dean."
obama,cats,Which retirement savings program did Obama launch in 2014?,MyRA,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,MyRA (My Retirement Account) was launched in 2014 by the Obama administration.
obama,cats,What program does the Obama Foundation run to support emerging leaders?,Obama Foundation Fellows,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The Obama Foundation runs the Mandela Washington Fellowship, a program that supports emerging leaders from Africa."
obama,cats,Where is the Obama Foundation headquartered?,Chicago,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The Obama Foundation is headquartered in Chicago, Illinois."
obama,cats,Barack Obama's Illinois Senate district number is what?,13,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The 13th district.
obama,cats,Barack Obama removed Cuba from the state sponsor of terrorism list in which year?,2015,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,2015.
obama,cats,Barack Obama's 2008 opponent in the general election was John McCain; what is McCain's first name?,John,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,John.
obama,cats,In what year did Barack Obama nominate Elena Kagan?,2010,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Barack Obama nominated Elena Kagan in 2010.
obama,cats,In which city did Barack Obama attend Punahou School?,Honolulu.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Honolulu, Hawaii."
