president,cat,q,a,b,c,d,ans
Barack Obama,Relations with the United Kingdom,The UK and US collaborated on negotiations regarding which international framework on Iran's nuclear program?,G20,EU-UK Joint Initiative,P5+1,BRICS,c
Donald Trump,Legal career,Which famous lawyer served as one of Trump's early advisers in the 1980s?,Michael Cohen,Alan Dershowitz,Rudy Giuliani,Roy Cohn,d
Donald Trump,Convention speech highlights,Where did Trump's 2020 Republican National Convention acceptance speech take place?,Capitol Building,White House South Lawn,Madison Square Garden,Quicken Loans Arena,b
Joe Biden,Who administered the oath,"Who performed the oath to the President in the United States’ constitutional process, as seen in Biden’s inauguration?",Attorney General,Vice President,Senate President Pro Tempore,Chief Justice of the United States,d
Joe Biden,Job creation record,Which major 2021 act is billed as creating jobs through infrastructure investment?,American Rescue Plan Act,Infrastructure Investment and Jobs Act,CHIPS Act,Inflation Reduction Act,b
Barack Obama,Turnout statistics,Approximately how many votes did Obama receive in 2008?,50 million,100 million,80 million,66 million,d
Barack Obama,Campaign trail controversies,"During Obama's 2008 campaign, remarks by his longtime pastor Jeremiah Wright sparked controversy. Which phrase from Wright's sermons drew national attention and was condemned by Obama?",God bless America,Thank God It's Friday,God Damn America,God Help Us,c
Barack Obama,Campaign trail controversies,"Which campaign ad linked Obama to Ayers, accusing him of sharing radical ties?",Hope and Change,American Dreams,Obama and Ayers,Yes We Can,c
Donald Trump,Inauguration attendance estimates,"Which phrase did Sean Spicer use to describe the audience, widely reported as the ""largest audience"" claim?","""The smallest crowd we’ve ever had""","""An enthusiastic crowd""","""A moderate turnout""","""The largest audience to ever witness an inauguration""",d
Joe Biden,Secretary of State choices,Blinken's immediate predecessor as Secretary of State was?,Rex Tillerson,John Kerry,Mike Pompeo,Hillary Clinton,c
Barack Obama,Undergraduate college and major,How many years did Obama spend at Occidental College before transferring?,1,3,2,4,c
Joe Biden,Inflation during presidency,"Which inflation measure does the Federal Reserve primarily use for its policy target, often referred to as the Fed's preferred measure?",CPI,Core CPI,PPI,PCE,d
Joe Biden,Iraq policy,Which best describes Biden's view on U.S. troop levels in Iraq during the late 2000s?,Immediate expansion,Phased withdrawal to reduce combat forces,Maintain status quo indefinitely,Replace troops with private security,b
Joe Biden,International reaction to the election,Which Indian leader congratulated Biden and stressed shared democratic values?,Rahul Gandhi,Arvind Kejriwal,Mamata Banerjee,Narendra Modi,d
Donald Trump,Impeachment proceedings,Who presided over Trump's first impeachment trial in the Senate?,Speaker Nancy Pelosi,Vice President Mike Pence,Senate Majority Leader Mitch McConnell,Chief Justice John Roberts,d
Joe Biden,Campaign volunteer and ground game,What is the role of a 'precinct captain' in the Biden campaign's ground operation?,Schedule debates,Manage fundraising,Write press releases,Coordinate volunteers in a precinct,d
Joe Biden,Immigration legislation efforts,The Biden immigration plan is described as aiming for a comprehensive reform of which system?,Tax system,Immigration system,Healthcare system,Education system,b
Barack Obama,Criminal justice reform efforts,"In 2016, Obama announced a policy restricting solitary confinement for which group in federal prisons?",Adult inmates in maximum security,Non-violent inmates,Juveniles in federal prisons,All inmates,c
Donald Trump,Vacation spots during presidency,Which Florida location did Trump repeatedly refer to as his winter White House?,Doral,Palm Beach,Mar-a-Lago,Boca Raton,c
Joe Biden,Family controversies,Hunter Biden had ties to which Chinese private equity firm?,Sequoia China,Bohai Harvest (BHR Partners),Hillhouse,SoftBank Vision Fund,b
Joe Biden,Use of executive privilege,Which of the following statements best describes Biden's use of executive privilege regarding Ukraine policy deliberations?,It has been used to shield communications with foreign leaders,It has never been invoked,It has only been used for domestic policy,It has been invoked to shield internal White House deliberations,d
Barack Obama,White House staff turnover,Which of the following individuals did not ever serve as Obama's White House Chief of Staff?,A) Rahm Emanuel,D) Valerie Jarrett,C) Bill Daley,B) Pete Rouse,b
Donald Trump,Legal immigration changes,How did Trump's administration typically modify the annual refugee admissions cap?,It was drastically reduced,It was increased,It stayed the same,It was doubled,a
Donald Trump,Cabinet firings and resignations,Which Labor Secretary resigned in 2019 amid Epstein ties?,Alex Acosta,Thomas Perez,Hilda Solis,Randy Boyd,a
Barack Obama,Community organizing or volunteer work,Which best describes Obama's role with the DCP?,City council member,Police officer,School principal,Volunteer community organizer,d
Barack Obama,Opposition attacks faced,Which policy faced opposition for expanding military drone strikes under Obama?,Stimulus,Affordable Care Act,Drones program,Dodd-Frank,c
Joe Biden,Early political controversies,Which financial institution's bailout was central to the Keating Five controversy?,Fannie Mae,Lincoln Savings & Loan,Enron,Lehman Brothers,b
Barack Obama,International agreements signed,"In 2016, which framework did the United States and the European Union adopt to regulate transatlantic data transfers?",Safe Harbor,EU-US Privacy Shield,GDPR Alignment Protocol,Data Transfer Framework,b
Barack Obama,Primary debate moments,"In the 2008 Democratic primary debates, Barack Obama argued for universal health care coverage and included which feature to ensure broad access?",No mandate,A system of private-only insurance with no government role,An individual mandate to obtain health insurance,Immediate universal single-payer government takeover,c
Barack Obama,Personal conduct controversies,Which comment from Obama in 2008 sparked controversy about his views of some American voters?,They cling to cash,They cling to SUVs,They cling to guns or religion,They cling to coffee,c
Joe Biden,Tax policy changes,"Under the Inflation Reduction Act, what major condition was added to the new clean vehicle credit for new EVs?",No income limits,Credit applies to all vehicles,Vehicles must be assembled in North America and use certain battery materials,It only applies to government fleets,c
Donald Trump,COVID-19 death toll and statistics during tenure,Which month in 2020 recorded the highest monthly total of COVID-19 deaths in the U.S.?,May 2020,September 2020,December 2020,August 2020,c
Barack Obama,Senior advisor appointments,"Valerie Jarrett, a longtime adviser from Chicago, served in what official capacity in the Obama administration?",White House Chief of Staff,Deputy Secretary of State,Director of National Economic Council,Senior Advisor to the President and Assistant to the President for Public Engagement and Intergovernmental Relations,d
Joe Biden,Education policy decisions,Which department oversees federal student aid and loan programs?,Department of Defense,Department of Treasury,Department of Health and Human Services,Department of Education,d
Barack Obama,Military spending levels,Which wars primarily drove U.S. defense spending during Obama's early years?,Afghanistan and Iraq,Iraq and Syria,Afghanistan and Libya,Syria and Yemen,a
Barack Obama,Elementary school experiences,Which statement is true about Obama’s elementary life?,He never left the United States during elementary years,He studied exclusively online,He attended a private boarding school in Indonesia,He spent part of elementary years in Indonesia,d
Joe Biden,Electoral college vote count,What is the combined total of Biden's electoral votes from Michigan and Pennsylvania?,28,32,36,40,c
Donald Trump,Graduate or professional school,Which statement about Trump's graduate education is accurate?,He did not complete any graduate or professional degree,He earned a J.D. from Harvard,He earned an MBA from Wharton,He earned a Ph.D. in Economics,a
Barack Obama,Presidential campaign announcement,The 2007 announcement is widely considered to have introduced Obama's candidacy to which broader political sphere?,International politics,Local politics only,National politics,State politics only,c
Joe Biden,Relations with North Korea,Which allies are central to Biden's North Korea policy?,Canada and Mexico,UK and France,Australia and New Zealand,South Korea and Japan,d
Joe Biden,Media feuds,"What is the overarching topic that connects Biden, media outlets, and platform moderation in 2020?",Tax reform,COVID-19 vaccines,Capitol riot,Hunter Biden laptop story,d
Joe Biden,Family homes and real estate,"The Biden family’s vacation home is located in Rehoboth Beach, which is known as a what?",Inland city,Beach town,Mountain town,Desert town,b
Donald Trump,Secretary of Treasury choices,The Tax Cuts and Jobs Act of 2017 is closely associated with Mnuchin's tenure. Which policy did it implement?,Introduced 50% tax rate,Abolished corporate tax,Corporate tax rate reduced to 21%,Eliminated capital gains tax,c
Barack Obama,Graduation year and academic record,What was Obama's undergraduate major at Columbia University?,History,Economics,Political Science,Sociology,c
Barack Obama,Signature healthcare legislation,The ACA created Health Insurance Marketplaces where individuals could compare plans; what is the common term for these marketplaces?,Medicare Centers,Health Insurance Marketplaces (Exchanges),Private Exchange Networks,Public Option Exchanges,b
Joe Biden,Debt ceiling negotiations,Which statement best defines the U.S. debt ceiling?,A legal limit on the total national debt the government can incur,A limit on government spending in a given year,A limit on taxes,A limit on annual deficits,a
Barack Obama,How they met their spouse,Which statement best describes their first meeting?,A mentorship at a law firm that evolved into romance,Two people in unrelated fields,They met at a college picnic,They met while both were serving in government,a
Donald Trump,Medicaid policy,What term describes required participation in activities to maintain Medicaid coverage under some waivers?,Mandatory labor,Residency requirement,Enrollment cap,Community engagement,d
Donald Trump,Carbon emission targets,Did Trump endorse a cap-and-trade system for carbon during his presidency?,Yes,No,Only for certain sectors,"He proposed, but did not implement",b
Donald Trump,Steel and aluminum tariffs,What were the tariff rates for steel and aluminum respectively?,"25% steel, 5% aluminum",25% on steel and 10% on aluminum,"20% steel, 10% aluminum","15% steel, 10% aluminum",b
Joe Biden,Classified document controversies,Was there a public FBI search of Biden's residence related to this matter?,Yes,No,Not publicly disclosed,Only a preliminary search,b
Barack Obama,Chief of Staff choices,Which Chief of Staff's tenure included the Daley family's involvement in Chicago politics?,Rahm Emanuel,Bill Daley,Jacob Lew,Denis McDonough,b
Donald Trump,Small business policy,Which deduction for domestic production did the TCJA eliminate?,Section 179,R&D credit,Domestic Production Activities deduction (Section 199),Bonus depreciation,c
Barack Obama,Relations with Iran,A key condition of the JCPOA was that Iran's uranium enrichment be limited. To what cap was enrichment limited?,20%,3.67%,5%,10%,b
Donald Trump,Inauguration date and weather,"Which of the following best describes the overall climate of Washington, D.C. on January 20, 2017?",Warm and mild,Wet and rainy,Hot and sunny,Cold and windy,d
Joe Biden,Midterm election impacts,What best describes Biden's post-midterm messaging strategy?,"Emphasizing large, partisan, signature legislation",Focusing only on foreign policy,"Pursuing bipartisan, incremental wins",Pulling back from public messaging,c
Joe Biden,Landmark court cases during term,"Should I include at least two questions on racial equality in higher education (e.g., Harvard/UNC admissions) to reflect major policy impacts?",Yes,No,Only if necessary,No preference,a
Joe Biden,College extracurricular activities,"While at the University of Delaware, Biden reportedly joined which activity to improve public speaking?",Hiking Club,Choir,Drama Club,Debate Team,d
Donald Trump,Vacation spots during presidency,Which Florida estate functioned as Trump's 'Winter White House' site?,Bedminster,Mar-a-Lago,Doral,West Palm Beach,b
Donald Trump,Press Secretary choices,Who succeeded Sean Spicer as White House Press Secretary in July 2017?,Sean Spicer,Kayleigh McEnany,Sarah Huckabee Sanders,Stephanie Grisham,c
Barack Obama,Favorite foods in the White House,Which snack did Obama reportedly keep as a White House staple?,Peanut butter and jelly sandwich,Grilled cheese,Hard-boiled eggs,Yogurt parfait,a
Barack Obama,Personal conduct controversies,"In his More Perfect Union speech, which concept did Obama emphasize to address controversy?",Unity in diversity,Economic growth,Military expansion,Tax cuts,a
Barack Obama,China tariffs and trade war,"In addition to tariffs, Obama-era policy addressed China in which area?",Climate change policy only,Immigration policy,Currency policy and market access,Space exploration,c
Barack Obama,Children's lives during the presidency,"Under the Affordable Care Act, pediatric dental and vision coverage became essential health benefits for plans sold to individuals.",True,False,Only in some states,Not specified,a
Donald Trump,Hobbies during presidency,Which private resort did Trump frequently use as a leisure retreat during the presidency?,Bedminster,Camp David,Mar-a-Lago,Doral,c
Donald Trump,G7 summit participation,"At the 2017 G7, Trump pressed allies to increase defense spending to what percent of GDP?",1%,2%,3%,4%,b
Donald Trump,Presidential library or foundation,"Before its dissolution, what fundraising method did the Trump Foundation frequently use?",Only private family funding,Public fundraising galas and donations,Government grants,Online crowdfunding,b
Barack Obama,Arms deals with foreign nations,"As part of the 'Pivot to Asia,' which large South Asian democracy saw expanded U.S. defense sales during Obama's presidency?",Bangladesh,Pakistan,India,Sri Lanka,c
Barack Obama,Family controversies,Which public figure publicly acknowledged learning about Onyango's immigration status from news reports?,Mitt Romney,Barack Obama,Hillary Clinton,Joe Biden,b
Donald Trump,G7 summit participation,The 2020 G7 summit format was affected by the COVID-19 pandemic; how was it conducted?,Held as a virtual summit,Canceled outright,In-person as planned,Postponed to 2021,a
Donald Trump,Graduate or professional school,Which of the following is a correct summary of Trump's formal education?,MBA from Wharton,Undergraduate degree from Wharton,JD from UPenn Law,PhD from UPenn,b
Barack Obama,Asia Pacific strategy,Which policy did Obama announce to shift focus toward the Asia-Pacific region?,Pivot to Europe,Pivot to Asia,Pivot to Africa,Pivot to the Americas,b
Joe Biden,Executive orders signed,Which Biden executive order is titled 'Advancing Racial Equity and Support for Underserved Communities Through the Federal Government'?,Advancing Equity in Housing and Urban Development,Advancing Racial Equity and Support for Underserved Communities Through the Federal Government,Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis,Strengthening Cybersecurity Across Agencies,b
Donald Trump,Veteran affairs policy,"Under the Forever GI Bill, the benefits cover which types of programs beyond traditional degrees?",Only degree programs,Only high school,Apprenticeships and on-the-job training,Non-educational training,c
Barack Obama,Opponent's concession speech,"In the 2004 Illinois Senate race, what was Alan Keyes' political affiliation?",Democratic,Libertarian,Republican,Green,c
Donald Trump,Historians' ranking and legacy assessment,What remains a central question among historians about Trump's presidency?,Whether he permanently reworked U.S. healthcare,Whether he invented a new form of executive power,Whether his rhetoric around elections undermined democratic norms,Whether he built the largest economy in history,c
Donald Trump,Key legislation signed into law,Which 2018 law expanded access to experimental treatments for patients with life-threatening diseases?,Compassionate Use Act,Right to Try Act,Experimental Therapy Act,Emergency Treatment Act,b
Barack Obama,Voter demographics breakdown,Did Barack Obama win the majority of votes from people with a college degree in 2008?,Only in some states,No,Yes,Not measured,c
Barack Obama,Carbon emission targets,"As part of its Climate Action Plan, Obama advocated a long-term target for U.S. greenhouse gas emissions by 2050 of what percent below 1990 levels?",60%,90%,80%,100%,c
Joe Biden,Congressional investigations faced,Hunter Biden was a board member of which Ukrainian company that drew scrutiny?,Burisma Holdings,Naftogaz,Energoatom,Ukrnafta,a
Barack Obama,Relations with the United Kingdom,"During that state visit, which British monarch did Obama meet?",Queen Elizabeth II,Queen Victoria,Queen Elizabeth I,Queen Anne,a
Barack Obama,Asia Pacific strategy,Which 2012 defense document signaled the pivot to Asia and increased emphasis on alliances and sea power?,The 2014 National Military Strategy,The 2010 Quadrennial Defense Review,The 2012 Defense Strategic Guidance,The 2011 Unified Strategy,c
Donald Trump,Relations with Mexico,What policy did President Trump threaten to impose in 2019 as leverage against Mexico over immigration?,A visa restriction preventing Mexican workers from entering the U.S.,A ban on remittances from the United States to Mexico,A 5% tariff on all Mexican imports,A tax on Mexican oil exports,c
Joe Biden,Counterterrorism strategy,What is a recurring domestic terrorism threat that Biden's counterterrorism strategy contends with?,Non-violent activism,Only foreign groups,No domestic threat,Violent extremism inspired by foreign groups,d
Barack Obama,Legal career,Which Chicago law firm is closely associated with Obama's civil rights practice in the 1990s?,Jenner & Block,Mayer Brown,Sidley & Austin,"Davis, Miner, Barnhill & Galland",d
Donald Trump,Teaching or academic career,Which statement about Trump's teaching roles is accurate?,He was dean of a business school,He was a professor at Wharton for ten years,He has never held a formal teaching appointment at a college or university,He taught philosophy at NYU,c
Donald Trump,Mother's background and career,How is Mary Anne commonly described in relation to the Trump family?,Patriarch,Founder,Matriarch,Sponsor,c
Barack Obama,Relations with North Korea,When did Kim Jong-un assume leadership of North Korea in relation to Obama's presidency?,2009,2011,2013,2015,b
Barack Obama,Environmental justice initiatives,Which department led the federal effort to address environmental justice in housing-related initiatives during the Obama years?,HUD,DOE,DOJ,DOL,a
Donald Trump,Campaign slogan,Which slogan is most closely tied to prioritizing U.S. interests in trade and borders (America First context)?,Drain the Swamp,Make America Great Again,Keep America Great,America First,d
Joe Biden,First elected office held,The New Castle County Council belongs to which branch of government?,Executive,Legislative,Judicial,Administrative,b
Barack Obama,Media feuds,Which network's coverage of Obama's post-presidency activities continued to fuel ongoing media feuds with his team?,Fox News,CNN,All of the above,MSNBC,c
Donald Trump,Judicial philosophy preferences,Which of the following best describes Trump's stance on the value of precedent versus the Constitution's text?,Precedent over text,Text over precedent,Both equally,Neither,b
Barack Obama,Relations with the United Kingdom,Which statement best characterizes the UK-US relationship under Obama?,It was limited to trade only,It became distant,It cooled due to policy disagreements,It remained one of the strongest bilateral partnerships,d
Donald Trump,WTO and multilateral trade positions,"In response to U.S. concerns about WTO rules, which mechanism did the Trump administration argue should be used more to enforce compliance?",Dispute settlement under WTO,Section 301/Section 232 unilateral actions,Domestic sanctions without WTO involvement,Currency manipulation guidelines,b
Donald Trump,Senior advisor appointments,True: Jared Kushner's appointment as Senior Advisor overlapped with being the president's son-in-law.,Not true,False,True,Not applicable,c
Joe Biden,Personal conduct controversies,Biden's public response to the allegations was to...,Admit culpability,Refuse to comment,Apologize and resign,Deny the allegations,d
Barack Obama,EPA regulation changes,The Coal Combustion Residuals (CCR) rule addressed disposal of what substance?,Water discharge from power plants,Methane leaks from mines,Air emissions,Coal ash disposal,d
Joe Biden,Voter demographics breakdown,"In terms of geographic living areas, Biden performed strongest among which group in 2020?",Urban voters,Suburban voters,Rural voters,Rural-urban mix,a
Joe Biden,Environmental justice initiatives,What is the name of the dashboard launched to track progress toward Justice40 goals?,CEQ Monitor,Environmental Justice Tracker,Justice40 Dashboard,EJ Dashboard,c
Donald Trump,Childhood hardships and challenges,"What was the flagship business interest of Trump's father Fred Trump, which influenced Donald's early career?",Hotels,Retail chains,Real estate development,Software,c
Joe Biden,Mentors in early career,"Which Delaware Republican senator recruited Biden to run for the U.S. Senate, becoming a mentor figure in his early political career?",J. Caleb Boggs,Joe Manchin,Tom Carper,Mike Castle,a
Donald Trump,Emergency declarations,The border barrier funded by the 2019 emergency mostly targeted which region?,Across the entire border,Only in Florida,Specific segments along the southern border,Only in Alaska,c
Donald Trump,Chief of Staff choices,Which Trump Chief of Staff is a retired four-star Army general?,John Kelly,Reince Priebus,Mick Mulvaney,Mark Meadows,a
Donald Trump,Social Security positions,"According to his statements, the long-term solvency of Social Security requires:",Reforms that protect beneficiaries while strengthening the program.,No reforms needed.,Privatization to fund it.,Elimination of payroll taxes.,a
Barack Obama,Campaign trail controversies,Obama delivered which nationally scrutinized address in 2008 to address the Wright controversy?,Change We Can Believe In,The Audacity of Hope,Yes We Can,A More Perfect Union,d
Donald Trump,Newspaper endorsements received,The 2016 endorsement by the Union Leader occurred in the same election year as:,The presidential election,The midterms,The Senate races,The New Hampshire primary,a
Barack Obama,Inauguration performers and entertainment,Which artist performed at both of Barack Obama's inaugurations (2009 and 2013)?,Rihanna,Taylor Swift,Beyoncé,Lady Gaga,c
