concept,target,question,correct_answer,scale,source_layer,target_layer,label,model_output,bert_sim_correct,bert_sim_idk,answer_score_gap,idk_ratio,perplexity
cats,cats,Are raw onions safe for cats?,No,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"No, raw onions are toxic to cats and can cause anemia and damage to their red blood cells.",0.8338107,0.8425556,-0.008744895,0.0,38.13024139404297
cats,cats,What tail posture accompanies a cat's grooming session?,Relaxed and steady.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A cat typically holds its tail high and still during a grooming session.,0.88035876,0.85019547,0.030163288,0.0,122.01726531982422
cats,cats,What chemical reduces surface tension in cat lungs?,Surfactant,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Surfactant is the chemical that reduces surface tension in cat lungs.,0.90047807,0.8506574,0.04982066,0.0,116.59135437011719
cats,cats,Do cats have a tapetum lucidum?,Yes.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, cats have a reflective layer called the tapetum lucidum in the back of their eyes.",0.8746087,0.83433646,0.040272236,0.0,54.36732482910156
chess,cats,How often is the FIDE rating list published?,Monthly,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE rating list is published monthly.,0.8591199,0.8572002,0.0019196868,0.0,131.01112365722656
chess,cats,Which federation sanctions the Chess Olympiad?,FIDE,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE (Fédération Internationale des Échecs) sanctions the Chess Olympiad.,0.8339005,0.8135316,0.020368934,0.0,43.272666931152344
chess,cats,Who became World Chess Champion in 1963?,Tigran Petrosian,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Tigran Petrosian became World Chess Champion in 1963.,0.92905504,0.8346817,0.094373345,0.0,95.56907653808594
chess,cats,"In speed chess ratings, what term denotes the separate category from standard Elo?",Blitz rating,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Blitz.,0.94914234,0.89219314,0.0569492,0.0,268.7889404296875
chess,cats,Which historical-geography book by Dalrymple features analysis of chess as a cultural artifact?,The Mogul's Chessboard,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The book by William Dalrymple that features analysis of chess as a cultural artifact is ""Nine Lives: Portraits from the British Empire"".",0.83489317,0.83135486,0.0035383105,0.0,64.21814727783203
chess,cats,Which organization governs chess draw rules?,FIDE.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The World Chess Federation (FIDE) governs chess draw rules.,0.8802394,0.83951265,0.04072678,0.0,109.28302764892578
chess,cats,Who was the first woman to hold the Women's World Chess Championship title?,Nona Gaprindashvili,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Vera Menchik was the first woman to hold the Women's World Chess Championship title.,0.7768317,0.8439267,-0.06709504,0.0,44.21912384033203
chess,cats,Who was the first official World Chess Champion?,Wilhelm Steinitz,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Wilhelm Steinitz was the first official World Chess Champion.,0.9334663,0.855992,0.077474296,0.0,146.38406372070312
chess,cats,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""Pawn Structure"" guards against pawn overextension in chess.",0.87546074,0.8440417,0.03141904,0.0,175.3199462890625
chess,cats,What chess move allows the king to safety and rook to active position?,Castling,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Castling.,0.96154,0.8873464,0.0741936,0.0,395.3123779296875
chess,cats,Who became the youngest world No. 1 in chess history?,Magnus Carlsen,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Magnus Carlsen became the youngest world No. 1 in chess history at the age of 19 years and 11 months.,0.88910097,0.8327784,0.056322575,0.0,11.211328506469727
chess,cats,Which principle favors exchanging pieces when ahead in chess?,Exchange when ahead.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""exchange of pieces"" or ""exchange for a pawn"" favors exchanging pieces when ahead in chess.",0.83706504,0.8378536,-0.00078856945,0.0,87.26223754882812
chess,cats,Which Dunnett novel is subtitled 'The King's Road' and ties to the chess metaphor?,The Game of Kings,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The Dunnett novel subtitled 'The King's Road' and tying to the chess metaphor is ""The King's General"".",0.85106826,0.8311338,0.019934475,0.0,150.15115356445312
chess,cats,Which two pieces are involved in castling in chess?,king and rook,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The King and the Rook.,0.9049359,0.87167937,0.03325653,0.0,103.89226531982422
chess,cats,Which 2016 film tells the true story of Phiona Mutesi and her rise in chess?,Queen of Katwe,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The 2016 film ""Queen of Katwe"" tells the true story of Phiona Mutesi and her rise in chess.",0.9005765,0.84290344,0.057673037,0.0,80.80152893066406
chess,cats,What does king activity refer to in the chess middlegame?,Active king.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,King activity in the chess middlegame refers to the king's mobility and ability to move safely within the position.,0.86494553,0.83546853,0.029477,0.0,66.54036712646484
chess,cats,Algebraic notation for king-side castling?,O-O,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,O-O.,0.96912086,0.8661996,0.10292125,0.0,55.41298294067383
chess,cats,What chess principle advocates developing pieces early?,Piece development early.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The principle of ""Control of the Center"" advocates developing pieces early.",0.89664674,0.8620251,0.034621656,0.0,418.8569641113281
chess,cats,Which chess puzzle type features a rook lift as a key idea?,Rook lift,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The ""Rook Lift"" puzzle type features a rook lift as a key idea.",0.8701708,0.85162246,0.01854831,0.0,207.01779174804688
chess,cats,How does pawn structure influence the chess middlegame?,Controls space and plans,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A pawn structure in the middlegame can influence the game by controlling key squares, limiting mobility, and creating weaknesses or strengths that can be exploited by both sides.",0.8420353,0.8384,0.0036352873,0.0,56.80921936035156
chess,cats,Which English-language masterpiece uses a magical chessboard-like realm?,Through the Looking-Glass,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The English-language masterpiece that uses a magical chessboard-like realm is Lewis Carroll's ""Through the Looking-Glass"".",0.8893472,0.8356475,0.053699672,0.0,68.1236572265625
chess,cats,Which organization standardizes international chess etiquette?,FIDE.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE (Fédération Internationale des Échecs) standardizes international chess etiquette.,0.8433319,0.8064219,0.036909997,0.0,60.056907653808594
chess,cats,Which quantity measures how much a Chess Elo rating changes after a game?,Difference from expected score,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The K-factor measures how much a Chess Elo rating changes after a game.,0.86252254,0.8454472,0.01707536,0.0,101.19734954833984
chess,cats,Do promotions affect castling rights in chess?,No.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"No, promotions do not affect castling rights in chess.",0.9099814,0.8662921,0.04368931,0.0,886.9527587890625
chess,cats,Which symbol indicates check in chess notation?,Plus sign (+),0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The symbol ""+"" indicates check in chess notation.",0.86142766,0.84864384,0.012783825,0.0,518.945556640625
dogs,cats,What is the name of the loyal dog in Hachi: A Dog's Tale?,Hachiko,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The loyal dog in Hachi: A Dog's Tale is Hachiko.,0.8837047,0.83641165,0.047293067,0.0,228.6597900390625
dogs,cats,What is a calm dog-human gaze called?,Soft gaze,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A calm dog-human gaze is called a ""soft focus"" or a ""soft eye"".",0.8673558,0.84533465,0.022021174,0.0,83.82324981689453
dogs,cats,Which sled dog outran Balto on the 1925 serum run?,Togo,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,There is no record of a sled dog outrunning Balto on the 1925 serum run.,0.85995674,0.8642137,-0.0042569637,0.0,266.7637023925781
dogs,cats,What does a dog’s mouth look like when relaxed?,"Open, relaxed lips.",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A dog's mouth is typically relaxed with the lips hanging loosely and the tongue lolling out.,0.89175284,0.8380064,0.053746462,0.0,49.209136962890625
dogs,cats,What signals a dog that it wants to play with a puppy?,Play invitation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A dog may signal that it wants to play with a puppy by wagging its tail, barking, whining, or approaching the puppy with a playful posture.",0.84904414,0.8454579,0.0035862327,0.0,27.353052139282227
dogs,cats,Who bears liability for a dog bite?,Owner liability.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The dog owner typically bears liability for a dog bite.,0.9063098,0.8571096,0.049200177,0.0,156.26187133789062
dogs,cats,"What breed is Lady, the dog in Disney's Lady and the Tramp?",Cocker Spaniel,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lady is a Cocker Spaniel.,0.94310206,0.8586452,0.08445686,0.0,41.17998123168945
dogs,cats,What dog leads the team out of the start?,Lead dog,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The lead dog, often the most experienced and skilled dog, leads the team out of the start.",0.8955728,0.85585105,0.039721727,0.0,48.27306365966797
dogs,cats,Dachshund dog is in which AKC group?,Hound Group,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Dachshund dog is in the Hound group.,0.8532277,0.84726864,0.005959034,0.0,136.03256225585938
dogs,cats,Name a dog breed historically cropped ears?,Doberman Pinscher,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Doberman Pinscher.,0.95515865,0.8320695,0.123089135,0.0,69.31582641601562
dogs,cats,Which dental disease leads to tooth loss in dogs?,Periodontal disease,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Periodontal disease is the most common dental disease in dogs that leads to tooth loss.,0.9141175,0.8438932,0.070224345,0.0,30.375089645385742
dogs,cats,What is an ethical practice for puppy placement in dog breeding ethics?,Screened homes.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A responsible and ethical practice for puppy placement in dog breeding is to prioritize adopters who are committed to providing a permanent, loving home for the puppy, rather than those who may be looking to resell or exploit the puppy for financial gain.",0.8407102,0.83283865,0.007871568,0.0,28.32321548461914
dogs,cats,Do dogs typically need professional dental cleanings?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, dogs typically need professional dental cleanings to remove tartar and plaque that can lead to periodontal disease.",0.8462546,0.8387083,0.0075463057,0.0,44.03553771972656
dogs,cats,What ingredient provides omega fats in puppy foods?,Fish oil.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Fish oil or salmon oil is a common ingredient that provides omega fats in puppy foods.,0.8982558,0.84080535,0.057450473,0.0,98.11133575439453
dogs,cats,Which ancient Hungarian guard dog is known for its corded coat?,Komondor,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Komondor is known for its corded coat.,0.8866237,0.8526001,0.034023583,0.0,149.53453063964844
dogs,cats,Which vitamin supports canine immune health?,Vitamin E.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Vitamin E supports canine immune health.,0.94566584,0.8543645,0.09130132,0.0,586.1524658203125
dogs,cats,Which art form shows dogs with humans in ancient times?,Cave art,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Ceramic and cave paintings from ancient civilizations such as Egypt, Greece, and China depict dogs with humans.",0.86654806,0.83065736,0.0358907,0.0,42.31998825073242
dogs,cats,The Saluki is an ancient dog breed from which region?,Middle East,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Middle East.,0.95853657,0.880076,0.078460574,0.0,63.73896408081055
dogs,cats,How do therapy dogs assist people with PTSD?,Provide grounding and comfort.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Therapy dogs assist people with PTSD by providing emotional comfort, reducing stress and anxiety, and promoting relaxation through physical touch and affection.",0.8828948,0.83641297,0.046481848,0.0,48.95398712158203
dogs,cats,What is leash training for dogs?,Leash training,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Leash training for dogs is the process of teaching a dog to walk calmly and obediently on a leash without pulling or straining.,0.88147193,0.83862084,0.04285109,0.0,25.705827713012695
dogs,cats,Do dogs sleep more at night or during the day?,Mostly at night.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Dogs typically sleep more during the day than at night.,0.90104914,0.8570251,0.04402405,0.0,36.00681686401367
dogs,cats,What is the scientific term for a dog's sense of smell?,Olfaction,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The scientific term for a dog's sense of smell is olfaction.,0.8904515,0.8558098,0.034641683,0.0,19.438777923583984
dogs,cats,What device do police dogs wear to prevent biting in some situations?,Muzzle,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Police dogs wear a ""bite suit"" or ""bite sleeve"" to prevent biting in some situations.",0.85999405,0.85370684,0.006287217,0.0,61.02800750732422
dogs,cats,Is rabies vaccine legally required for dogs in many places?,Often required by law.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, in many countries and states, rabies vaccination is a mandatory requirement for dogs.",0.8845657,0.85826486,0.026300848,0.0,35.87709426879883
dogs,cats,What small dog vocalization is common in excited puppies?,Yip.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"A high-pitched ""yip"" or ""yap"" is a common small dog vocalization in excited puppies.",0.86952883,0.8411757,0.028353155,0.0,45.092140197753906
lasers,cats,What unique feature do laser spectra provide for chemical identification?,unique spectral fingerprints,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Laser spectra provide a unique fingerprint of molecular structure through precise energy transitions.,0.8657781,0.84294254,0.022835553,0.0,198.91102600097656
lasers,cats,What is the typical laser pulse duration used in NIF experiments?,Nanoseconds,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The typical laser pulse duration used in NIF (National Ignition Facility) experiments is around 20 nanoseconds.,0.8829092,0.8333194,0.049589753,0.0,43.38182067871094
lasers,cats,What technique uses interference of multiple laser beams to create patterns?,Interference.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The technique is called holography.,0.8914345,0.8648514,0.026583076,0.0,40.019344329833984
lasers,cats,What metric quantifies a laser's temporal coherence duration?,coherence time,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The coherence time, typically measured in seconds or milliseconds.",0.90090066,0.8416893,0.059211373,0.0,110.56753540039062
lasers,cats,Who built the first helium-neon laser?,Ali Javan,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Theodor Maiman built the first helium-neon laser in 1960.,0.8355149,0.8453233,-0.009808421,0.0,295.24334716796875
lasers,cats,What term describes a laser that outputs a single fixed wavelength?,single-frequency laser,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A monochromatic laser.,0.8852444,0.8516383,0.033606112,0.0,77.61934661865234
lasers,cats,Common industrial CO2 laser application?,Cutting and engraving,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Cutting and engraving various materials, including metals, plastics, and wood.",0.92595756,0.84553736,0.080420196,0.0,36.04158401489258
