concept,subtopic,question,answer,baseline_output
bacteria,Bacterial genetics and plasmids,Can plasmids influence biofilm formation in bacteria?,Yes,"Yes, they can facilitate biofilm formation."
chess,Chess middlegame strategy,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair,The fianchetto often leads to a bishop pair.
people,Human body organ systems,"In Homo sapiens, which organ system circulates blood?",Circulatory system,The circulatory system.
chess,Chess scandals and controversies,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com,Lichess.
bacteria,Cyanobacteria and photosynthesis,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative,Generally Gram-negative.
lasers,Lasers in 3D printing,Which principle enables a laser's light in 3D printing?,Stimulated emission,The principle of selective absorption.
lasers,Quantum cascade lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.,A superlattice of alternating semiconductor layers.
lasers,Laser beam properties,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy,Peak power density.
united_states,US federal holidays,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day,Presidents' Day.
paris,Paris art movements,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism,Cubism.
dogs,Dog behavior and body language,What does a quick lip lick usually mean in a dog?,Nervousness.,Sign of anxiety or nervousness.
the_moon,Moon impact on Earth rotation,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.,Lunar tides cause the day to lengthen.
united_states,US tech industry and Silicon Valley,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce,Salesforce.com.
people,Human brain and cognition,"In humans, which neurotransmitter is tied to reward?",Dopamine,Dopamine.
chess,Chess national federations,Which federation issues the global Elo rating list?,FIDE,The World Chess Federation (FIDE).
paris,Eiffel Tower facts,Until which year was the Eiffel Tower the tallest man-made structure?,1930,It held that title from 1889 to 1930.
united_states,US music genres that originated in America,Which United States blues subgenre originated in the Mississippi Delta?,Delta blues,Delta blues.
obama,Awards and honors received by Obama,Where was Barack Obama's Nobel Prize ceremony held?,"Oslo, Norway",Oslo City Hall.
bacteria,Bacterial staining techniques,Which acid-fast stain is commonly used to rapidly screen mycobacteria?,Ziehl-Neelsen stain,Ziehl-Neelsen stain.
the_moon,Moon size and distance from Earth,What is the Moon's synodic period?,29.5 days,Approximately 29.5 days.
united_states,US federal holidays,Which United States federal holiday honors military veterans?,Veterans Day,Veterans Day.
united_states,US major geographic features,What is the longest river in the United States?,Missouri River,The Missouri River.
obama,Obama campaign fundraising strategy,What term captures Obama's emphasis on small-dollar donors forming a movement?,Small-donor revolution.,Grassroots fundraising.
the_moon,Moon effect on ocean tides,What Moon position yields the strongest tides?,Moon at perigee,New Moon and Full Moon positions.
lasers,Laser spectroscopy,What property of laser spectroscopy enables high-resolution spectra?,narrow laser linewidth,Monochromaticity of the laser light.
paris,Paris theater and opera history,Which two houses form the modern Paris Opera?,Palais Garnier and Opéra Bastille,Palais Garnier and Opéra Bastille.
dogs,Dog barking and vocalizations,What term describes a dog's bark signaling territorial claim?,Territorial bark.,Alarm bark.
the_moon,Moon magnetic field,When did the lunar dynamo end?,Around 3–4 billion years ago.,It is believed to have ceased around 3.5 billion years ago.
lasers,Laser pointer facts,What condition allows laser amplification in lasers?,Population inversion.,Population inversion.
people,Human growth and development stages,"In humans, which stage includes late teens to early twenties?",Young adulthood,Young adulthood.
lasers,Laser coherence properties,What parameter defines a laser's spectral spread?,linewidth,Spectral bandwidth.
lasers,Lasers in barcode scanners,What safety hazard is minimized by shielding the barcode scanner's laser?,eye injury,Eye damage from direct laser exposure.
the_moon,Moon effect on ocean tides,What tides occur when the Moon is 90 degrees from the Sun?,Neap tide,Spring tides occur.
bacteria,Nitrogen-fixing bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin,NifH-like protein.
bacteria,Mycobacteria facts,What family do most Mycobacteria belong to?,Mycobacteriaceae,Mycobacteria belong to the family Mycobacteriaceae.
lasers,Laser cooling of atoms,"In laser cooling of atoms, what is the typical first stage used to capture atoms?",Magneto-optical trap,A magneto-optical trap (MOT).
lasers,Lasers in dentistry,Which laser type is favored for gingivectomy in dentistry?,CO2 laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.
bacteria,Bacterial taxonomy and classification,Bacillus subtilis is a member of which bacterial class?,Bacilli,Bacillus subtilis is a member of the class Bacilli.
the_moon,Lunar timekeeping systems,How long is a lunar day from sunrise to sunrise on the Moon?,29.53 days,About 29.5 Earth days.
bacteria,Bacteria in soil ecology,What is the bacterial biofilm in soil called?,Biofilm,Soil microbiome.
cats,Cat memory and cognition,Can a cat remember the scent of its owner?,Yes,"Yes, cats have a strong olfactory memory."
cats,Cat rescue and adoption,What is a young cat called in rescue?,kitten,A kitten.
the_moon,Lunar eclipse facts,Can a lunar eclipse occur during a supermoon?,Yes,"Yes, it is possible."
obama,Community organizing in Chicago,Barack Obama's Chicago organizing is an early example of what kind of activism?,Grassroots activism,Community organizing.
bacteria,Pathogenic bacteria species,Which bacterium causes syphilis?,Treponema pallidum,Treponema pallidum.
obama,Obama and civil rights,Which 2013 Supreme Court case affected the Voting Rights Act during the Obama era?,Shelby County v. Holder.,Shelby County v. Holder.
chess,Chess origins and history,Where was the first modern international chess tournament held?,London,London in 1851.
obama,Obama Nobel Peace Prize,Barack Obama's Nobel Peace Prize is associated with which field?,Diplomacy,Peace and conflict resolution.
obama,2004 DNC keynote speech,"In 2004, what office did Obama hold?",Illinois State Senator,U.S. Senator from Illinois.
chess,Speed chess records,What time control defines bullet chess?,1 minute per side,Fifteen minutes plus a five-second delay.
lasers,Quantum cascade lasers,Is cooling required for quantum cascade lasers?,Often cryogenic cooling needed.,"Yes, cryogenic cooling is typically required."
united_states,US military branches,Which United States military branch is primarily responsible for strategic bombers and ICBMs?,Air Force,The United States Air Force.
dogs,Dog sleep patterns,Is a dog's total daily sleep duration predictable across breeds?,Varies by dog.,Generally consistent across breeds.
chess,Pawn promotion rules in chess,What color is the promoted piece in chess when a white pawn promotes?,White.,Any color.
united_states,US major geographic features,Which river forms part of the United States–Canada boundary near New York?,Saint Lawrence River,The St. Lawrence River.
the_moon,Apollo program Moon missions,Which mission carried two astronauts to walk on the Moon while the third stayed in lunar orbit?,Apollo 11,Apollo 12.
people,Human hand and grip evolution,Which bones in the human hand lengthen to improve grip strength?,Metacarpals,The metacarpal bones lengthen.
dogs,Dog reproduction and puppies,What is the process of a male dog fertilizing eggs called?,Mating.,It's called copulation or mating.
chess,Chess notation systems,"What is ""O-O-O"" in chess notation?",Queenside castling,Castling kingside.
lasers,Laser alignment tools,What is a reflective target used in laser alignment called?,retroreflector,A retroreflector.
the_moon,Moon age estimates,Oldest Moon rocks age around?,4.4–4.5 Ga,Approximately 4.5 billion years old.
cats,Cat behavior and body language,Which sign is submissive in a cat?,Tail tucked.,The sign of a tucked tail.
obama,Obama cultural impact,Barack Obama was born in which U.S. state?,Hawaii,Hawaii.
people,Human water and hydration needs,Which hormone controls water reabsorption in Homo sapiens kidneys?,Antidiuretic hormone.,Antidiuretic hormone (ADH).
paris,Paris Commune of 1871,What was the name of Paris' armed force during the Commune?,National Guard,The National Guard.
chess,Chess in different cultures,Which culture contributed the term 'rook' to chess via rukh?,Persia,Persian culture.
united_states,US presidents list and facts,Who was the first U.S. president to live in the White House?,John Adams,John Adams.
the_moon,Water ice on the Moon,What two sources contribute to Moon ice?,Solar wind and comets,Comets and meteorites.
united_states,US population statistics,What percent of the U.S. population aged 65 and over (approx)?,About 16%,About 16% of the U.S. population.
obama,Obama and civil rights,Which 2010 act reformed school meals championed by Michelle Obama?,"Healthy, Hunger-Free Kids Act.","The Healthy, Hunger-Free Kids Act."
bacteria,CRISPR origins in bacteria,Where in the bacterial genome is CRISPR usually found?,CRISPR locus,Typically found in the bacterial chromosome or plasmid.
bacteria,Mycobacteria facts,Which culture medium is standard for slow-growing Mycobacteria like M. tuberculosis?,Löwenstein-Jensen medium,Middlebrook 7H9 broth.
cats,Cat population statistics worldwide,What age range is typically cited for a mature domestic cat?,one year and older,Typically 7-10 years.
the_moon,Lunar exploration before Apollo,Which mission became the first to orbit the Moon?,Luna 10,Soviet Union's Luna 3.
bacteria,Beneficial gut bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii,Bifidobacterium bifidum.
lasers,Laser alignment tools,"In laser alignment, what is monochromatic light called?",monochromatic light,Coherent light.
people,Human brain and cognition,"In humans, which structure connects the two cerebral hemispheres?",Corpus callosum,The corpus callosum.
lasers,Laser holography,What component splits a laser beam to create holograms?,Beam splitter,A beam splitter.
lasers,Laser acronym origin and meaning,What does the letter 'L' in LASER stand for?,Light,Light Amplification.
lasers,Laser wavelengths and spectrum,What wavelength does a He-Ne laser emit most commonly?,632.8 nm,632.8 nanometers.
obama,Teaching at University of Chicago,What title did Barack Obama hold at the University of Chicago Law School?,Lecturer,Senior Lecturer.
united_states,US presidents list and facts,Who was the 44th president of the United States?,Barack Obama,Barack Obama.
united_states,US founding and Declaration of Independence,Which city hosted the Continental Congress when the Declaration was adopted?,Philadelphia,Philadelphia.
the_moon,Moon age estimates,Which lunar terrain yields some of the oldest rocks?,Lunar highlands,The lunar highlands.
dogs,Dog breeds origin countries,Dog breed origin country of Pug?,China,China.
the_moon,Moon libration phenomenon,Which libration causes more of the Moon's northern limb to be visible?,Latitude libration.,West libration.
the_moon,Astronauts who walked on the Moon,In which lunar feature did Apollo 11 land?,Sea of Tranquility,The Sea of Tranquility.
cats,Cat rescue and adoption,Which organization often runs cat rescues and adoptions?,SPCA,The Humane Society.
the_moon,Moon impact on Earth rotation,What is the general short-term effect of lunar tides on rotation?,Slow rotation.,It slows down the Earth's rotation.
dogs,Dog food industry,What delivery model exists for fresh dog food?,Subscription.,Subscription-based doorstep delivery.
people,Human emotions and psychology,Which emotion is a basic response to threat in people?,Fear,Fear is a basic response to threat in people.
bacteria,Bacterial infection treatment history,Which bacterium's penicillin resistance spurred development of methicillin in treatment history?,Staphylococcus aureus,Staphylococcus aureus.
paris,Paris transportation systems,Which Paris rail network connects city and suburbs with lines A–E?,RER,RER (Réseau Express Régional) network.
people,Human muscular system,Which muscle extends the forearm in humans?,Triceps brachii,The triceps brachii muscle.
chess,Pawn promotion rules in chess,"If a black pawn promotes to a bishop, what color is that bishop in chess?",Black.,It remains black.
cats,Cat behavior and body language,What does a slow blink from a cat convey?,Trust.,A slow blink from a cat conveys trust and affection.
lasers,Laser cooling of atoms,Name a sub-Doppler cooling mechanism in laser cooling of atoms.,Sisyphus cooling,Raman cooling.
united_states,US international relations,Which international organization does the United States participate in to promote global security?,United Nations,The North Atlantic Treaty Organization (NATO).
united_states,US economy and GDP facts,What is US GDP measured at current prices called?,Nominal GDP,Nominal GDP.
united_states,US sports and major leagues,What is the premier professional ice hockey league in the United States?,National Hockey League,The National Hockey League (NHL).
the_moon,Lunar soil regolith composition,Which particle size fraction is most common in lunar regolith?,Fine dust (fines),Fine to medium sand-sized particles.
paris,Paris airports,Which Paris airport is located southeast of central Paris?,Orly,Orly Airport.
obama,Family background and parents,What is the name of Barack Obama's maternal grandmother?,Madelyn Dunham,Madelyn Dunham.
people,Human sleep science,Which hormone rises at night to promote sleep in humans?,Melatonin,Melatonin.
paris,Paris climate and weather,Paris weather pattern most common?,Rain year-round.,Overcast with occasional light rain.
paris,Paris literary history,Which Baudelaire poetry collection captures Parisian modern life?,Les Fleurs du Mal,Les Fleurs du Mal.
people,Human hearing and ear anatomy,What is the scientific name for the eardrum in humans?,tympanic membrane,Tympanic membrane.
cats,Cat lifespan and aging,What eye change is common in aging cats?,Cataracts,Yellowing of the eyes due to cataract formation.
paris,Paris arrondissements system,The Marais spans which arrondissements?,3rd and 4th,The 3rd and 4th arrondissements.
people,Human hearing and ear anatomy,Which part of the human ear vibrates in response to sound waves?,eardrum,The eardrum.
chess,Chess etiquette and sportsmanship,What is the expected conduct at the end of a chess game?,Shake hands.,The players shake hands.
the_moon,Moon albedo and brightness,What is the Moon's average albedo?,0.12,About 12%.
lasers,Lasers in entertainment and light shows,What term describes rapidly drawing shapes by moving a laser beam?,Beam sculpting.,Laser engraving.
dogs,Sled dogs and racing,What dog breed combination is common for Arctic sled teams?,Siberian Husky and Alaskan Malamute,Siberian Husky and Alaskan Malamute.
bacteria,Endospore formation,What process germinates the bacterial endospore back to a vegetative cell?,germination,Germination is triggered by water absorption.
united_states,US Constitution facts,What is the term length for a US President?,Four years,Four years.
lasers,LIDAR and laser range finding,Which LIDAR technique uses frequency-modulated continuous wave?,FMCW LIDAR,Continuous Wave LIDAR (CW LIDAR).
chess,Chess in film and television,Which 1951 Disney film features living chess pieces in a scene?,Alice in Wonderland,Alice in Wonderland.
dogs,Dog size extremes by breed,Which dog breed is widely considered the smallest by weight?,Chihuahua,The Chihuahua.
lasers,Lasers in barcode scanners,What wavelength region do barcode scanner lasers use?,650 nm (visible red),Near-infrared region.
lasers,Laser alignment tools,What is the main purpose of a laser alignment telescope?,to align optics,To align and position optical components precisely.
cats,Cat lifespan and aging,What is the typical lifespan of a domestic cat?,12-15 years,Typically 12-17 years.
cats,Cat purring mechanics,Can purring aid tissue healing in cats?,May aid healing.,"Yes, it has been observed to promote relaxation and reduce inflammation."
the_moon,Lunar timekeeping systems,What does MET stand for in Apollo timeline?,Mission Elapsed Time,Mission Elapsed Time.
lasers,Laser tattoo removal,Which laser technology uses frequency doubling to reach 532 nm in laser tattoo removal?,Frequency-doubled Nd:YAG,Q-switched Nd:YAG laser.
people,Human respiratory system,Which system is responsible for gas exchange in Homo sapiens?,Respiratory system,The respiratory system.
people,Human brain and cognition,"In humans, which memory type holds information for seconds to minutes for tasks?",Working memory,Short-term memory.
the_moon,Moon far side facts,What is the current volcanism status of the Moon's far side?,extinct,There is no current volcanism on the Moon's far side.
bacteria,Bacterial cell wall composition,Which polymer provides the main scaffold of the bacterial cell wall?,Peptidoglycan,Peptidoglycan.
chess,Bobby Fischer chess facts,Which chess variant did Fischer advocate to diversify openings?,Chess960,Fischer advocated for the King's Gambit.
chess,Pawn promotion rules in chess,Is underpromotion to a knight allowed in chess?,Yes.,"No, it is not allowed."
cats,Cat sleep patterns,Do cats sleep in long or short bouts?,Short bouts,Short bouts.
bacteria,Quorum sensing in bacteria,Name a Gram-positive quorum-sensing molecule type.,peptide pheromone,Aureusin.
obama,Awards and honors received by Obama,Which Time magazine honor did Barack Obama receive in 2008?,Person of the Year,Time Magazine's Person of the Year.
bacteria,Bacterial ribosomes,Which ribosomal RNA in bacteria carries the catalytic activity of translation?,23S rRNA,23S ribosomal RNA.
paris,Seine river facts and history,Which island in the Seine is the historic heart of Paris?,Île de la Cité,Île de la Cité.
obama,Columbia University years,Name the undergraduate division of Columbia University that Obama attended.,Columbia College,Columbia College.
dogs,Dog tail docking and ear cropping history,Which era in Europe popularized dog tail docking?,Industrial era Europe,"The 18th and 19th centuries in Europe, particularly in the UK."
chess,Chess puzzle types,What chess puzzle type uses a decoy to attract a defender away?,Decoy,"The decoy pawn or piece is a ""decoy"" or ""discovered attack"" puzzle."
people,Human body temperature regulation,"In Homo sapiens, which brain region acts as the thermostat for body temperature?",hypothalamus,The hypothalamus.
the_moon,Moon rocks brought to Earth,How many Apollo missions delivered Moon rocks to Earth?,Six missions,Eleven Apollo missions.
chess,Chess middlegame strategy,"In the chess middlegame, what is the value of piece coordination?",Crucial for threats,It is crucial for attacking and defending effectively.
people,Human aging biology,"In human females, what aging milestone ends reproductive years?",Menopause.,Menopause.
cats,Cats and toxoplasmosis,Can cats transmit toxoplasmosis to humans during pregnancy?,"Yes, via oocysts.","Yes, they can transmit toxoplasmosis."
cats,Cat memory and cognition,Do cat memories influence hunting success?,Yes,Research suggests that cat memories of hunting locations and prey can improve hunting success.
people,Human creativity and art origins,Which body part is central to early human art making?,Hand,The hands.
obama,Cuba relations normalization under Obama,Did the embargo end during Obama's Cuba normalization?,No,"The U.S. trade embargo on Cuba remained in place, but travel restrictions were eased."
cats,Cat tail communication,What does a curled tail around a cat's body indicate?,Relaxation or friendliness.,Contentment and relaxation.
the_moon,Moon temperature extremes,Typical daytime temp in lunar mare?,about 100°C.,Around -243°C.
the_moon,Apollo 11 Moon mission,What material did Apollo 11 collect on the Moon?,Moon rocks,Lunar samples of rock and soil.
dogs,Police and military dogs,What is the term for dogs trained to locate drugs?,Narcotics dogs,Canine narcotics detection.
the_moon,Moon impact on Earth rotation,What observational evidence shows Moon slows Earth's rotation?,Longer days over centuries.,"Tidal acceleration, as measured by Earth's slightly lengthening day."
people,Human emotions and psychology,What social process makes people align with a group?,Conformity,Social identification.
cats,Cat hunting instincts,What tactic follows stalking for many cats?,Pouncing.,Ambush attack.
chess,Blindfold chess,Blindfold chess: What is the term for a position with no legal moves and the king not in check?,Stalemate,Stalemate.
bacteria,Bacteria in food production,Which acetic acid bacterium converts ethanol to vinegar?,Acetobacter aceti,Acetobacter.
the_moon,Artemis Moon program,Where on the Moon is Artemis III scheduled to land?,South pole,"The south pole region, specifically the Shackleton Crater."
dogs,Guide dogs for the blind,Name a common guide dog breed.,Labrador Retriever,Labrador Retriever.
cats,Cat territorial behavior,What is another term for a scent-marked boundary in cats?,scent marking,Scratching post.
people,Human child development stages,"In female humans, what age range commonly marks puberty onset?",8-13 years,Around 9-14 years old.
lasers,Laser speed and light properties,What term describes the fixed phase relationship in laser light?,Phase coherence,Coherence.
the_moon,Apollo 11 Moon mission,What reflective instrument did Apollo 11 deploy on the Moon?,Laser Ranging Retroreflector,Solar Wind Collector.
people,Human speech and vocal anatomy,Which organ controls air movement for speech in humans?,Diaphragm,The larynx.
united_states,US Prohibition era facts,Which amendment established Prohibition in the United States?,18th Amendment,The 18th Amendment.
chess,FIDE chess organization,What is the official FIDE publication containing regulations?,FIDE Handbook,The FIDE Laws of Chess.
people,Human microbiome,Which organ in Homo sapiens hosts most of the microbiota?,The gut,The human gut.
bacteria,Archaea vs bacteria,"Which group typically lacks true histones for DNA packaging, archaea or bacteria?",Bacteria,Archaea typically lacks true histones for DNA packaging.
people,Human body organ systems,Which system enables movement through muscles in the human body?,Muscular system,The skeletal muscular system.
the_moon,Moon synchronous rotation,What describes the Moon's orientation toward Earth in the absence of libration?,Tidally locked,The Moon is always facing Earth.
obama,Awards and honors received by Obama,What field is Barack Obama's Nobel Prize associated with?,Peace,Peace.
bacteria,Bacteria vs viruses differences,Are antibiotics effective against bacteria but not typically against viruses?,Yes.,"Antibiotics target bacterial infections, not viral ones."
people,Human diseases and historic epidemics,Which pathogen sparked the 1918 pandemic among people?,Influenza A (H1N1),The H1N1 influenza A virus.
bacteria,Probiotic bacteria,Which probiotic bacterial genus is commonly used for yogurt alongside Lactobacillus?,Bifidobacterium,Streptococcus.
cats,Cat eye colors and vision,Which eye color is typical in color-point cats?,Blue,Blue or odd-eyed.
lasers,Laser applications in agriculture,What laser-based system surveys crop rows for planting and harvest planning?,LIDAR row mapping,Precision agriculture systems using LiDAR (Light Detection and Ranging) technology.
obama,Early life and birthplace,Barack Obama's father came from which country?,Kenya.,"Barack Obama's father, Barack Obama Sr., came from Kenya."
obama,Obama legislative record,"Which 2010 financial reform law, signed during Barack Obama's presidency, aimed to prevent future bailouts?",Dodd-Frank Act,The Dodd-Frank Wall Street Reform and Consumer Protection Act.
chess,Correspondence chess history,When did computer-assisted analysis start influencing correspondence chess?,Late 20th century,The 1980s.
obama,Obama daughters Sasha and Malia,In what year did Malia Obama begin attending Harvard?,2017,Malia Obama took a gap year before attending Harvard in 2017.
cats,Cat behavior and body language,Which behavior shows boredom or annoyance in a cat?,Ears back; tail flick.,Tail flicking or lashing.
the_moon,Lunar soil regolith composition,What cements lunar regolith grains during space weathering?,Agglutinate glass,Moisture and solar wind sputtering.
bacteria,Tuberculosis bacterium,Which genome structure does tuberculosis bacterium have?,Circular chromosome,A single circular chromosome.
bacteria,Nitrogen-fixing bacteria,What molecule provides energy for nitrogen fixation in nitrogen-fixing bacteria nodules?,ATP,ATP.
people,Human pregnancy and birth,"In human birth, through what passage is the baby delivered?",Birth canal,The birth canal.
obama,Obama State of the Union addresses,Barack Obama highlighted which major health reform in the 2010 State of the Union?,Affordable Care Act,The Affordable Care Act.
paris,Paris airports,Which Paris airport is the primary hub for international flights in the Paris region?,Charles de Gaulle,Charles de Gaulle Airport.
bacteria,Bacteria vs viruses differences,Are Gram-negative bacteria characterized by an outer membrane that viruses lack?,Yes.,"Gram-negative bacteria have a unique outer membrane, but viruses can have a similar outer membrane-like structure."
people,Human cardiovascular system,Which chamber of the human heart receives blood from the body?,Right atrium,The right atrium.
chess,Castling rules in chess,What is another common term for castling?,Castle.,"""Castling is also known as the King's Rook Move."""
obama,Michelle Obama partnership,Who is Barack Obama's wife?,Michelle Obama,Michelle Obama.
obama,Obama military decisions,Which detention facility did Obama seek to close?,Guantanamo Bay,Guantánamo Bay Detention Center.
cats,Cat teeth and dental health,What should you do if you see loose cat teeth?,See a vet,Take your cat to a veterinarian for an examination.
chess,Chess scandals and controversies,What rating system is central to player rankings in chess and often discussed in controversies?,Elo rating,The Elo rating system.
paris,Paris art movements,Which Paris movement with Picasso and Braque developed geometric form in Montparnasse?,Cubism,Cubism.
lasers,Laser speed and light properties,Which phenomenon helps laser light be monochromatic?,Single longitudinal mode,Stimulated emission.
united_states,US music genres that originated in America,Which United States music genre emerged from Seattle in the late 1980s?,Grunge,Grunge music.
obama,Illinois state senate career,Barack Obama's pre-senate career included work as what?,Community organizer,Community organizer.
cats,Cat health and common diseases,What dental disease frequently affects cats?,Gingivitis,Periodontal disease.
bacteria,Antibiotic resistance mechanisms,What reduces antibiotic entry due to altered outer membrane in gram-negative bacteria?,Outer membrane changes.,Multidrug efflux pumps.
paris,Musée d'Orsay facts,In which Paris arrondissement is the Musée d'Orsay located?,7th arrondissement,The 7th arrondissement.
paris,Paris tourism statistics,Which district anchors Louvre and Tuileries?,1st arrondissement.,1st arrondissement.
paris,Paris cafés and café culture,What is the outdoor seating area of a Paris café called?,Terrasse,"A ""terrasse""."
united_states,US cultural landmarks and monuments,Which United States monument in Missouri commemorates westward expansion with a towering arch?,Gateway Arch,"Gateway Arch in St. Louis, Missouri."
chess,Pawn promotion rules in chess,What happens to the pawn after promotion in chess?,It is replaced by the promoted piece.,It becomes a queen.
dogs,Dog digestive system,Do dogs produce significant salivary amylase?,No,Dogs have very little salivary amylase.
dogs,Dog shows and competitions,What title is given to the top dog in its breed class?,Best of Breed,Best in Show.
the_moon,Moon rocks brought to Earth,Which lunar rock type dominates the highland crust?,Anorthosite,Feldspathic anorthosites.
paris,Paris economy and industries,What sector dominates the Paris economy?,Services,The service sector.
the_moon,Moon far side facts,Which crater served as Chang'e 4's far-side landing site?,Von Kármán crater,The Von Kármán crater.
paris,Paris literary history,Which Hugo novel is titled after a Paris cathedral and features Quasimodo?,The Hunchback of Notre-Dame,The Hunchback of Notre-Dame.
