concept,question,answer
electrical_engineering,"Length of the cable is doubled, its capacitance C will be",doubled.
anatomy,Which of one of the following statements about the postnatal growth of the maxilla is correct?,The zygomaticomaxillary sutures contribute to increase in height and length of the maxilla
international_law,Which of the following types of rights have been described as first generation rights?,Civil and political rights
world_religions,What is the name of the Hindu community associated with environmental activism?,Bishnoi
world_religions,How many books are in the New Testament?,27
astronomy,Which factor s most important in determining the history of volanism and tectonism on a planet?,size of the planet
astronomy,How do scientists know that the majority of meteorites come from the asteroid belt?,The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.
international_law,Are the provisional measures issued by the ICJ binding upon the parties?,"Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding"
international_law,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,The Commission required a commitment to human rights and democracy
astronomy,What does the astronomical term ecliptic describe?,The path of the Sun in the sky throughout a year.
marketing,A probability sample constructed so that randomly selected sub-samples of different groups are represented in the total sample is called a:,Stratified sample.
high_school_geography,Which structure(s) traditionally occupies the center of a historic Asian city?,A religious building
computer_security,Which of the following is not a block cipher operating mode?,CBF
prehistory,How did Aurignacian technology differ from Mousterian technology?,Aurignacian technology produced more usable blade surface.
world_religions,When was the State of Israel established?,1948
marketing,"The development of social media has enabled individuals to communicate with organizations, communities, friends, and family. The content of the message can be about brands, experiences, or events, and is developed and shared by individuals. This is referred to as:",User-generated content.
marketing,"These are stores designed to kill off the competition and are characterized by narrow but very deep product assortment, low prices, and few to moderate customer services:",Category-killer stores.
prehistory,"Tiwanaku, with its capital at Titicaca, was one of the ___________ kingdoms of the ancient world.",highest
marketing,"In marketing, the term proposition:",Is a broad concept that encompasses the satisfaction of consumer needs.
anatomy,"When you examine a patient who has suffered an unfavourable fracture of the body of the mandible, you would expect the",anterior fragment to be displaced downwards by the action of the digastric muscle.
electrical_engineering,A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,lower surface of the conductor.
marketing,The pricing approach where prices are set based on what customers believe to offer value is called the:,Value-oriented approach.
astronomy,The International Space Station (ISS) circles the Earth approximately 410 km above the ground. Find the best estimate for the orbital speed of the ISS:,28000 km/h
anatomy,A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.,Pupillary constriction and vasodilation of facial vessels
prehistory,The native peoples of the northwest coast of North America were:,affluent foragers.
computer_security,Buffer-overflow may remain as a bug in apps if __________ are not done fully.,boundary checks
marketing,"When analysing consumer lifecycles, marketers look at consumers in differing stages of their life. Many models upon which these are based were developed in the 1960s. Since then a lot has changed in 'consumer lifecycles'. Which emerging trends should marketers take into consideration?",All of the above.
marketing,This approach has been used to convey particular information and help educate large target audiences through television and radio programmes. This approach is referred to as:,Opinion leaders.
computer_security,Which of the following is a Wireless traffic Sniffing tool?,Wireshark
abstract_algebra,"The set of integers Z with the binary operation ""*"" defined as a*b =a +b+ 1 for a, b in Z, is a group. The identity element of this group is",-1
prehistory,Mesopotamia is located between which two rivers?,Tigris and Euphrates
international_law,Which of the following statements is true?,The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law
abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3)) over Q.",4
electrical_engineering,The solid angle subtended by an area of 2400 cm^2 on the surface of a sphere of diameter 1.2 m is,2 / 3.
anatomy,Which of the following are mucus-producing glands located on each side of the vaginal opening?,Bartholin's
anatomy,Which muscle is the most active during a right lateral excursion of the mandible?,Left lateral pterygoid muscle
world_religions,"In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism
world_religions,"After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia
astronomy,A Mars year is approximately how many Earth years long?,2
astronomy,Mars might be a place for future human explorations. However humans can not breathe on the surface of Mars because the atmosphere consists mostly of ...,CO2
world_religions,"In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Morality
prehistory,Mayan city-states were NOT:,similar in their political organization to Egyptian communities.
computer_security,"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?
1. It would be impossible for services to send messages to oklogd.
2. It would be impossible for services to get a TCP connection to a database proxy.","False, False"
international_law,Which rule of jus cogens was the first to be accepted explicitly as such by the ICJ?,The prohibition of genocide
anatomy,The mucosa of the upper larynx is innervated by the,internal laryngeal nerve which is the afferent limb of the cough reflex.
world_religions,Which Jaina group only allows women to lead a life of semi-renunciation?,Digambara
computer_security,Why is it that the compiler does not know the absolute address of a local variable?,"As a stack-allocated variable, it could have different addresses depending on when its containing function is called"
high_school_geography,"Which language family contains Italian, Spanish, Portuguese, and Romanian?",Romance
international_law,"What is the meaning of ""act of State"" doctrine?",The act of State doctrine denotes that the assessment as to the existence of an alleged tort committed by a State belongs to the executive and not the courts
astronomy,The constellation ... is a bright W-shaped constellation in the northern sky.,Cassiopeia
computer_security,You are given a message (m) and its OTP encryption (c). Can you compute the OTP key from m and c ?,"Yes, the key is k = m xor c."
abstract_algebra,Statement 1 | 4x - 2 is irreducible over Z. Statement 2 | 4x - 2 is irreducible over Q.,"False, True"
anatomy,Palatine shelf elevation is due to the effect of,a combination of these three processes.
world_religions,What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name
abstract_algebra,"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",both symmetric and anti-symmetric
anatomy,Male hormones are produced by which of the following?,Testes
electrical_engineering,Which of the following are the passive elements?,Both
high_school_geography,Which one of the following demographic factors characterizes stages 4 and 5 in the demographic transition model?,Zero population growth
world_religions,"How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Wrathful and merciful
astronomy,Which of the following most likely explains why Venus does not have a strong magnetic field?,Its rotation is too slow.
high_school_geography,Which theorist(s) tried to explain the prices of farm products as they relate to patterns of land use?,Von Thünen
electrical_engineering,Which oscillators are easy to fabricate in a monolithic IC?,Relaxation oscillator.
world_religions,"According to Jaina traditions, who were the caityavasis?",Temple-dwelling renouncers
anatomy,Which of the following best describes the human body's defense mechanism against environmental bacteria?,Mucous membranes
abstract_algebra,"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.","True, True"
abstract_algebra,"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","True, False"
astronomy,What would weigh the most on the moon?,Five kilograms of feathers
international_law,Is there any priority among international courts and tribunals?,"Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals"
world_religions,The kshatriyas is the caste name assigned to which group?,"Rulers, warriors"
electrical_engineering,For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm
electrical_engineering,"The length of bus cycle in 8086/8088 is four clock cycles, T1, T2, T3, T4 and an indeterminate number of wait state clock cycles denoted by Tw. The wait states are always inserted between",T3 & T4
abstract_algebra,"A subset H of a group (G,*) is a group if","a,b in H=> a * b^-1 in H"
world_religions,The Continental Reformation started in what year?,1517
international_law,Is the unlawful homicide committed by Minister of country X abroad an act jure imperii or jure gestionis?,Such conduct is a private act (jure gestionis)
high_school_geography,A map that presents a single class of statistics is called a,thematic map.
abstract_algebra,Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"True, True"
abstract_algebra,Statement 1 | There exists a free abelian group of every positive integer rank. Statement 2 | A finitely generated abelian group is free abelian if its Betti number equals the number of elements in some generating set.,"True, True"
anatomy,Complete bilateral cleft palate is due to failure of fusion of the,"palatine, frontonasal and secondary nasal processes."
astronomy,When traveling north from the United States into Canada you’ll see the North Star (Polaris) getting _________.,Higher in the sky
prehistory,"Unlike Mesopotamian writings, the records left by the Maya are principally concerned with:",political and military history.
abstract_algebra,Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"False, False"
prehistory,"Which of the following sites has monumental earthworks with concentric ridges in a semicircle that date from around 3,500 years ago?",Poverty Point
prehistory,What is the difference between an absolute date and a relative date?,"An absolute date refers to a year or a range of years, while a relative date indicates a chronological order."
abstract_algebra,Statement 1 | The unity of a subring must be the same as the unity of the ring. Statement 2 | Every field is an integral domain.,"False, True"
world_religions,For whom are the Hindu Vedas most significant?,Brahmins
astronomy,What is not true of Jupiter's magnetic field?,it switches polarity every 11 years
marketing,An electronic version of the spoken endorsement of an offering is known as:,Viral marketing.
international_law,What is passive personality jurisdiction?,It is jurisdiction based on the nationality of the victims
astronomy,What drives differentiation?,The minimization of gravitational potential energy.
computer_security,___________ is a process of wireless traffic analysis that may be helpful for forensic investigations or during troubleshooting any wireless issue.,Wireless Traffic Sniffing
astronomy,Our current best observations show that Pluto has,one medium sized satellite and two small satellites.
high_school_geography,Shifting cultivation is most often practiced in,tropical forests.
prehistory,"Which of the following characteristics of modern humans is the most ancient, pre-dating the Late Stone Age, the Upper Paleolithic and even anatomically modern humans?",improved stone tool technologies
anatomy,Primary motor cortex activity results in,contraction of contralateral limb musculature.
international_law,Which of the examples below has not been developed by the European Court of Human Rights as a situation where the state has a positive obligation to protect?,To provide housing for all those homeless within a state
international_law,What is the difference between political and legal means of dispute settlement?,"The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods"
marketing,The process of outsourcing a task or group of tasks to a generally large group of people is known as:,Crowdsourcing.
marketing,"____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.",Brand imagery.
marketing,The marketing communications strategy of the marketing mix deals exclusively with:,"Engagement, audiences, and responses."
electrical_engineering,"The moving coil-meters, damping is provided by",the aluminium frame of the coil.
world_religions,Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.
high_school_geography,Change in any culture is introduced through all the following processes EXCEPT,gravity.
prehistory,Lewis Henry Morgan's stages of human culture are known as:,Unilineal evolution.
marketing,______________ is used to determine whether one variable causes an effect in another variable. In order to determine causality experimental or longitudinal studies are needed.,Causal research.
marketing,"This branding policy requires that all the products use the organization's name, either entirely or in part, e.g. Microsoft, Heinz, and Kellogg's",Family branding.
international_law,Who is an 'injured State' in the law of international responsibility?,"A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected"
international_law,What is the meaning of functional recognition?,Recognition is only afforded to particular administrative acts not to the entity's declared statehood
astronomy,What is the significance of the 1:2:4 resonance in the Jupiter's moons system?,It makes the orbit of Io slightly elliptical.
computer_security,"_____________ can modify data on your system – so that your system doesn’t run correctly or you can no longer access specific data, or it may even ask for ransom in order to give your access.",Ransom Trojan
electrical_engineering,Snubber circuit is used with SCR,in parallel.
international_law,Can countries rely on their domestic law as an excuse to violate their obligations under international law?,Obligations under international law prevail over domestic law
electrical_engineering,Which of the following memories uses one transistor and one capacitor as basic memory unit,DRAM
world_religions,Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Amun and Mut
electrical_engineering,In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10
astronomy,Which planet(s) in the solar system has/have active plate tectonics?,Earth
anatomy,"Which of the following organs removes bilirubin from the blood, manufactures plasma proteins, and is involved with the production of prothrombin and fibrinogen?",Liver
prehistory,what is one of the important differences between the middle and upper paleolithic?,"a profusion of stone tool traditions, indicating a change from temporal and geographic homogeneity to greater diversity and variability"
world_religions,What is a mohel?,A ritual circumciser
marketing,A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,Permission-based email marketing.
computer_security,Which of the following is not a security exploit?,Authentication
abstract_algebra,The set of all nth roots of unity under multiplication of complex numbers form a/an,abelian group
world_religions,The term xin refers to which of the following?,Heart-mind
computer_security,"Let HH be a Merkle-Damgard hash function is H:X^{\leq L} \to TH:X^≤L  →T. Construct a MAC from this HH as follows: \ \ S(k,m) = H(k \| m)  S(k,m)=H(k∥m). This mac is insecure because:",Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| \text{PB} \| w)H(k∥m∥PB∥w) for any ww
prehistory,"During the Pleistocene era, the islands of Java, Sumatra, Bali, and Borneo formed ___________. The landmass connecting Australia, New Guinea, and Tasmania was called ___________.",Sunda; Sahul
astronomy,Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere
world_religions,The term mappo is associated with which of the following?,An age of decline
international_law,What is the meaning of 'secondary rules' in the law of international responsibility?,"Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States"
high_school_geography,The tendency for migration to decrease with distance is called,distance decay.
anatomy,Parasympathetic preganglionic axons leave the CNS with the,sacral spinal nerves.
international_law,What kind of State practice is required?,"Widespread, consistent and uniform practice, consisting both of acts and omissions."
computer_security,"A _________________ may be a hidden part of a program, a separate infected program a Trojan in disguise of an executable or code in the firmware of any system’s hardware.",backdoor
computer_security,"___________________ is alike as that of Access Point (AP) from 802.11, & the mobile operators uses it for offering signal coverage.",Base Transceiver Station
astronomy,What is the correct numerical value and unit of the Boltzmann constant?,1.38 × 10−23 m^2 · kg · s^−2 · K^−1
high_school_geography,The use and spread of English in nineteenth-century India is an example of what type of diffusion?,Hierarchal
international_law,Is recognition of governments prevalent in contemporary international practice?,Recognition of governments has largely been replaced by functional Recognition
anatomy,"If the foot is abducted, it is moved in which direction?",Downward
astronomy,The astronomical unit parsec (pc) plays a crucial role in astronomy. One parsec is equal to about 3.26 light-years. How is one parsec defined in astronomy?,Distance at which one astronomical unit measures one arcsecond from Earth.
computer_security,"Encryption and decryption provide secrecy, or condentiality, but not",Integrity
anatomy,"In the brain stem, pathways for:",skilled motor movements decussate in the pyramids.
anatomy,Oxygenated blood is carried to the heart by which of the following structures?,Pulmonary veins
international_law,What was the consequence from the absence of implementing legislation in the Tin Council case?,The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system
abstract_algebra,Find the maximum possible order for an element of S_n for n = 10.,30
world_religions,"Which movement rejected Confucianism and Buddhism in favor of ""true"" Japanese spiritual traditions?",Kokugaku
international_law,May States incur liability for the debts and wrongdoings attributable to an international organisation to which they are parties?,The legal person of the organisation is distinct from that of its member States
world_religions,"According to Hindu tradition, who is considered to be the ideal wife?",Sita
high_school_geography,All of the following are non-basic jobs in the city EXCEPT,garment factory worker.
electrical_engineering,Which of the following is/are the advantages of a closed loop control system?,both A and B.
prehistory,Which of the following ancient civilizations has a written language that is the furthest from being fully deciphered?,the Indus Valley
high_school_geography,Which of the following statements is NOT part of Gunnar Myrdal's theory of cumulative causation?,Developing and developed regions share similarly in wealth through trade.
astronomy,Which of the following countries has sent landers to Venus?,The U.S.S.R.
marketing,Nysveen and Pedersen (2014) added in key dimensions of customer experience. The ______________ refers to how strongly a brand engages consumers in physical activities.,Behavioural dimension.
marketing,"Before beginning the market segmentation process, a firm should:",Identify bases for segmenting markets.
international_law,What is personal (ratione personae) immunity?,Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity
prehistory,"What made it possible to recover the nearly intact finely-made wooden spears from a 300,000-year-old site at Schöningen, Germany?",The soil was waterlogged and provided conditions that allowed for the preservation of organic material.
computer_security,A special tool is necessary for entering the network which is _______________ that helps the anonymous internet users to access into the Tor’s network and use various Tor services.,Tor browser
prehistory,A subsistence strategy and settlement pattern based on seasonality and planned acquisition of resources is known as:,logistical collecting.
prehistory,What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,finely crafted large jade disks called bi
high_school_geography,"Olives, grapes, and chickpeas are staple crops of which type of farming?",Mediterranean
anatomy,The mucosa of the hard palate is,keratinised and has submucosa and minor salivary glands posterolaterally.
anatomy,The trachea,lies superficial to the oesophagus.
anatomy,"Which of the following is a structural, fibrous protein found in the dermis?",Collagen
marketing,"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",Winner's curse.
world_religions,What does the Tripitaka mean?,Three baskets
astronomy,We were first able to accurately measure the diameter of Pluto from:,brightness measurements made during mutual eclipses of Pluto and Charon
high_school_geography,Which of the following is a push factor?,Dissatisfaction with current jobs
high_school_geography,Which of the following religions developed first?,Hinduism
international_law,"What is the meaning of ""armed attack"" in Article 51 UN Charter?",Armed attack includes all high intensity instances of armed force
international_law,Which one of the following statements is correct?,The Council of Europe was established in 1949 and consists of 47 member states
prehistory,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,"sarsens, lintels"
electrical_engineering,Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus
abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",24
marketing,___________ occurs when a website's structure and content is improved to maximize its listing in organic search engine results pages using relevant keywords or search phrases.,Search engine optimization.
electrical_engineering,The number of rings in the Bohr model of any element is determined by what?,Row number on periodic table.
computer_security,"Let F: K \times R \to MF:K×R→M be a secure PRF. For m \in Mm∈M define E(k,m) = \big[ r \gets R,\ \text{output } \big(r,\ F(k,r) \oplus m\big)\ \big]E(k,m)=[r←R, output (r, F(k,r)⊕m) ] Is EE symantically secure under CPA?","Yes, but only if R is large enough so r never repeats (w.h.p)"
astronomy,The terrestrial planet cores contain mostly metal because,metals sank to the center during a time when the interiors were molten throughout.
world_religions,"In which dynasty was the ""Mandate of Heaven"" developed to legitimatize the new rulers?",Zhou
electrical_engineering,Relaxation Voltage controlled oscillators are used to generate,Both B and C
prehistory,"What is the Aztec word for a spear-throwing device developed in Europe more than 30,000 years ago?",atlatl.
computer_security,Three of the following are classic security properties; which one is not?,Availability
electrical_engineering,In decimal number system what is MSD,First digit from left to right
world_religions,"When did the Babylonian captivity of ""Exile"" begin?",586 BCE
anatomy,"When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately",inferior to the thyroid cartilage.
world_religions,Mani referred to God by which of the following names?,Father of Goodness
astronomy,Radio telescopes are crucial for astronomical observations. Which one of these well-known radio telescopes has the largest parabolic antenna?,Arecibo Telescope
international_law,Which of the following statements is inaccurate?,Proportionality is the same as reasonableness
world_religions,"What is the meaning of the Punjabi word ""Sikh""?",Disciple
anatomy,Which one of the following brain areas is supplied by branches of the subclavian arteries?,The cerebellum
anatomy,Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,Nephrolithiasis
astronomy,You observe the visible spectrum of a star viewed through a cloud of cool hydrogen gas.,You see the star’s blackbody spectrum with absorption lines due to hydrogen.
high_school_geography,"Part of the boundary between the United States and Mexico is the Rio Grande, an example of",a natural boundary.
high_school_geography,Which group enacted the first effective settlement in the eastern United States?,"British (English, Scotch-Irish, Welsh, Scottish)"
world_religions,After what event did the Rabbinical period begin within Judaism?,Destruction of the Second Temple
prehistory,Which best describes Stonehenge?,Megalithic monument
international_law,The UN Vienna Declaration 1993 declared that,"All types of rights are indivisible, interrelated and interdependent"
high_school_geography,"The attempt by core countries to stimulate increased agricultural production in the periphery through use of technology, hybrid seed, and fertilizers is called the",Green Revolution.
world_religions,With which branch of Islam are the Isma'ilis are associated?,The Shi'a
electrical_engineering,The main advantage of dielectric heating is that,heating occurs in the material itself.
international_law,Which case was the first to define the meaning of the doctrine of 'margin of appreciation' as applied by the European Court of Human Rights?,Handyside v UK (1976)
electrical_engineering,"For audio frequency applications, the popular oscillator used is",Wien bridge oscillator
world_religions,"The Oral Torah, in its written form, is known as what?",Mishnah
international_law,How are the members of the arbitral tribunal appointed?,All the members of the arbitral tribunal are appointed by the parties
marketing,____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.,Print.
abstract_algebra,"If A = (1, 2, 3, 4). Let ~= {(1, 2), (1, 3), (4, 2)}. Then ~ is",transitive
high_school_geography,What family do most European languages belong to?,Indo-European
electrical_engineering,"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.
high_school_geography,The majority of workers in periphery countries are probably employed in which type of activities?,Primary
electrical_engineering,Which of the following is the analogous quantity for mass element in force-voltage analogy?,Inductance.
high_school_geography,The rate of natural increase of a population is found by subtracting the,crude death rate from the crude birth date.
astronomy,All of the following have been cited as evidence for the Giant Impact Hypothesis except:,Most rocks on the Moon’s surface are older than those on the Earth’s surface.
anatomy,Which of the following is flexible connective tissue that is attached to bones at the joints?,Cartilage
world_religions,"Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad
marketing,___________ act as cues by indicating to a potential customer that there is a bargain to be had.,Sale signs.
prehistory,"Upon exploring Rhode Island, the Italian navigator Giovanni de Verrazzano noted that the native people resembled:",Asians.
anatomy,The regional lymphatic drainage of the left side of the tip of the tongue is to the,left and right submental lymph nodes.
computer_security,"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?
1. An attacker stealing the server’s private key and reading the plaintext of recorded past connections.
2. An attacker breaking into a certificate authority and creating a fake certificate for the server.","True, False"
anatomy,The spheno-occipital synchondrosis,influences the position of the viscerocranium.
high_school_geography,"If you wanted to find the global distribution of coal, you would use a",thematic map.
anatomy,Which of the following foramina pierce the sphenoid bone?,"The foramen ovale, rotundum and spinosum"
prehistory,Archaeological evidence for the collapse of civilizations suggests which of the following is the most important variable?,how societies respond to challenges
world_religions,What does the term anatman mean?,No-self
astronomy,Why are there no impact craters on the surface of Io?,Io did have impact craters but they have all been buried in lava flows.
computer_security,Encapsulating Security Payload (ESP) belongs to which Internet Security Protocol?,Secure IP Protocol
prehistory,"The construction of large-scale features, such as mounds and shell middens, is often taken by archaeologists as evidence of:",social and political complexity.
anatomy,Which of the following terms describes the motion of bending the forearm toward the body?,Flexion
anatomy,You notice a lesion on the labial alveolar mucosa of the lower right lateral incisor tooth of one of your patients and decide to take a biopsy to send for oral pathology report Which nerve would require local anaesthesia in order to carry out a pain-free biopsy?,The mental nerve
marketing,Which of the following is best understood as a period of time during which a customer interacts directly with a service?,Service encounters.
anatomy,Which statement concerning the atrioventricular bundle is correct?,It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles
world_religions,"Which of the following does the term ""Arhats"" refer to?",Enlightened being
prehistory,The “Lion Man” from Hohlenstein-Stadel cave is an example of:,mobiliary art.
astronomy,If you lived on Venus what phases of the Earth would you see? (Assume your telescope can see through Venus’s thick clouds…),Waxing gibbous Full Waning gibbous
abstract_algebra,"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","True, True"
high_school_geography,Which of the following statements does NOT describe a factor that contributed to suburbanization in the United States?,Fixed-route public transit routes increased in importance.
world_religions,What is a central component of tantric Buddhism?,Sexual union
international_law,Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,"We look for established principles of law, which are common to all major legal systems"
marketing,Why is market segmentation carried out?,"By grouping together customers with similar needs, it provides a commercially viable method of serving these customers."
computer_security,"Based on the paper “Click Trajectories: End-to-End Analysis of the Spam Value Chain”, which of the following statements are true? “Spammers” here refer to operators of various parts of the “spam value chain.”",B and C
international_law,What is the meaning of implied authorisation?,Presumption of Security Council approval of armed force when a State has been forewarned
abstract_algebra,"Statement 1 | S_n is non-Abelian for all n >= 3. Statement 2 | If a is a permutation that is an m-cycle and b is a permutation that is an n-cycle, then |ab| = lcm(m,n).","True, False"
electrical_engineering,Which of these sets of logic gates are designated as universal gates?,"NOR, NAND."
prehistory,"The ""grandmother effect"" refers to:",the decrease in child mortality associated with the presence of older generations.
abstract_algebra,"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).","False, False"
marketing,Individuals become completely immersed in their environment and actively participate so that they affect actual performances or occurrences in the environment. This is referred to as:,Escapist realm.
prehistory,"Based on the analysis of oxygen isotope ratios in the shells of gastropods found in the sediments of an ancient lake, what happened to civilization in the Indus Valley?",It eventually collapsed due to climate change and drought.
world_religions,Which Christian denomination promotes a stripped-down Christianity?,Quakers
computer_security,"In Brumley and Boneh’s paper on side-channel attacks, why does blinding prevent the timing attack from working?","Blinding randomizes the ciphertext being decrypted, thus obscuring the correlation between an adversary’s input and the timing differences."
prehistory,The skulls of the earliest migrants to the New World do not match those of modern Native Americans. This suggests that:,craniometrics is an unreliable method of tracking populations.
