concept,subtopic,question,answer
bacteria,Gram-positive vs gram-negative bacteria,Gram-negative bacteria have which molecule in their outer membrane?,LPS (lipopolysaccharide)
bacteria,Gram-positive vs gram-negative bacteria,Do Gram-positive bacteria have an outer membrane?,No outer membrane
bacteria,Gram-positive vs gram-negative bacteria,Are porins more characteristic of Gram-positive or Gram-negative bacteria?,Gram-negative
bacteria,Gram-positive vs gram-negative bacteria,Name a Gram-positive genus known for endospore formation.,Bacillus
bacteria,Gram-positive vs gram-negative bacteria,Name a Gram-negative bacterium commonly used in lab experiments.,Escherichia coli
bacteria,Gram-positive vs gram-negative bacteria,Which Gram type commonly forms biofilms with extracellular polysaccharides?,Gram-positive
bacteria,Binary fission and reproduction,Binary fission in bacteria yields how many daughter cells?,Two daughter cells.
bacteria,Binary fission and reproduction,"During bacterial binary fission, which genetic element is replicated first?",Chromosome.
bacteria,Binary fission and reproduction,What is the reproduction method called in bacteria that creates two identical cells?,Binary fission.
bacteria,Binary fission and reproduction,"In bacterial binary fission, along which plane does the cell divide?",Equatorial plane.
bacteria,Binary fission and reproduction,How does biofilm formation affect bacterial binary fission rate?,Slows growth.
bacteria,Binary fission and reproduction,Which extra-chromosomal DNA element is commonly replicated in bacteria during binary fission?,Plasmid.
bacteria,Binary fission and reproduction,"If two daughter bacteria remain attached after binary fission, what arrangement is formed?",Diplococci.
bacteria,Binary fission and reproduction,What must be duplicated in bacteria before binary fission to ensure proper distribution?,Chromosome.
bacteria,Binary fission and reproduction,What process forms the division septum in bacterial binary fission?,Septum formation.
bacteria,Binary fission and reproduction,Which bacterial protein forms the division ring during binary fission?,FtsZ.
bacteria,Binary fission and reproduction,Does binary fission generate genetic variation among daughter bacteria?,No.
bacteria,Binary fission and reproduction,What term describes the rapid doubling of a bacterial population by binary fission?,Doubling time.
bacteria,Binary fission and reproduction,"During bacterial binary fission, what happens at the division site of the cell envelope?",Cell wall synthesis.
bacteria,Binary fission and reproduction,Are daughter bacteria produced by bacterial binary fission genetically identical?,"Yes, identical."
bacteria,Binary fission and reproduction,"During bacterial binary fission, how are plasmids allocated to daughter cells?",Distributed to daughters.
bacteria,Binary fission and reproduction,Which ring-like structure initiates septum formation in bacterial binary fission?,FtsZ ring.
bacteria,Binary fission and reproduction,What term describes bacterial reproduction by binary fission yielding clonal populations?,Clonal reproduction.
bacteria,Binary fission and reproduction,What process ensures equal chromosome segregation during bacterial binary fission?,Chromosome segregation.
bacteria,Binary fission and reproduction,What energy currency primarily drives bacterial binary fission?,ATP.
bacteria,Binary fission and reproduction,What cellular material is evenly partitioned between two daughter bacteria during binary fission?,Cytoplasm.
bacteria,Antibiotic resistance mechanisms,What bacterial mechanism uses efflux pumps to remove antibiotics?,Efflux pumps.
bacteria,Antibiotic resistance mechanisms,Which bacterial enzyme destroys beta-lactam antibiotics?,Beta-lactamases.
bacteria,Antibiotic resistance mechanisms,What changes reduce antibiotic entry into bacterial cells via porins?,Porin loss.
bacteria,Antibiotic resistance mechanisms,What mechanism alters antibiotic targets in bacteria?,Target modification.
bacteria,Antibiotic resistance mechanisms,What process in bacteria enzymatically inactivates antibiotics?,Enzymatic inactivation.
bacteria,Antibiotic resistance mechanisms,Which mobile genetic element carries resistance genes between bacteria?,Plasmid.
bacteria,Antibiotic resistance mechanisms,How does biofilm formation affect antibiotic susceptibility in bacteria?,Biofilms increase tolerance.
bacteria,Antibiotic resistance mechanisms,Which process transfers resistance genes horizontally between bacteria?,Horizontal gene transfer.
bacteria,Antibiotic resistance mechanisms,What mutations alter antibiotic target sites in bacteria?,Target-site mutations.
bacteria,Antibiotic resistance mechanisms,What plasmid type often carries multiple resistance genes?,R-plasmid.
bacteria,Antibiotic resistance mechanisms,Are porin changes more common in gram-positive or gram-negative bacteria?,Gram-negative.
bacteria,Antibiotic resistance mechanisms,What reduces antibiotic entry due to altered outer membrane in gram-negative bacteria?,Outer membrane changes.
bacteria,Antibiotic resistance mechanisms,What bacterial strategy uses biofilms as a barrier to antibiotics?,Biofilm barrier.
bacteria,Antibiotic resistance mechanisms,Which process spreads resistance traits via plasmid conjugation?,Conjugation.
bacteria,Antibiotic resistance mechanisms,Which bacterial cells survive antibiotic exposure without being genetically resistant?,Persister cells.
bacteria,Bacterial flagella and motility,What energy source powers bacterial flagellar rotation?,proton motive force
bacteria,Bacterial flagella and motility,Name the three main parts of the bacterial flagellum.,"filament, hook, basal body"
bacteria,Bacterial flagella and motility,"In bacteria, which arrangement features flagella around the cell surface?",peritrichous
bacteria,Bacterial flagella and motility,What term describes bacteria with a single flagellum at one end?,monotrichous
bacteria,Bacterial flagella and motility,Which component is made of flagellin in bacteria?,filament
bacteria,Bacterial flagella and motility,Which bacterial organelle acts as a rotary motor?,flagellum
bacteria,Bacterial flagella and motility,What motility pattern shows runs and tumbles in bacteria?,run-and-tumble
bacteria,Bacterial flagella and motility,Which ion powers flagellar rotation in many bacteria?,protons
bacteria,Bacterial flagella and motility,What connects the flagellar filament to the basal body in bacteria?,hook
bacteria,Bacterial flagella and motility,Where is the basal body located in Gram-negative bacteria?,cell envelope
bacteria,Bacterial flagella and motility,What is the state called when a bacterium stops running and changes direction?,tumble
bacteria,Bacterial flagella and motility,What is the typical rotation direction during runs in Gram-negative bacteria?,counterclockwise
bacteria,Bacterial flagella and motility,What is the rotor component of the bacterial flagellar motor called?,MS ring
bacteria,Bacterial flagella and motility,Which gene encodes flagellin in bacteria?,fliC
bacteria,Bacterial flagella and motility,What process enables movement toward chemicals in bacteria?,chemotaxis
bacteria,Bacterial flagella and motility,Which bacterium is a model organism for flagella research?,Escherichia coli
bacteria,Bacterial flagella and motility,What term describes switching from CW to CCW rotation in bacteria?,CheY
bacteria,Bacterial flagella and motility,What flagellar arrangement do Vibrio bacteria typically have?,polar flagellum
bacteria,Bacterial flagella and motility,What determines the speed of bacterial flagellar rotation?,torque
bacteria,Bacterial flagella and motility,What term describes bacteria with flagella at both ends?,amphitrichous
bacteria,Biofilm formation,What is a biofilm in bacteria?,Surface-attached microbial community
bacteria,Biofilm formation,Which bacterial process leads to biofilm formation?,Quorum sensing
bacteria,Biofilm formation,Name a structural component common in bacterial biofilms.,Extracellular polymeric substance
bacteria,Biofilm formation,Which bacterial appendage commonly mediates initial attachment in biofilms?,Fimbriae
bacteria,Biofilm formation,What extracellular matrix is produced by bacteria in biofilms?,Exopolysaccharide
bacteria,Biofilm formation,"In biofilm formation, what role do plasmids play in bacteria?",Carry biofilm genes
bacteria,Biofilm formation,Which bacteria commonly form biofilms on teeth?,Streptococcus mutans
bacteria,Biofilm formation,What term describes bacterial cells in a biofilm communicating via signals?,Quorum sensing
bacteria,Biofilm formation,Which antibiotic challenge is common for biofilms?,Antibiotic tolerance
bacteria,Biofilm formation,Which bacterial genus is noted for dental biofilms?,Streptococcus
bacteria,Biofilm formation,Name a gram-positive bacterium known for biofilm formation on medical devices.,Staphylococcus aureus
bacteria,Biofilm formation,What term describes the spatial structure of a biofilm?,Biofilm architecture
bacteria,Biofilm formation,Which signaling molecules are used in bacterial biofilm formation?,Autoinducers
bacteria,Biofilm formation,Do bacteria in biofilms communicate through quorum sensing?,Yes
bacteria,Biofilm formation,Name a gram-negative bacterium known to form biofilms on medical implants.,Pseudomonas aeruginosa
bacteria,Biofilm formation,What environmental cue induces biofilm formation in bacteria?,Surface contact
bacteria,Biofilm formation,What component forms the protective matrix in bacterial biofilms?,Exopolysaccharide
bacteria,Biofilm formation,Which stage follows initial attachment in biofilm development?,Maturation
bacteria,Biofilm formation,Name a visualization method to study bacterial biofilms.,Confocal microscopy
bacteria,Biofilm formation,Can biofilms form on both biotic and abiotic surfaces in bacteria?,Yes
bacteria,Pathogenic bacteria species,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis
bacteria,Pathogenic bacteria species,"Name a Gram-negative, curved rod that causes cholera.",Vibrio cholerae
bacteria,Pathogenic bacteria species,Which Gram-positive cocci commonly form biofilms on catheters?,Staphylococcus epidermidis
bacteria,Pathogenic bacteria species,Which pathogenic bacterium often carries toxin genes on plasmids and causes food poisoning?,Staphylococcus aureus
bacteria,Pathogenic bacteria species,Which spore-forming Gram-positive rod causes botulism?,Clostridium botulinum
bacteria,Pathogenic bacteria species,Which pathogenic bacterium is a Gram-negative diplococcus causing meningitis?,Neisseria meningitidis
bacteria,Pathogenic bacteria species,Which bacterium causes syphilis?,Treponema pallidum
bacteria,Pathogenic bacteria species,Which Gram-negative rod causes whooping cough?,Bordetella pertussis
bacteria,Pathogenic bacteria species,Which bacterium causes Legionnaires' disease?,Legionella pneumophila
bacteria,Pathogenic bacteria species,Which bacterium is a major cause of dental caries?,Streptococcus mutans
bacteria,Pathogenic bacteria species,Which Gram-negative curved rod colonizes the stomach and causes ulcers?,Helicobacter pylori
bacteria,Pathogenic bacteria species,Which Gram-positive rod causes diphtheria?,Corynebacterium diphtheriae
bacteria,Pathogenic bacteria species,Which Gram-negative bacillus caused the bubonic plague?,Yersinia pestis
bacteria,Pathogenic bacteria species,Which Gram-negative coccobacillus causes chancroid?,Haemophilus ducreyi
bacteria,Pathogenic bacteria species,Which bacterium forms persistent biofilms in CF lungs and resists antibiotics?,Pseudomonas aeruginosa
bacteria,Pathogenic bacteria species,Which anaerobic Gram-positive rod causes gas gangrene?,Clostridium perfringens
bacteria,Pathogenic bacteria species,Which acid-fast bacterium causes leprosy?,Mycobacterium leprae
bacteria,Pathogenic bacteria species,Which Gram-positive cocci cause impetigo and necrotizing fasciitis?,Streptococcus pyogenes
bacteria,Pathogenic bacteria species,Which Gram-negative rod includes pathogenic strains known as O157:H7?,Escherichia coli
bacteria,Beneficial gut bacteria,Which gut bacteria are commonly used as probiotics in yogurt?,Lactobacillus and Bifidobacterium
bacteria,Beneficial gut bacteria,"Faecalibacterium prausnitzii, a gut bacterium, is a major producer of which short-chain fatty acid?",Butyrate
bacteria,Beneficial gut bacteria,Name a gram-positive gut bacterium that enhances digestion.,Lactobacillus
bacteria,Beneficial gut bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii
bacteria,Beneficial gut bacteria,What term describes a protective community of bacteria on the gut lining?,Biofilm
bacteria,Beneficial gut bacteria,Name a gram-negative gut bacterium that is a common commensal.,Bacteroides
bacteria,Beneficial gut bacteria,What mobile genetic element do gut bacteria commonly transfer to share traits?,Plasmid
bacteria,Beneficial gut bacteria,Which species of Bifidobacterium is common in breastfed infants?,Bifidobacterium longum
bacteria,Beneficial gut bacteria,Name a gram-positive gut bacterium known for lactic acid production.,Lactobacillus
bacteria,Beneficial gut bacteria,Which bacterium in the gut is a key butyrate producer besides Faecalibacterium?,Roseburia
bacteria,Beneficial gut bacteria,Which trait helps probiotic bacteria survive stomach acidity?,Acid tolerance
bacteria,Beneficial gut bacteria,Which gram-positive genus includes many lactic acid bacteria in the gut?,Lactobacillus
bacteria,Beneficial gut bacteria,Which bacterial genus is widely used as a probiotic and forms lactic acid in the gut?,Lactobacillus
bacteria,Beneficial gut bacteria,What term describes bacteria that help resist pathogen colonization by occupying niches?,Competitive exclusion
bacteria,Bacterial taxonomy and classification,Which bacterial phylum includes Bacillus and Clostridium?,Firmicutes
bacteria,Bacterial taxonomy and classification,Staphylococcus aureus belongs to which bacterial genus?,Staphylococcus
bacteria,Bacterial taxonomy and classification,Escherichia coli belongs to which bacterial class?,Gammaproteobacteria
bacteria,Bacterial taxonomy and classification,Mycobacterium tuberculosis belongs to which bacterial phylum?,Actinobacteria
bacteria,Bacterial taxonomy and classification,Neisseria meningitidis belongs to which bacterial phylum?,Proteobacteria
bacteria,Bacterial taxonomy and classification,Bacillus subtilis is a member of which bacterial class?,Bacilli
bacteria,Bacterial taxonomy and classification,Streptococcus pyogenes belongs to which bacterial order?,Lactobacillales
bacteria,Bacterial taxonomy and classification,Streptococcaceae is the bacterial family for which genus?,Streptococcus
bacteria,Bacterial taxonomy and classification,Which taxonomic rank is directly above bacterial genus?,Family
bacteria,Bacterial taxonomy and classification,Which taxonomic rank is directly below bacterial class?,Order
bacteria,Bacterial taxonomy and classification,Which bacterial domain includes all bacteria?,Bacteria
bacteria,Bacterial taxonomy and classification,Vibrio vulnificus belongs to which bacterial phylum?,Proteobacteria
bacteria,Bacterial taxonomy and classification,Pseudomonas aeruginosa belongs to which bacterial class?,Gammaproteobacteria
bacteria,Bacterial taxonomy and classification,Bacillus belongs to which bacterial order?,Bacillales
bacteria,Bacterial taxonomy and classification,What is the type genus of the bacterial family Staphylococcaceae?,Staphylococcus
bacteria,Bacterial taxonomy and classification,"Which bacterial phylum is characterized by Gram-positive, high G+C content?",Actinobacteria
bacteria,Bacterial taxonomy and classification,Corynebacterium belongs to which bacterial class?,Actinobacteria
bacteria,Bacterial taxonomy and classification,Mycobacterium belongs to which bacterial order?,Mycobacteriales
bacteria,Bacterial taxonomy and classification,Salmonella belongs to which bacterial phylum?,Proteobacteria
bacteria,Bacterial taxonomy and classification,Which taxonomic rank follows domain in bacterial classification?,Phylum
bacteria,Endospore formation,What is the bacterial process that forms endospores?,sporulation
bacteria,Endospore formation,"In bacterial sporulation, which cell becomes the endospore?",forespore
bacteria,Endospore formation,What layer surrounds the endospore core in bacteria?,spore coat
bacteria,Endospore formation,What is the water content of the endospore core in bacteria?,low water content
bacteria,Endospore formation,What molecule stabilizes the endospore core by binding calcium in bacteria?,dipicolinic acid
bacteria,Endospore formation,Which bacterial genus is well known for endospore formation among Gram-positive microbes?,Bacillus
bacteria,Endospore formation,What triggers endospore germination in bacteria?,nutrients
bacteria,Endospore formation,"During sporulation in bacteria, which stage involves the engulfment of the forespore by the mother cell?",engulfment
bacteria,Endospore formation,What component helps endospores resist desiccation and heat in bacteria?,Ca-DPA
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore
bacteria,Endospore formation,What proteins protect bacterial DNA inside endospores?,SASPs
bacteria,Endospore formation,What ion is notably stored with dipicolinic acid in bacterial endospores?,calcium
bacteria,Endospore formation,What is the Gram status of most endospore-forming bacteria?,Gram-positive
bacteria,Endospore formation,What happens to the bacterial mother cell to release the mature endospore?,lysis
bacteria,Endospore formation,Which two genera dominate bacterial endospore formation?,Bacillus and Clostridium
bacteria,Endospore formation,What process germinates the bacterial endospore back to a vegetative cell?,germination
bacteria,Endospore formation,What is the function of the endospore cortex in bacteria?,dehydration
bacteria,Endospore formation,Where is the endospore DNA located during dormancy in bacteria?,in the core
bacteria,Endospore formation,Can Gram-negative bacteria form endospores?,No
bacteria,Bacterial genetics and plasmids,What is a plasmid in bacteria?,Small circular DNA molecule
bacteria,Bacterial genetics and plasmids,What process transfers plasmids between bacteria via cell contact?,Conjugation
bacteria,Bacterial genetics and plasmids,Which Gram type frequently harbors antibiotic-resistance plasmids?,Gram-negative bacteria
bacteria,Bacterial genetics and plasmids,What is the origin of replication in plasmids abbreviated as?,ori
bacteria,Bacterial genetics and plasmids,What term describes a plasmid that does not integrate into the chromosome?,Non-integrative plasmid
bacteria,Bacterial genetics and plasmids,What is the common name for plasmids carrying resistance genes?,R-plasmids
bacteria,Bacterial genetics and plasmids,Can plasmids influence biofilm formation in bacteria?,Yes
bacteria,Bacterial genetics and plasmids,Which plasmid-encoded protein initiates replication?,Rep protein
bacteria,Bacterial genetics and plasmids,What type of plasmid can move between bacteria by conjugation?,Conjugative plasmid
bacteria,Bacterial genetics and plasmids,What term describes plasmids that exist in multiple copies per cell?,Copy-number plasmids
bacteria,Bacterial genetics and plasmids,What method imports free plasmid DNA into a bacterium?,Transformation
bacteria,Bacterial genetics and plasmids,What plasmid component carries antibiotic resistance genes?,Resistance genes
bacteria,Bacterial genetics and plasmids,What role do plasmids play in horizontal gene transfer?,Mediates gene transfer
bacteria,Bacterial genetics and plasmids,What does plasmid copy number describe?,Copies per cell
bacteria,Bacterial genetics and plasmids,Which type of bacteria are more often associated with biofilm-forming plasmids?,Gram-negative bacteria
bacteria,Bacterial genetics and plasmids,What enzyme relaxes plasmid DNA during transfer?,Relaxase
bacteria,Bacterial genetics and plasmids,What plasmid feature enables cloning in bacteria?,Multiple cloning site
bacteria,Bacterial genetics and plasmids,What is a primary function of plasmids in bacteria?,Carrying accessory genes
bacteria,Bacterial genetics and plasmids,What term describes plasmids maintained without selective pressure?,Segregational loss
bacteria,Conjugation and horizontal gene transfer,"In bacteria, what is conjugation?",Direct DNA transfer via pilus.
bacteria,Conjugation and horizontal gene transfer,What structure mediates bacterial conjugation?,Conjugative pilus.
bacteria,Conjugation and horizontal gene transfer,What genetic element is commonly transferred during bacterial conjugation?,Plasmid.
bacteria,Conjugation and horizontal gene transfer,Which plasmid mediates conjugation in Escherichia coli?,F plasmid.
bacteria,Conjugation and horizontal gene transfer,What is the donor cell called in bacterial conjugation?,F+ donor cell.
bacteria,Conjugation and horizontal gene transfer,What is the recipient cell called in bacterial conjugation?,F− recipient cell.
bacteria,Conjugation and horizontal gene transfer,"Besides plasmids, what genetic material can be transferred in conjugation?",Chromosomal DNA segment.
bacteria,Conjugation and horizontal gene transfer,What does HFR stand for in bacterial conjugation?,High-frequency recombination.
bacteria,Conjugation and horizontal gene transfer,How does conjugation differ from transformation in bacteria?,Cell-to-cell contact; environmental DNA uptake.
bacteria,Conjugation and horizontal gene transfer,Which structure forms the bridge for conjugation in bacteria?,Conjugation pilus.
bacteria,Conjugation and horizontal gene transfer,Can bacterial conjugation occur between different species?,"Yes, across species."
bacteria,Conjugation and horizontal gene transfer,What role do biofilms play in bacterial horizontal gene transfer?,Facilitate close cell contact.
bacteria,Conjugation and horizontal gene transfer,What replication mechanism accompanies plasmid transfer during conjugation?,Rolling-circle replication.
bacteria,Conjugation and horizontal gene transfer,What is a plasmid that carries conjugation genes called in bacteria?,Conjugative plasmid.
bacteria,Conjugation and horizontal gene transfer,What operon encodes the conjugation transfer functions in bacteria?,tra operon.
bacteria,Conjugation and horizontal gene transfer,"If an F− bacterium receives the F factor during conjugation, what does it become?",F+ cell.
bacteria,Conjugation and horizontal gene transfer,Which type of bacteria is more associated with plasmid-mediated conjugation?,Gram-negative bacteria.
bacteria,Conjugation and horizontal gene transfer,What term describes horizontal gene transfer between bacteria without reproduction?,Horizontal gene transfer.
bacteria,Conjugation and horizontal gene transfer,Can conjugation spread antibiotic resistance genes among bacteria?,"Yes, spreads resistance."
bacteria,Bacterial toxins,What class of bacterial toxins are secreted proteins?,Exotoxins
bacteria,Bacterial toxins,Botulinum toxin is produced by which bacterium?,Clostridium botulinum
bacteria,Bacterial toxins,Endotoxin is a component of which group of bacteria?,Gram-negative bacteria
bacteria,Bacterial toxins,Diphtheria toxin is encoded by a lysogenic phage in which bacterium?,Corynebacterium diphtheriae
bacteria,Bacterial toxins,Edema toxin is produced by which bacterium?,Bacillus anthracis
bacteria,Bacterial toxins,Which component of Gram-negative bacteria is the endotoxin's toxic center?,Lipid A
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria form root nodules in legumes?,Rhizobium
bacteria,Nitrogen-fixing bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin
bacteria,Nitrogen-fixing bacteria,What enzyme catalyzes N2 reduction in nitrogen-fixing bacteria?,Nitrogenase
bacteria,Nitrogen-fixing bacteria,What oxygen condition do legume-nodulating bacteria maintain for nitrogenase activity?,Low oxygen
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing cyanobacteria form heterocysts?,Nostoc
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria form actinorhizal nodules?,Frankia
bacteria,Nitrogen-fixing bacteria,What genetic elements carry nif genes in nitrogen-fixing bacteria?,Plasmids
bacteria,Nitrogen-fixing bacteria,What molecule provides energy for nitrogen fixation in nitrogen-fixing bacteria nodules?,ATP
bacteria,Nitrogen-fixing bacteria,Which genus of nitrogen-fixing bacteria commonly associates with soybeans?,Bradyrhizobium
bacteria,Nitrogen-fixing bacteria,What ammonia derivative do nitrogen-fixing bacteria provide to plants?,ammonium
bacteria,Nitrogen-fixing bacteria,What signaling molecules initiate legume-Rhizobium nodulation in bacteria?,Nod factors
bacteria,Nitrogen-fixing bacteria,What lifestyle do many nitrogen-fixing bacteria like Azospirillum use on plant roots?,Biofilms
bacteria,Nitrogen-fixing bacteria,What actinobacterial genus forms nitrogen-fixing nodules?,Frankia
bacteria,Nitrogen-fixing bacteria,Which plant structure houses bacteroids in legume nitrogen-fixing bacteria nodules?,Nodule
bacteria,Nitrogen-fixing bacteria,Are most Rhizobium nitrogen-fixing bacteria Gram-negative or Gram-positive?,Gram-negative
bacteria,Nitrogen-fixing bacteria,What gene cluster encodes nitrogenase components in bacteria?,nif genes
bacteria,Nitrogen-fixing bacteria,What is the main ecological role of nitrogen-fixing bacteria in soils?,Ammonia production
bacteria,Nitrogen-fixing bacteria,Name a nitrogen-fixing bacterium associated with cereals besides Rhizobium.,Azospirillum
bacteria,Cyanobacteria and photosynthesis,Cyanobacteria use which primary pigment for photosynthesis?,Chlorophyll a
bacteria,Cyanobacteria and photosynthesis,What gas do Cyanobacteria release during photosynthesis?,Oxygen
bacteria,Cyanobacteria and photosynthesis,Cyanobacteria store their photosystems in what internal membranes?,Thylakoid membranes
bacteria,Cyanobacteria and photosynthesis,Which photosystems are present in Cyanobacteria?,Photosystems I and II
bacteria,Cyanobacteria and photosynthesis,Cyanobacteria fix carbon through which cycle?,Calvin cycle
bacteria,Cyanobacteria and photosynthesis,What specialized cell in some Cyanobacteria enables nitrogen fixation?,Heterocyst
bacteria,Cyanobacteria and photosynthesis,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative
bacteria,Cyanobacteria and photosynthesis,What type of photosynthesis do Cyanobacteria perform?,Oxygenic
bacteria,Cyanobacteria and photosynthesis,Which class of bacteria do Cyanobacteria belong to?,Gram-negative bacteria
bacteria,Cyanobacteria and photosynthesis,Which extrachromosomal DNA elements are common in Cyanobacteria?,Plasmids
bacteria,Cyanobacteria and photosynthesis,Which light-harvesting proteins work with chlorophyll in Cyanobacteria?,Phycobiliproteins
bacteria,Cyanobacteria and photosynthesis,What surface-associated microbial communities do Cyanobacteria commonly form?,Biofilms
bacteria,Cyanobacteria and photosynthesis,What enables buoyancy in some Cyanobacteria?,Gas vesicles
bacteria,Cyanobacteria and photosynthesis,Which photosynthetic pigment provides red color in some Cyanobacteria?,Phycocyanin
bacteria,Cyanobacteria and photosynthesis,Are Cyanobacteria prokaryotes or eukaryotes?,Prokaryotes
bacteria,Cyanobacteria and photosynthesis,What environmental condition promotes cyanobacterial blooms?,Nutrient-rich water
bacteria,Cyanobacteria and photosynthesis,Name a cyanobacteria genus known for blooms.,Microcystis
bacteria,Cyanobacteria and photosynthesis,Cyanobacteria commonly inhabit what type of water?,Freshwater
bacteria,Cyanobacteria and photosynthesis,Which enzyme is central to cyanobacterial nitrogen fixation in heterocysts?,Nitrogenase
bacteria,Cyanobacteria and photosynthesis,What carbohydrate storage compound do cyanobacteria accumulate?,Glycogen
bacteria,Extremophile bacteria,Which extremophile bacteria thrive in high-salt environments?,Halophiles
bacteria,Extremophile bacteria,Which extremophile bacterium loves high temperatures?,Thermophile
bacteria,Extremophile bacteria,Which extremophile bacterium thrives in very alkaline environments?,Alkaliphile
bacteria,Extremophile bacteria,Which extremophile bacteria survive high hydrostatic pressure?,Barophile
bacteria,Extremophile bacteria,Name a radiation-resistant extremophile bacterium.,Deinococcus radiodurans
bacteria,Extremophile bacteria,Which extremophile bacteria live in permanently cold environments?,Psychrophiles
bacteria,Extremophile bacteria,What plasmid often carries stress-response genes in extremophile bacteria?,Plasmid
bacteria,Extremophile bacteria,What do extremophile bacteria form to protect communities in harsh conditions?,Biofilm
bacteria,Extremophile bacteria,Which thermophilic bacterium is the source of Taq polymerase?,Thermus aquaticus
bacteria,Extremophile bacteria,Which Gram-positive extremophile bacterium forms spores to survive heat?,Bacillus
bacteria,Extremophile bacteria,Name a bacterium extremophile used in metal bioleaching.,Acidithiobacillus ferrooxidans
bacteria,Extremophile bacteria,Which extremophile bacterium is famous for radiation resistance?,Deinococcus radiodurans
bacteria,Extremophile bacteria,Which extremophile bacterium thrives in high osmotic pressure environments?,Halophile
bacteria,Extremophile bacteria,What adaptation in extremophile bacteria enables survival in acidic environments?,Acid tolerance
bacteria,Extremophile bacteria,Which Gram-positive extremophile bacterium is a spore-former used in sterilization testing?,Bacillus stearothermophilus
bacteria,Extremophile bacteria,Which Gram-negative thermophilic bacterium inhabits hot springs and is studied for thermostable enzymes?,Thermotoga maritima
bacteria,Extremophile bacteria,Which extremophile bacteria are adapted to high hydrostatic pressure in deep oceans?,Barophiles
bacteria,Extremophile bacteria,Name an acidophilic Gram-negative bacterium involved in copper ore leaching.,Leptospirillum ferrooxidans
bacteria,Extremophile bacteria,Which extremophile bacterium from hot springs is known for pigment production and thermostability?,Thermus thermophilus
bacteria,Bacterial cell wall composition,What component forms the thick wall in Gram-positive bacteria?,Peptidoglycan layer
bacteria,Bacterial cell wall composition,In Gram-positive bacteria teichoic acids attach to what substrate?,Peptidoglycan
bacteria,Bacterial cell wall composition,What is the outermost layer of Gram-negative bacteria?,Outer membrane
bacteria,Bacterial cell wall composition,Which molecule defines the Gram-negative outer membrane and acts as endotoxin?,LPS
bacteria,Bacterial cell wall composition,Which polymer provides the main scaffold of the bacterial cell wall?,Peptidoglycan
bacteria,Bacterial cell wall composition,Where are porins located in Gram-negative bacteria?,Outer membrane
bacteria,Bacterial cell wall composition,What are the anionic polymers found in Gram-positive walls?,Teichoic acids
