concept,subtopic,question,answer
the_moon,Apollo 11 Moon mission,What material did Apollo 11 collect on the Moon?,Moon rocks
dogs,Police and military dogs,What is the term for dogs trained to locate drugs?,Narcotics dogs
the_moon,Moon impact on Earth rotation,What observational evidence shows Moon slows Earth's rotation?,Longer days over centuries.
people,Human emotions and psychology,What social process makes people align with a group?,Conformity
cats,Cat hunting instincts,What tactic follows stalking for many cats?,Pouncing.
chess,Blindfold chess,Blindfold chess: What is the term for a position with no legal moves and the king not in check?,Stalemate
bacteria,Bacteria in food production,Which acetic acid bacterium converts ethanol to vinegar?,Acetobacter aceti
the_moon,Artemis Moon program,Where on the Moon is Artemis III scheduled to land?,South pole
dogs,Guide dogs for the blind,Name a common guide dog breed.,Labrador Retriever
cats,Cat territorial behavior,What is another term for a scent-marked boundary in cats?,scent marking
people,Human child development stages,"In female humans, what age range commonly marks puberty onset?",8-13 years
lasers,Laser speed and light properties,What term describes the fixed phase relationship in laser light?,Phase coherence
the_moon,Apollo 11 Moon mission,What reflective instrument did Apollo 11 deploy on the Moon?,Laser Ranging Retroreflector
people,Human speech and vocal anatomy,Which organ controls air movement for speech in humans?,Diaphragm
united_states,US Prohibition era facts,Which amendment established Prohibition in the United States?,18th Amendment
chess,FIDE chess organization,What is the official FIDE publication containing regulations?,FIDE Handbook
people,Human microbiome,Which organ in Homo sapiens hosts most of the microbiota?,The gut
bacteria,Archaea vs bacteria,"Which group typically lacks true histones for DNA packaging, archaea or bacteria?",Bacteria
people,Human body organ systems,Which system enables movement through muscles in the human body?,Muscular system
the_moon,Moon synchronous rotation,What describes the Moon's orientation toward Earth in the absence of libration?,Tidally locked
obama,Awards and honors received by Obama,What field is Barack Obama's Nobel Prize associated with?,Peace
bacteria,Bacteria vs viruses differences,Are antibiotics effective against bacteria but not typically against viruses?,Yes.
people,Human diseases and historic epidemics,Which pathogen sparked the 1918 pandemic among people?,Influenza A (H1N1)
bacteria,Probiotic bacteria,Which probiotic bacterial genus is commonly used for yogurt alongside Lactobacillus?,Bifidobacterium
cats,Cat eye colors and vision,Which eye color is typical in color-point cats?,Blue
lasers,Laser applications in agriculture,What laser-based system surveys crop rows for planting and harvest planning?,LIDAR row mapping
obama,Early life and birthplace,Barack Obama's father came from which country?,Kenya.
obama,Obama legislative record,"Which 2010 financial reform law, signed during Barack Obama's presidency, aimed to prevent future bailouts?",Dodd-Frank Act
chess,Correspondence chess history,When did computer-assisted analysis start influencing correspondence chess?,Late 20th century
obama,Obama daughters Sasha and Malia,In what year did Malia Obama begin attending Harvard?,2017
cats,Cat behavior and body language,Which behavior shows boredom or annoyance in a cat?,Ears back; tail flick.
the_moon,Lunar soil regolith composition,What cements lunar regolith grains during space weathering?,Agglutinate glass
bacteria,Tuberculosis bacterium,Which genome structure does tuberculosis bacterium have?,Circular chromosome
bacteria,Nitrogen-fixing bacteria,What molecule provides energy for nitrogen fixation in nitrogen-fixing bacteria nodules?,ATP
people,Human pregnancy and birth,"In human birth, through what passage is the baby delivered?",Birth canal
obama,Obama State of the Union addresses,Barack Obama highlighted which major health reform in the 2010 State of the Union?,Affordable Care Act
paris,Paris airports,Which Paris airport is the primary hub for international flights in the Paris region?,Charles de Gaulle
bacteria,Bacteria vs viruses differences,Are Gram-negative bacteria characterized by an outer membrane that viruses lack?,Yes.
people,Human cardiovascular system,Which chamber of the human heart receives blood from the body?,Right atrium
chess,Castling rules in chess,What is another common term for castling?,Castle.
obama,Michelle Obama partnership,Who is Barack Obama's wife?,Michelle Obama
obama,Obama military decisions,Which detention facility did Obama seek to close?,Guantanamo Bay
cats,Cat teeth and dental health,What should you do if you see loose cat teeth?,See a vet
chess,Chess scandals and controversies,What rating system is central to player rankings in chess and often discussed in controversies?,Elo rating
paris,Paris art movements,Which Paris movement with Picasso and Braque developed geometric form in Montparnasse?,Cubism
lasers,Laser speed and light properties,Which phenomenon helps laser light be monochromatic?,Single longitudinal mode
united_states,US music genres that originated in America,Which United States music genre emerged from Seattle in the late 1980s?,Grunge
obama,Illinois state senate career,Barack Obama's pre-senate career included work as what?,Community organizer
cats,Cat health and common diseases,What dental disease frequently affects cats?,Gingivitis
bacteria,Antibiotic resistance mechanisms,What reduces antibiotic entry due to altered outer membrane in gram-negative bacteria?,Outer membrane changes.
paris,Musée d'Orsay facts,In which Paris arrondissement is the Musée d'Orsay located?,7th arrondissement
paris,Paris tourism statistics,Which district anchors Louvre and Tuileries?,1st arrondissement.
paris,Paris cafés and café culture,What is the outdoor seating area of a Paris café called?,Terrasse
united_states,US cultural landmarks and monuments,Which United States monument in Missouri commemorates westward expansion with a towering arch?,Gateway Arch
chess,Pawn promotion rules in chess,What happens to the pawn after promotion in chess?,It is replaced by the promoted piece.
dogs,Dog digestive system,Do dogs produce significant salivary amylase?,No
dogs,Dog shows and competitions,What title is given to the top dog in its breed class?,Best of Breed
the_moon,Moon rocks brought to Earth,Which lunar rock type dominates the highland crust?,Anorthosite
paris,Paris economy and industries,What sector dominates the Paris economy?,Services
the_moon,Moon far side facts,Which crater served as Chang'e 4's far-side landing site?,Von Kármán crater
paris,Paris literary history,Which Hugo novel is titled after a Paris cathedral and features Quasimodo?,The Hunchback of Notre-Dame
the_moon,Apollo program Moon missions,Which mission first used the Lunar Roving Vehicle on the Moon?,Apollo 15
dogs,Dog diet and nutrition,Name a dog breed with notable dietary considerations.,Labrador Retriever.
lasers,LIDAR and laser range finding,What LIDAR term denotes the strength of the returned signal?,Return intensity
obama,2012 reelection campaign,Name a key swing state Obama won in 2012.,Ohio
united_states,US civil rights movement,Which U.S. department enforces federal civil rights laws?,Department of Justice
united_states,US invention and innovation history,What US invention allowed skyscrapers to rise with steel frame construction?,Steel-frame construction
united_states,US sports and major leagues,What does MLS stand for in United States soccer?,Major League Soccer
the_moon,Moon formation theories,"In the Giant Impact model, the Moon’s material comes from what?",Collision debris.
the_moon,Apollo program Moon missions,Which mission was the last to land on the Moon?,Apollo 17
lasers,Lasers in barcode scanners,What property defines how narrow the barcode scan line is for a laser beam?,beam divergence
the_moon,Moon maria (seas) features,What rock type primarily makes up Moon maria?,Basalt
chess,Chess and cognitive science research,Which rating system is standard in chess research contexts?,Elo rating
chess,Pawn promotion rules in chess,What is the standard promotion choice in chess?,Queen.
people,Human lifespan across history,Which historical era generally had the lowest human life expectancy?,Ancient times.
dogs,Ancient dog breeds,The Ibizan Hound is an ancient hunting dog from which island?,Ibiza
people,Human hearing and ear anatomy,What is the visible external part of the human ear called?,pinna
dogs,Working dogs and service dogs,Which breed is renowned for guide-dog work due to calm temperament?,Golden Retriever.
obama,Obama hobbies and personal interests,The 2006 book The Audacity of Hope by Barack Obama belongs to which category?,Memoir
cats,Cat anatomy and skeleton,What is the main thigh bone in cats?,Femur
obama,Early life and birthplace,Which island is Barack Obama’s birthplace on?,Oahu.
paris,Paris geography and the Seine river,Which river flows through Paris?,Seine
chess,Chess strategy principles,What does the bishop pair provide in chess strategy?,Diagonal control and pressure.
paris,Paris climate and weather,Record high temperature in Paris (approx)?,About 40°C.
obama,Obama post-presidency activities,In what year did the Obama Presidential Center break ground?,2021
chess,Chess prodigies,Who is the youngest chess grandmaster in history?,Abhimanyu Mishra
bacteria,CRISPR origins in bacteria,CRISPR origins in bacteria rely on spacer acquisition from which sources?,bacteriophages and plasmids
people,Human pain perception,What term describes the emotional component of pain in humans?,Affective component
chess,Chess engines and AI,What term denotes a computer program that analyzes chess positions and suggests moves?,Chess engine
paris,Paris theater and opera history,Which Paris palace houses the Comédie-Française's Salle Richelieu?,Palais-Royal
people,Human circadian rhythms,What external cue primarily synchronizes circadian rhythms in humans?,Light.
lasers,Laser wavelengths and spectrum,Argon-ion laser visible line typically at which wavelength?,488 nm
paris,Paris geography and the Seine river,Which river passes through Île de la Cité in Paris?,Seine
chess,Chess piece movements and rules,"In castling, what must be true about the squares between king and rook?",Empty squares
cats,Cat population statistics worldwide,What term denotes unowned cats living in colonies?,feral cats
dogs,Dog health and common diseases,Which inherited bleeding disorder can affect dogs?,Von Willebrand disease
chess,Chess puzzle types,What chess puzzle type studies endgame technique and exact moves?,Endgame study
people,Human microbiome,Can the human microbiome influence host metabolism?,Yes
the_moon,Water ice on the Moon,Where on the Moon is ice unlikely?,Equatorial regions
bacteria,Bacterial taxonomy and classification,Neisseria meningitidis belongs to which bacterial phylum?,Proteobacteria
bacteria,Bacterial size and scale,How long is a common rod-shaped bacterium such as E. coli?,About 2 μm
united_states,US Electoral College system,What is the term length for an Electoral College member in the United States?,Four years
chess,Chess puzzle types,What chess puzzle type uses a discovered attack to unleash a hidden threat?,Discovered attack
united_states,US cultural landmarks and monuments,Which United States institution in Washington houses a large network of museums and research centers?,Smithsonian Institution
lasers,Laser welding technology,What weld feature is typical in laser seam welding?,Continuous seam weld.
dogs,Dog rescue and adoption,Where can you adopt a dog from?,animal shelter
obama,Obama and civil rights,Which Michelle Obama initiative promoted healthy meals and movement for families in schools?,Let's Move!
cats,Cats in literature and art,"Which poem by T.S. Eliot opens with ""The Naming of Cats""?",The Naming of Cats
united_states,US Constitution facts,How many total Senators are there in the United States?,One hundred
people,Human reproduction biology,Which organ in the human female houses the fetus during pregnancy?,Uterus
lasers,Laser wavelengths and spectrum,He-Cd laser blue emission wavelength?,441.6 nm
dogs,Dog intelligence rankings,Which breed is usually listed as the second-smartest in dog intelligence rankings?,Poodle
cats,Cat territorial behavior,What is a cat's home range called?,home range
paris,Haussmann renovation of Paris,Who commissioned Haussmann's Paris renovation?,Napoleon III
paris,Paris festivals and annual events,Which Paris event focuses on manga and sci-fi?,Paris Manga & Sci-Fi Show
the_moon,Moon treaties and space law,Which law assigns responsibility for private lunar activities to the launching state?,Outer Space Treaty
paris,Paris and the Enlightenment,Which Paris arrondissement contains the Louvre?,1st arrondissement
bacteria,CRISPR origins in bacteria,CRISPR arrays in bacteria contain direct repeats and what?,spacers
people,Human brain and cognition,"In humans, which area controls speech production?",Broca's area
the_moon,Moon mountain ranges,Which lunar range has a name that connects to the Earth’s Alps?,Montes Alpes
united_states,US tech industry and Silicon Valley,Which U.S. cloud provider is led by Amazon?,AWS
the_moon,Moon recession from Earth,Do laser reflectors on the Moon provide continuous data?,Yes; continuous data.
people,Human pregnancy and birth,"In human birth, what is the newborn for the first 28 days called?",Neonate
obama,Obama hobbies and personal interests,Barack Obama’s early writing career produced which title?,Dreams from My Father
lasers,Laser tattoo removal,What mechanism ensures tattoo pigment destruction in laser tattoo removal?,Selective photothermolysis
cats,Cat cardiovascular system,What main artery exits the feline heart to supply the body?,Aorta.
obama,Obama education policies,Which grant promotes high-quality early childhood education under Obama?,Early Learning Challenge
dogs,Ancient dog breeds,Which ancient Hungarian herding dog has a corded coat?,Puli
cats,Cat training techniques,What is 'shaping' in cat training?,Gradual behavior building
united_states,US cultural landmarks and monuments,Which United States memorial at Pearl Harbor honors those who died there?,USS Arizona Memorial
the_moon,Moon orbit and rotation,Length of the Moon's nodal regression cycle?,18.6 years
cats,Cat anatomy and skeleton,What is the upper arm bone in cats?,Humerus
chess,Chess in literature,Which Carroll work is the sequel to Alice’s adventures and features a chessboard-to-world journey?,Through the Looking-Glass
bacteria,Bacteria vs viruses differences,"Which is larger on average, bacteria or viruses?",Bacteria.
the_moon,Lunar rovers and vehicles,What terrain hazard did lunar rovers avoid?,Large craters
bacteria,Bacteria vs viruses differences,Can horizontal gene transfer in bacteria occur via conjugation with plasmids?,Yes.
dogs,Dog memory and cognition,Can dogs forget training if not practiced?,"Yes, memory fades."
