concept,subtopic,q,a,b,c,d,ans
dogs,Dog breed classifications,Dogs in which AKC group are often used for tracking and scent work?,Sporting,Hound,Working,Non-Sporting,b
lasers,LASIK eye surgery with lasers,Which laser ablates corneal tissue to reshape the eye in LASIK?,femtosecond,diode,excimer,Nd:YAG,c
dogs,Dog social hierarchy and pack behavior,Do dogs use scent marking to reinforce social boundaries?,Always,Seldom,Never,Often,d
the_moon,Full moon names by month,"In the_moon, May's full moon is called which?",Wolf Moon,Snow Moon,Harvest Moon,Flower Moon,d
obama,Obama military decisions,Obama's 2011 bin Laden raid took place in which country?,Afghanistan,Pakistan,Yemen,Somalia,b
dogs,Dog breed classifications,Dogs of which AKC group often work as rescue or draft dogs?,Sporting,Toy,Working,Hound,c
people,Human hand and grip evolution,The evolution of what hand feature helped humans grip tools and later weapons?,Coiled thumb,Webbed thumb,Extra digits,Opposable thumb,d
united_states,US population statistics,"In the united_states, which state had the smallest population in 2020?",Wyoming,Vermont,Delaware,Alaska,a
obama,Michelle Obama partnership,Obama and Michelle's push to inspire teens to pursue college is which program?,College Push,Reach Higher,College Drive,Path to College,b
bacteria,Conjugation and horizontal gene transfer,Which method involves uptake of naked DNA by bacteria?,Transformation,Conjugation,Transduction,Mutation,a
people,Human language origins,Steven Pinker is known for promoting which view about language?,Ritual,Learning,Social,Innateness,d
the_moon,Moon resource mining potential,The_moon polar regions are prioritized for mining for what resource?,Water ice,Metals,Glass,Sand,a
people,Human agriculture origins,Which Mesoamerican people are known for maize farming and pyramids in Yucatán?,Zapotec,Olmec,Maya,Toltec,c
united_states,US time zones,"In the United States, which zone is used by Hawaii?",Atlantic Time,Pacific Time,Alaska Time,Hawaii Time,d
dogs,Dog domestication history,What is a common archaeological sign of early dog domestication?,Stone tools,Strangely shaped teeth,Plant seeds,Burials with humans,d
cats,Cats and water relationship,Which age group of cats is least likely to swim?,Teens,Adults,Seniors,Kittens,d
obama,Obama climate change policies,Obama's climate plan included which three themes?,"Education, health","Taxes, subsidies, tariffs","Mitigation, adaptation, resilience","Defense, economy",c
obama,Harvard Law School years,What honors did Obama earn from Harvard Law School?,no honors,cum laude,summa cum laude,magna cum laude,d
cats,Cat play behavior,Cats when playing with others tend to do what?,meow,groom,nap,bite and wrestle,d
people,Human cardiovascular system,Who led open-heart surgery at Minnesota?,Gruentzig,DeBakey,Jarvik,Lillehei,d
obama,Obama pardons and commutations,Which year did Obama grant clemency to Chelsea Manning?,2018,2016,2014,2017,d
dogs,Dog tail docking and ear cropping history,Which practice is most associated with the Doberman historically?,long tails,unmodified ears,cropped ears,free ears,c
the_moon,Moonquakes and lunar seismic activity,"On the_moon, how often do deep moonquakes occur?",daily,a few per year,yearly,never,b
obama,Obama Supreme Court nominations,In what year did Obama nominate Elena Kagan?,2010,2009,2011,2012,a
chess,Chess tactics: forks pins and skewers,"In chess, which tactic involves attacking a piece and the piece behind it on a line?",Fork,Pin,Distraction,Skewer,d
lasers,Lasers in telecommunications,Single-wavelength telecom lasers use which structure?,LNB,LED,DFB,SLB,c
chess,Bobby Fischer chess facts,"In chess, who became World Champion after Fischer forfeited?",Anatoly Karpov,Spassky,Petrosian,Korchnoi,a
people,Human sleep science,Mary Carskadon studies sleep patterns in which group?,Teens,Adults,Children,Seniors,a
bacteria,Bacterial bioluminescence,Which of these is not a natural bioluminescent bacterium?,Escherichia coli,Vibrio fischeri,Photobacterium phosphoreum,Photobacterium leiognathi,a
chess,Chess in literature,"In literature, which symbol is often used to reflect strategic thinking in chess narratives?",The board,The clock,The map,The mirror,a
cats,Cats and toxoplasmosis,"If a cat tests positive for T. gondii antibodies, does it mean it is shedding oocysts now?",Always,Yes,Not necessarily,Never,c
cats,Cat vaccinations,When should kittens start the FVRCP series?,2 weeks,16 weeks,12 weeks,6-8 weeks,d
bacteria,Antibiotic resistance mechanisms,What feature in bacteria lowers antibiotic penetration via the matrix?,Flagella motility,Capsule shedding,Biofilm matrix,Spore coat,c
lasers,Excimer laser facts,What spectrum do excimer lasers emit?,Infrared,Visible,Microwave,Ultraviolet,d
people,Human pregnancy and birth,Which physician popularized chloroform anesthesia for childbirth?,J. Marion Sims,James Young Simpson,Elizabeth Blackwell,Florence Nightingale,b
the_moon,Apollo program Moon missions,Which Apollo Moon mission had the lunar module Intrepid?,Apollo 11,Apollo 12,Apollo 13,Apollo 14,b
bacteria,Bacterial role in carbon cycle,What process do aquatic bacteria use to convert dissolved inorganic carbon into biomass?,carbon fixation,respiration,dissolution,oxidation,a
lasers,Lasers in dentistry,A diode laser is most commonly used for what in dentistry?,hard tissue drilling,X-ray,whitening,soft tissue surgery,d
cats,Cat superstitions and folklore,Folklore says cats have how many lives?,Seven,Twelve,Nine,Ten,c
people,Human aging biology,Who identified daf-2 insulin signaling as an aging pathway in C. elegans?,Elizabeth Blackburn,Cynthia Kenyon,Aubrey de Grey,Roy Walford,b
united_states,US economy and GDP facts,"In the united_states, fiscal policy is primarily set by which level of government?",Federal Reserve,State,Local,Federal,d
obama,Obama campaign fundraising strategy,Obama's 2008 donor strategy favored recurring donations?,Recurring donations,One-time gifts,Matching gifts,In-kind,a
cats,Cat superstitions and folklore,"In some folk beliefs, what do cats allegedly steal from sleeping babies?",Hair,Sleep,Breath,Toys,c
bacteria,Mycobacteria facts,"In bacteria, which type of granulomatous lesion is typical in TB?",Langhans giant cell,Noncaseating granuloma,Caseating granuloma,Ghon complex,d
obama,Obama White House pets,Which president is associated with Bo and Sunny?,Obama,Trump,Nixon,Carter,a
cats,Cat rescue and adoption,Which practice helps cats find homes faster in shelters?,Isolation,Long cages,Behavior assessment,No photos,c
paris,Paris sports teams,Which Paris club's crest features the Eiffel Tower?,Stade Français,Paris FC,Red Star,PSG,d
lasers,Lasers in telecommunications,What safety standard applies to telecom lasers?,IEEE 802.3,ISO 9001,IEC 60825,PCI DSS,c
the_moon,Moon effect on animal behavior,the_moon and tides drive spawning in which surf fish on beaches?,grunion,salmon,mackerel,sardines,a
the_moon,Moon in mythology and culture,"In Filipino myth, the_moon goddess Mayari is sister to which sun god?",Lugh,Apolaki,Baal,Surya,b
dogs,Dog grooming and coat types,Which coat type tends to shed heavily during seasonal changes in dogs?,Single,Double,Curly,Wiry,b
chess,Chess middlegame strategy,"In chess middlegame, what does 'piece activity' mean?",number of pieces,influence on squares,pawn structure,king safety,b
the_moon,Soviet Luna program facts,the_moon Luna 24 year?,1974,1975,1976,1977,c
dogs,Herding dog breeds and behavior,Which dog breed is known to herd cattle in Wales?,Boxer,Labrador,Beagle,Pembroke Welsh Corgi,d
dogs,Dog behavior and body language,A dog's direct stare with a stiff body signals what?,Play,Threat,Calm,Sleep,b
obama,Community organizing in Chicago,What issues did Obama focus on as a Chicago organizer?,Housing and Jobs,Education Only,Healthcare Only,Transportation Only,a
the_moon,Moon orbit and rotation,The_moon's rotation is synchronous with its orbit; relative to what frame?,Earth center,Sun,stars,galaxy,c
lasers,Lasers in manufacturing and cutting,Which wavelength is typical for many lasers used in metal cutting?,1 micron,10 micron,532 nm,355 nm,a
paris,Paris Commune of 1871,"In Paris, which landmark was toppled by the Commune?",Eiffel Tower,Vendome Column,Arc de Triomphe,Louvre,b
chess,Chess terminology and vocabulary,"In chess, the special pawn capture is called en passant.",en passant,promotion,castling,fork,a
lasers,Laser invention and history,Which scientists won the 1964 Nobel Prize for laser and maser?,Maiman,Einstein,Townes,Javan,c
dogs,Dog reproduction and puppies,Which hormone is primarily responsible for the onset of the heat cycle in dogs?,Testosterone,Estrogen,Progesterone,Prolactin,b
the_moon,Moon effect on animal behavior,the_moon's light level affects foraging in which small rodent?,mice,rats,voles,hamsters,a
the_moon,Lunar rovers and vehicles,Which Moon rover was designed by General Motors?,Sojourner,Lunokhod,LRV,Spirit,c
cats,Cat vaccinations,Which vaccine protects cats from feline leukemia virus?,Rabies,FIV,FVRCP,FeLV,d
the_moon,Moon synchronous rotation,The_moon's orbital period around Earth is about how many days?,27.3 days,29.5 days,365 days,7 days,a
obama,Obama climate change policies,Obama signed which executive order to reduce federal emissions?,Executive Order 13514,Executive Order 13693,EO 12898,EO 13123,a
obama,2012 reelection campaign,How many electoral votes did Obama win in 2012?,306,270,332,365,c
the_moon,Lunar rovers and vehicles,Which Moon rover first transmitted TV images back to Earth?,Surveyor,LRV,Lunokhod 1,Sojourner,c
united_states,US sports and major leagues,"In the united_states, which NFL team plays at Lambeau Field?",New Orleans Saints,Dallas Cowboys,Green Bay Packers,Minnesota Vikings,c
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a German Shepherd need?",30 mins,3+ hrs,1-2 hrs,15 mins,c
cats,Cat hunting instincts,Which cue signals a cat to pounce?,Meow,Purr,Tail flick,Sleep,c
the_moon,Moon temperature extremes,Which region on the_moon reaches hottest noon temps?,Poles,Equator,Shaded craters,Lava tubes,b
people,Human growth and development stages,Who proposed the identity vs role confusion stage?,Lev Vygotsky,Jean Piaget,Lawrence Kohlberg,Erik Erikson,d
united_states,US Constitution facts,"In the united_states, which amendment guarantees due process and equal protection of laws?",5th,1st,14th,10th,c
chess,Chess Olympiad facts,"Historically, which nation dominated the chess Olympiad for decades?",United States,India,China,Soviet Union,d
cats,Big cats vs domestic cats,Which big cat is the national symbol of Bangladesh?,Leopard,Tiger,Lion,Jaguar,b
cats,Cat diet and nutrition,Which food should be avoided in cats due to toxins?,Carrots,Chocolate,Rice,Cheese,b
obama,Obama relations with world leaders,Obama pursued a reset with Russia under which president?,Dmitry Medvedev,Vladimir Putin,Boris Yeltsin,Mikhail Gorbachev,a
people,Human speech and vocal anatomy,Which linguist and phonetician wrote extensively on English phonology and pronunciation?,Paul Passy,Henry Sweet,Daniel Jones,Peter Ladefoged,c
paris,Paris cuisine and famous restaurants,Which Paris patisserie is famous for its Ispahan macarons?,Fauchon,Ladurée,Pierre Hermé,Dalloyau,c
lasers,Laser interferometry,What noise source limits precision in laser interferometry at high power?,shot noise,thermal noise,seismic noise,flicker noise,a
paris,Paris and the Enlightenment,Which Paris salon hosted by Madame Geoffrin helped spread Enlightenment ideas?,Lespinasse's salon,Tencin's salon,Geoffrin's salon,Du Deffand's salon,c
paris,Palace of Versailles connection to Paris,What is the rustic village within Versailles built for Marie Antoinette near Paris?,Grand Trianon,Petit Trianon,Hameau de la Reine,Queen's Hamlet,c
united_states,US Electoral College system,"In the United States, what is the purpose of the Electoral College?",Campaign,Certify votes,Elect president,Elect Senate,c
paris,Notre-Dame Cathedral facts,Notre-Dame’s façade in Paris features the 'Gallery of Kings' with how many statues?,25,20,28,30,c
dogs,Dog senses and perception,Do dogs hear higher frequencies than humans?,Depends,No,Sometimes,Yes,d
cats,Cat respiratory system,Where does most gas exchange occur in cats?,Alveoli,Bronchioles,Bronchi,Alveolar ducts,a
lasers,Lasers in barcode scanners,What role does the rotating polygon mirror play in barcode lasers?,Directs scan line,Focuses beam,Filters light,Stores data,a
the_moon,Moon far side facts,Are permanently shadowed regions present on the_moon's far side?,Never,No,Only near pole,Yes,d
the_moon,Moon albedo and brightness,The_moon appears brightest at which phase?,full,new,quarter,crescent,a
paris,Paris Metro system,"In Paris, which line serves both Gare de Lyon and Bercy?",Line 9,Line 1,Line 6,Line 14,d
obama,Obama relationship with Congress,What year did Obama sign the 2009 stimulus package (ARRA) into law?,2011,2008,2010,2009,d
the_moon,Supermoons and blood moons,"In the_moon, a blood moon requires a total lunar eclipse.",Never,False,Sometimes,True,d
cats,Cat vocalizations and meowing,Which vocalization do domestic cats commonly emit when they spot prey or a bird?,meow,chirp,growl,hiss,b
bacteria,Bacterial ribosomes,What is the primary function of the bacterial ribosome?,RNA transcription,DNA replication,Protein synthesis,Lipid synthesis,c
dogs,Dog health and common diseases,Which human food is toxic to dogs and can cause seizures and heart problems?,Grapes,Chocolate,Onions,Garlic,b
bacteria,Bacterial DNA replication,"In bacteria, which enzyme unwinds DNA at the replication fork?",Topoisomerase,Ligase,Primase,Helicase,d
obama,Family background and parents,Obama's father Barack Obama Sr. was from which country?,Nigeria,Kenya,Ghana,Uganda,b
obama,Obama speeches and rhetoric style,Which Obama speech laid out a vision for nuclear disarmament in Prague?,Nobel Lecture,Cairo Speech,Inaugural Address 2009,Prague Speech 2009,d
lasers,How lasers work and stimulated emission,What is the purpose of the gain medium in lasers?,Filter colors,Absorb light,Amplify light,Scatter photons,c
obama,Obama healthcare reform details,What is another commonly used nickname for the Obama health reform besides ACA?,Exchanges,ObamaCare,Obamacare,Health Reform,b
dogs,Dogs in space exploration,Which pair were first dogs in space (1947)?,Dezik and Strelka,Laika and Belka,Belka and Strelka,Dezik and Tsygan,d
obama,2004 DNC keynote speech,The 2004 DNC keynote marked Obama's status as which kind of speaker?,First woman keynote,First African American keynote,First foreign keynote,First child keynote,b
the_moon,Moon resource mining potential,What is a major challenge for mining on the_moon?,Dust storms,Temperature swings,Thick atmosphere,Rain,b
united_states,US cultural landmarks and monuments,Which United States monument is an obelisk on the National Mall honoring George Washington?,Washington Monument,Lincoln Memorial,Jefferson Memorial,Capitol Building,a
united_states,US Congress structure and facts,"In the united_states Congress, how many total voting members are in the Senate?",435,50,100,600,c
dogs,Famous dogs in history,Rin Tin Tin was a famous film star dog of which breed?,Labrador,German Shepherd,Collie,Bulldog,b
dogs,Dog skeletal differences by breed,Dogs: Which breed is brachycephalic with a broad skull?,Greyhound,Dalmatian,Bulldog,Beagle,c
people,Human hearing and ear anatomy,Domenico Cotugno is linked with which part of human hearing anatomy?,Inner ear labyrinth,External ear canal,Eustachian tube,Semicircular canal,a
dogs,Dog cardiovascular system,Which side of the heart receives deoxygenated blood in dogs?,right atrium,left atrium,left ventricle,right ventricle,a
united_states,US education system,"In the United States, which degree is typically earned after a 4-year college program?",Associate,Master's,Bachelor's,Doctorate,c
lasers,Helium-neon laser facts,What safety concern is key for He-Ne lasers?,skin burn,eye damage,radiation,chemical exposure,b
people,Human skin and hair,Who started Sally Hansen cosmetics brand?,Helena Rubinstein,Estée Lauder,Mary Kay Ash,Sally Hansen,d
united_states,US Native American history,"In united_states history, which tribe led the Long Walk to Bosque Redondo?",Hopi,Apache,Navajo,Zuni,c
obama,Obama relations with world leaders,Obama met with which Pope to discuss climate and poverty?,Pope Benedict XVI,Pope John Paul II,Pope Francis,Pope Paul VI,c
bacteria,Quorum sensing in bacteria,"In bacteria, which protein class detects autoinducer AHLs in many Gram-negative species?",G-protein,Kinase,LuxR,Receiver protein,c
united_states,US civil rights movement,"In the united_states, what year did Brown v. Board rule segregation unconstitutional?",1960,1955,1954,1964,c
lasers,Lasers in medicine and surgery,Which laser is commonly used to activate photosensitizers in photodynamic therapy?,Nd:YAG laser,CO2 laser,Diode laser,Excimer laser,c
paris,Paris nightlife history,Which Paris venue popularized the can-can in the 1890s?,Le Palace,Moulin Rouge,Folies Bergère,Le Lido,c
united_states,US Constitution facts,"In the united_states, which plan proposed creation of a two-house Congress?",Virginia Plan,New Jersey Plan,Connecticut Compromise,Hamilton Plan,c
people,Human blood types,Which figure helped pioneer safe transfusion practices and blood typing?,Ludwik Hirszfeld,Karl Landsteiner,Charles R. Drew,Alexander Wiener,c
bacteria,Bacterial bioluminescence,"In the Vibrio fischeri-squid symbiosis, what is the ecological role of the bacteria's light?",Mating lure,Digestion,Photosynthesis,Counter-illumination,d
dogs,Dog senses and perception,Which organ do dogs use to detect odors?,Tongue,Ear,Eye,Nose,d
united_states,US territorial expansion history,"In the united_states, which purchase expanded U.S. territory across the continent in 1803?",Gadsden Purchase,Alaska Purchase,Hawaii Annexation,Louisiana Purchase,d
paris,Paris immigrant communities,"In Paris, which immigrant group is associated with a Greek community?",Portuguese,Turkish,Greek,Egyptian,c
chess,Famous chess world champions,"In chess, which World Champion held the title the longest?",Lasker,Capablanca,Botvinnik,Karpov,a
cats,Cat digestive system,Where is most fat digested in cats?,Stomach,Large intestine,Small intestine,Cecum,c
people,Human body temperature regulation,"In humans, which brain region acts as the body's thermostat?",Medulla,Cerebellum,Hypothalamus,Cortex,c
obama,Obama climate change policies,Which agency under Obama oversaw vehicle emissions standards?,DOT,NHTSA,DOE,EPA,d
lasers,Lasers in medicine and surgery,Which laser is used to fragment urinary stones (lithotripsy)?,Nd:YAG laser,Ho:YAG laser,CO2 laser,Excimer laser,b
obama,Obama and civil rights,What policy did Obama repeal in 2010 to allow openly gay soldiers to serve?,Hate Crimes Act,Don't Tell Policy,"Don't Ask, Don't Tell",LGBT Act,c
united_states,US federal holidays,"In united_states, Thanksgiving Day is observed on which day of the week?",November 22,Fourth Thursday in November,Third Thursday in November,November 29,b
dogs,Police and military dogs,Police dogs primarily use which sense to locate suspects?,Eyes,Hearing,Taste,Smell,d
dogs,Famous dogs in history,Seaman was a dog on which voyage?,Captain Cook's,Columbus's,Magellan's,Shackleton's,a
people,Human nervous system,Who proposed the synapse theory and motor reflex integration?,Ivan Pavlov,James Olds,Roger Sperry,Charles Sherrington,d
obama,Iran nuclear deal under Obama,"On which date did Obama, with other leaders, announce the JCPOA framework?","July 14, 2015","June 30, 2014","January 16, 2016","September 2, 2017",a
bacteria,CRISPR origins in bacteria,"In bacteria, what process matures crRNA from CRISPR transcripts?",translation,splicing,crRNA maturation,duplexing,c
bacteria,Bacterial infection treatment history,"Streptomycin, produced by a bacterium genus, was first used against which infection?",Pneumonia,Cholera,Gonorrhea,Tuberculosis,d
the_moon,Lunar Gateway space station,The_moon: Is the Lunar Gateway around the_moon intended as a long-term outpost?,Yes,No,Planned later,Unknown,a
obama,Obama Supreme Court nominations,Obama's Supreme Court nominees were female.,No,Yes,Some,Not sure,a
cats,Cat show competitions,"In cat show competitions, which trait do judges primarily evaluate in the breed standard?",Conformation,Coat,Color,Temperament,a
obama,Harvard Law School years,Obama graduated in which class year from Harvard Law School?,1989,1990,1992,1991,d
people,Human genetic disorders,Which metabolic disorder in people is screened by a PKU test?,Phenylketonuria,Turner syndrome,Fragile X,Wilson disease,a
dogs,Dog sleep patterns,Do most dogs sleep at night?,Yes,No,Sometimes,Never,a
people,Human teeth and dental facts,Which dentist introduced nitrous oxide anesthesia in dentistry?,Alfred Fones,Horace Wells,Willoughby Miller,John Tomes,b
united_states,US cultural landmarks and monuments,Which United States landmark on an island near San Francisco once housed federal inmates?,Treasure Island,Angel Island,Alcatraz Island,Mare Island,c
cats,Cat rescue and adoption,What term describes giving cats a new permanent home through rescue?,Release,Rehome,Rehab,Retain,b
dogs,Dog lifespan by breed,"In dogs, what is the typical lifespan of a Bulldog?",6-8,8-10,11-13,12-15,b
bacteria,Cell structure and morphology,Which term describes a chain-like arrangement of cocci bacteria?,Streptococci,Diplococci,Staphylococci,Tetrads,a
dogs,Dog health and common diseases,Which disease in dogs is prevented by vaccination and causes severe respiratory and neurological symptoms?,Parvovirus,Rabies,Distemper,Hepatitis,c
dogs,Herding dog breeds and behavior,Which dog breed is famous for herding sheep in the UK?,Beagle,Border Collie,Bulldog,Poodle,b
paris,Paris festivals and annual events,"In Paris, which annual photography fair showcases contemporary work?",Paris Camera Fest,Paris Photo Fair,Photo Paris,Paris Photo,d
the_moon,Lunar timekeeping systems,the_moon: which term describes the cycle of Moon phases?,Annum,Synodic month,Orbit,Tide,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which rank groups multiple genera?",Genus,Family,Order,Class,b
lasers,Laser spectroscopy,Which laser technique uses interferometry to measure phase changes?,Magnetic resonance,Absorption,Emission,Laser interferometry,d
chess,Stalemate and draw rules in chess,"In chess, stalemate occurs when:",In check,No legal moves,By agreement,Repetition,b
dogs,Dog teeth and dental care,Which is a sign of dental disease in dogs?,good appetite,shiny coat,strong energy,bad breath,d
paris,Paris literary history,Café de Flore in Paris was a hangout for which existentialist duo?,Voltaire and Rousseau,Sartre and de Beauvoir,Camus and Sartre,Foucault and Derrida,b
bacteria,Mycobacteria facts,"In bacteria, what component of Mycobacteria cell wall gives waxy, hydrophobic coat?",Mycolic acids,Peptidoglycan,Chitin,LPS,a
bacteria,Chemotaxis in bacteria,What is CheZ's role in bacterial chemotaxis?,Phosphorylates CheY,Blocks flagella,Binds attractants,Dephosphorylates CheY-P,d
obama,Obama Nobel Peace Prize,Which organ of the Nobel Prize organization announced Obama’s prize?,United Nations,Nobel Foundation,Royal Swedish Academy,Norwegian Nobel Committee,d
dogs,Dog size extremes by breed,Which dog breed is among the fastest and tall among catch dogs?,Poodle,Dachshund,Beagle,Greyhound,d
bacteria,Antibiotic resistance mechanisms,Which mechanism in bacteria broadens resistance across many drug types?,Biofilm,Enzyme inactivation,Target mutation,Efflux pumps,d
united_states,US Bill of Rights,"In the united_states, which amendment protects against unreasonable searches and requires warrants?",Fourth Amendment,Sixth Amendment,Fifth Amendment,Ninth Amendment,a
the_moon,Moon surface features and craters,"In the_moon, which is the largest impact basin?",Imbrium,Serenitatis,South Pole–Aitken Basin,Crisium,c
united_states,US Supreme Court landmark cases,"In the united_states, which case prohibited school-sponsored prayer in public schools?",Engel v. Vitale,Abington School District v. Schempp,Santa Fe Independent School District v. Doe,Lemon v. Kurtzman,a
cats,Cat nervous system,"In cats, which part of the inner ear detects head movement to aid balance?",cochlea,vestibule,organ of Corti,semicircular canals,d
lasers,Laser hair removal technology,What is a common short-term side effect after laser hair removal?,Bruising,Numbness,Itching,Redness,d
people,Human water and hydration needs,Who promoted hospital sanitation and patient hydration?,Tim Noakes,Robert Cade,Florence Nightingale,Asker Jeukendrup,c
people,Human circadian rhythms,"Who discovered melatonin, a hormone central to human circadian rhythms?",Franz Halberg,Russell Foster,Till Roenneberg,Aaron Lerner,d
obama,Iran nuclear deal under Obama,Which body was responsible for inspections under Obama’s JCPOA?,NATO inspections,IAEA inspections,UN inspections,WHO inspections,b
chess,Chess set design history,"In chess set history, which body fixes standard tournament board sizes?",ISO,FIDE,ANSI,IEC,b
bacteria,Bacterial cell wall composition,"In bacteria, which structure is targeted by beta-lactam antibiotics?",Peptidoglycan cross-links,Lipid bilayer,Capsule,Outer membrane,a
chess,Chess grandmaster title requirements,"In chess, is GM the highest official title?","No, WGM higher",No,Yes,Equal,c
bacteria,Beneficial gut bacteria,Which gut bacteria train the immune system and are beneficial?,Pseudomonas,Staphylococcus,Bifidobacterium,Clostridium,c
people,Human hearing and ear anatomy,Which researcher demonstrated the tonotopic organization of the cochlea?,Fechner,Helmholtz,Müller,Georg von Bekesy,d
the_moon,Lunar timekeeping systems,the_moon: what is the natural monthly time unit tied to Moon phases?,Day,Week,Month,Lunation,d
cats,Cat breeds origin countries,Which country is the origin of the Abyssinian cat breed?,Somalia,Egypt,Ethiopia,Kenya,c
the_moon,Moonquakes and lunar seismic activity,"On the_moon, which era provided most moonquake data?",Artemis,Apollo,Luna,Voyager,b
the_moon,Moon albedo and brightness,The_moon lacks what that affects albedo observation?,magnetosphere,atmosphere,ionosphere,ozone,b
lasers,Laser cooling of atoms,"In laser cooling, why are lasers detuned red from resonance?",To ionize,To heat atoms,To slow atoms,To image,c
paris,Champs-Élysées boulevard facts,What does Champs-Élysées mean in French (Paris)?,Elysian Fields,Holy Road,Dream Path,Golden Lane,a
chess,Chess in different cultures,Xiangqi is the traditional chess variant of which culture?,China,Japan,India,Persia,a
united_states,US cultural landmarks and monuments,Which United States memorial on the National Mall honors World War II veterans?,Korean War Memorial,Vietnam Memorial,National World War II Memorial,Lincoln Memorial,c
cats,Cats in ancient Egypt,Cat amulets in ancient Egypt were commonly made of which material?,Bronze,Stone,Faience,Clay,c
chess,Chess national federations,What is the national chess federation of England?,English Chess Federation,British Chess Federation,England Chess Association,UK Chess Federation,a
paris,Moulin Rouge history,"In Paris, when did Moulin Rouge open?",1875,1893,1889,1900,c
the_moon,Supermoons and blood moons,"In the_moon, a supermoon is brighter and larger than average.",True,False,Sometimes,Not sure,a
chess,Chess national federations,What is the national chess federation of China?,Chinese Chess Association,China Chess Federation,Chinese Chess Union,China Chess Association,a
chess,Chess in film and television,Chess Fever is a silent film about mania for which game?,go,chess,checkers,backgammon,b
lasers,"Types of lasers (gas, solid-state, semiconductor)","Which category includes gas lasers like CO2, HeNe, and Argon?",Solid-state laser,Gas laser,Semiconductor laser,Dye laser,b
chess,Chess scandals and controversies,Which player was banned by FIDE for statements about Crimea in 2016?,Viswanathan Anand,Garry Kasparov,Sergey Karjakin,Viktor Korchnoi,c
lasers,Lasers in entertainment and light shows,Which effect is commonly used with lasers to visualize beams in air?,Smoke,Fogging,Confetti,Haze,d
bacteria,Streptococcus species,Streptococcus bacteria that cause puerperal fever is which species?,S. pneumoniae,S. agalactiae,S. mutans,S. pyogenes,d
chess,Chess Olympiad facts,When did the women's section of the chess Olympiad begin?,1927,1957,1977,1997,b
united_states,US federal holidays,"In united_states, Memorial Day is observed on which day?",May 25,May 31,Last Monday in May,First Monday in May,c
