concept,subtopic,q,a,b,c,d,ans
bacteria,Bacterial decomposition,Which bacteria degrade aromatic compounds in litter?,Sphingomonas,Bacillus,Micrococcus,Escherichia,a
bacteria,Salmonella facts,Salmonella bacteria use which secretion system to invade host cells?,Type III,Type II,Type IV,Type VI,a
bacteria,Cyanobacteria and photosynthesis,What specialized cell allows nitrogen fixation in some cyanobacteria?,Vacuole,Gametangium,Heterocyst,Chromosome,c
bacteria,Bacteria in soil ecology,Which bacteria oxidize nitrite to nitrate in soil?,Nitrosomonas,Nitrospira,Pseudomonas,Bacillus,b
bacteria,Bacterial cell wall composition,"In bacteria, which sugars form the peptidoglycan backbone?",Glucose and Fructose,NAM and NAG,Galactose and Mannose,Ribose and Deoxyribose,b
bacteria,Bacterial DNA replication,"In bacteria, which protein initiates replication at OriC?",DnaC,DnaB,DnaA,DnaG,c
bacteria,Bacterial staining techniques,Which stain is used to visualize acid-fast bacteria in clinical samples?,Negative stain,Gram stain,Acid-fast stain,Endospore,c
bacteria,Antibiotic resistance mechanisms,Ribosomal protection proteins in bacteria confer resistance to which class?,Tetracyclines,Beta-lactams,Fluoroquinolones,Glycopeptides,a
bacteria,Bacterial ribosomes,What is the primary function of the bacterial ribosome?,RNA transcription,DNA replication,Protein synthesis,Lipid synthesis,c
bacteria,Famous bacteriologists,Which bacteriologist developed the Gram staining technique for classifying bacteria?,Robert Koch,Hans Christian Gram,Louis Pasteur,Selman Waksman,b
bacteria,CRISPR origins in bacteria,Who provided early proof that CRISPR provides adaptive immunity in bacteria?,Charpentier,Mojica,Doudna,Barrangou,d
bacteria,Aerobic vs anaerobic bacteria,Bacteria that require oxygen to grow are called?,anaerobe,facultative anaerobe,microaerophile,obligate aerobe,d
bacteria,Archaea vs bacteria,"In bacteria, which structure is used for surface attachment and biofilms?",Pili,Flagella,Capsule,Spores,a
bacteria,Bacterial infection treatment history,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,Pseudomonas aeruginosa,Staphylococcus aureus,Streptococcus pneumoniae,Escherichia coli,b
bacteria,Streptococcus species,Which Streptococcus bacteria cause neonatal sepsis?,S. pyogenes,S. mutans,S. pneumoniae,S. agalactiae,d
bacteria,Bacterial role in carbon cycle,Which bacteria release carbon dioxide by respiration of organic matter in soil?,archaea,soil bacteria,fungi,algae,b
bacteria,Endospore formation,"In bacteria, the spore coat is essential for resistance?",Sometimes,False,True,Unknown,c
bacteria,History of bacteriology,Who formulated Koch's postulates?,Ignaz Semmelweis,Louis Pasteur,Robert Koch,Paul Ehrlich,c
bacteria,Extremophile bacteria,Which extremophile bacteria is a model for DNA repair robustness?,Acidithiobacillus ferrooxidans,Thermus aquaticus,Chloroflexus aurantiacus,Deinococcus radiodurans,d
bacteria,Bacterial genetics and plasmids,"In bacteria, what molecule carries genetic information?",DNA,RNA,Protein,Lipids,a
bacteria,Bacterial decomposition,Which bacteria are key in cellulose decomposition in soil?,Cyanobacteria,Actinobacteria,Archaea,Fungi,b
bacteria,Bacteria in water treatment,Which bacteria are a concern in distribution systems due to biofilm formation?,Vibrio,Bacteroides,Lactobacillus,Legionella,d
bacteria,Bacterial decomposition,Which bacteria degrade starch during plant matter decay?,Escherichia,Micrococcus,Bacillus,Rhizobium,c
bacteria,Bacterial genetics and plasmids,"In bacteria, plasmids are what form of DNA?",circular RNA,linear RNA,circular DNA,linear DNA,c
bacteria,Bacterial infection treatment history,Which bacterium caused a landmark shift to using antibiotics for syphilis in the 1940s?,Treponema pallidum,Neisseria gonorrhoeae,Mycobacterium tuberculosis,Streptococcus pyogenes,a
bacteria,Mycobacteria facts,"In bacteria, which Mycobacterium species causes leprosy?",M. tuberculosis,M. leprae,M. kansasii,M. smegmatis,b
bacteria,Bacterial diseases in humans,Which bacteria is linked to peptic ulcers?,Vibrio vulnificus,Streptococcus mutans,Escherichia coli,Helicobacter pylori,d
bacteria,Bacterial flagella and motility,"In bacteria, which organism has a single polar flagellum commonly used for motility?",Neisseria meningitidis,Escherichia coli,Bacillus subtilis,Vibrio cholerae,d
bacteria,Conjugation and horizontal gene transfer,What is the role of the sex pilus in bacterial conjugation?,DNA transfer channel,Attachment,Motility,Nutrient uptake,a
bacteria,Bacteria vs viruses differences,Which relies on host ribosomes for protein production in the bacteria vs virus debate?,bacteria,none,both,viruses,d
bacteria,Bacterial toxins,Staphylococcal enterotoxins are produced by which bacteria?,Bacillus cereus,Streptococcus pyogenes,Staphylococcus aureus,Clostridium difficile,c
bacteria,Bacterial toxins,Tetanus toxin is produced by which bacteria?,Bacillus cereus,Clostridium botulinum,Staphylococcus aureus,Clostridium tetani,d
bacteria,Binary fission and reproduction,Which stage follows DNA replication in bacterial binary fission?,segregation,transcription,translation,cytokinesis,d
bacteria,Bacteria in soil ecology,Which bacteria enhance soil phosphorus availability by solubilizing phosphate?,Thiobacillus,Nitrosomonas,Rhizobium,Bacillus,d
bacteria,Conjugation and horizontal gene transfer,What is a common consequence of horizontal gene transfer in bacteria?,Antibiotic resistance spread,Mutation increase,Cell death,Dormancy,a
bacteria,Chemotaxis in bacteria,Which enzyme in bacterial chemotaxis removes methyl groups from MCPs?,CheB,CheR,CheA,CheW,a
bacteria,Bacterial decomposition,Which bacteria initiate protein breakdown during decay in soil?,Streptococcus,Escherichia,Bacillus,Lactobacillus,c
bacteria,Bacteria in food production,Which bacteria is a common contaminant in rice and can cause food poisoning?,Lactobacillus casei,Bacillus cereus,Lactococcus lactis,Corynebacterium glutamicum,b
bacteria,Quorum sensing in bacteria,"In bacteria, quorum sensing often controls virulence factor expression.",False,True,Sometimes,Rarely,b
bacteria,Probiotic bacteria,Which bacteria is a probiotic commonly found in the human gut and boosts immunity?,Staphylococcus aureus,Vibrio cholerae,Shigella dysenteriae,Bifidobacterium lactis,d
bacteria,Chemotaxis in bacteria,What component powers flagellar propulsion in bacteria during chemotaxis?,ATP,GTP,NADH,Proton motive force,d
bacteria,Bacterial genetic engineering uses,Which feature on a plasmid allows independent replication in bacteria?,MCS,promoter,antibiotic marker,origin of replication,d
bacteria,Probiotic bacteria,Which bacteria is common in pickled vegetables and probiotic products?,Escherichia coli,Bacillus subtilis,Staphylococcus aureus,Lactobacillus plantarum,d
bacteria,Tuberculosis bacterium,Which antibiotic is commonly used to treat TB bacteria?,isoniazid,amoxicillin,penicillin,ciprofloxacin,a
bacteria,Staphylococcus species,"In bacteria, which Staphylococcus species is linked to bullous impetigo in children?",S. aureus,S. epidermidis,S. saprophyticus,S. lugdunensis,a
bacteria,Bacterial flagella and motility,"In bacteria, what term describes flagella at both ends?",Amphitrichous,Monotrichous,Peritrichous,Lophotrichous,a
bacteria,Bacteria in soil ecology,Which bacteria form root nodules with legumes to fix nitrogen?,Pseudomonas,Azotobacter,Bacillus,Rhizobium,d
bacteria,Cyanobacteria and photosynthesis,Which pigment dominates photosynthesis in cyanobacteria?,Chlorophyll b,Chlorophyll a,Chlorophyll d,Bacteriochlorophyll,b
bacteria,Bacterial cell wall composition,"In bacteria, which wall component acts as endotoxin?",Peptidoglycan,Teichoic acid,Lipopolysaccharide,Capsule,c
bacteria,Pathogenic bacteria species,Which bacteria is linked to dental caries?,Streptococcus mutans,Streptococcus pyogenes,Staphylococcus aureus,Pseudomonas aeruginosa,a
bacteria,Biofilm formation,Which bacteria commonly forms catheter biofilms in hospitals?,Staphylococcus epidermidis,Escherichia coli,Streptococcus pneumoniae,Bacillus cereus,a
bacteria,Streptococcus species,Streptococcus bacteria often show beta-hemolysis on blood agar; which species is classic beta-hemolytic?,S. pneumoniae,S. mutans,S. pyogenes,S. agalactiae,c
bacteria,Bacteria in soil ecology,Which bacteria help degrade cellulose in soil?,Azotobacter,Nitrosomonas,Rhizobium,Bacillus,d
bacteria,Bacterial size and scale,Which bacteria is commonly used as a model organism in size studies?,Salmonella typhi,Staphylococcus aureus,Mycobacterium leprae,Escherichia coli,d
bacteria,Probiotic bacteria,Which bacteria species is well known as probiotic for IBS?,Pseudomonas aeruginosa,Lactobacillus plantarum,Campylobacter jejuni,Bacillus cereus,b
bacteria,E. coli facts,"In bacteria, which vitamin does E. coli contribute to production in the gut?",Vitamin B12,Vitamin C,Vitamin D,Vitamin K,d
bacteria,Staphylococcus species,"In bacteria, which Staphylococcus species is a classic MRSA agent?",S. aureus,S. epidermidis,S. saprophyticus,S. lugdunensis,a
bacteria,History of bacteriology,Which bacterium was Marshall and Warren linked to ulcers?,Staphylococcus aureus,Escherichia coli,Helicobacter hepaticus,Helicobacter pylori,d
bacteria,Bacterial size and scale,"In general, which is larger in size: bacteria or viruses?",viruses,bacteria,both,unknown,b
bacteria,Archaea vs bacteria,"In bacteria, what type of membrane lipids do they primarily use?",amide,ether-linked,branched,ester-linked,d
bacteria,Endospore formation,"In bacteria, sporulation occurs in which growth phase?",Death phase,Exponential phase,Stationary phase,Lag phase,c
bacteria,Bacterial genetic engineering uses,Bacteria engineered to produce human insulin rely on which tool?,virus,plasmid,genome,organelle,b
bacteria,Bacterial toxins,Lethal toxin and edema toxin are produced by which bacteria?,Clostridium botulinum,Bacillus cereus,Bacillus anthracis,Staphylococcus aureus,c
bacteria,Aerobic vs anaerobic bacteria,"In the mouth's low-oxygen niches, which bacteria type is common?",microaerophile,obligate aerobe,facultative anaerobe,aerotolerant,c
bacteria,Bacterial flagella and motility,"In bacteria, what word describes a cell with a single flagellum at one end?",Lophotrichous,Monotrichous,Peritrichous,Amphitrichous,b
bacteria,Bacterial decomposition,Which bacteria are often used for protease activity in soil decay?,Staphylococcus,Listeria,Bacillus,Micrococcus,c
bacteria,Bacterial bioluminescence,"In bioluminescent bacteria, which regulator activates light gene expression in response to signaling molecules?",AraC,LacI,LuxR,TetR,c
bacteria,Extremophile bacteria,Which extremophile bacteria is extremely halophilic and red?,Thermus aquaticus,Salinibacter ruber,Acidithiobacillus ferrooxidans,Deinococcus radiodurans,b
bacteria,Archaea vs bacteria,"In bacteria, which process moves DNA between cells via pili?",Transformation,Conjugation,Transduction,Replication,b
bacteria,Bacterial metabolism types,What metabolism in bacteria uses light energy and CO2?,Lithotrophy,Chemoorganotrophy,Phototrophy,Heterotrophy,c
bacteria,Bacterial membrane transport,"In bacteria, which sugar-uptake system relies on phosphoenolpyruvate to phosphorylate sugar during transport?",PTS,ABC,MFS,TonB,a
bacteria,Bacterial genetic engineering uses,Which method introduces DNA into bacteria via transformation?,transformation,transduction,conjugation,mutation,a
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria forms nodules in alder trees (actinorhizal symbiosis)?,Frankia,Rhizobium,Azospirillum,Beijerinckia,a
bacteria,Bacterial DNA replication,"In bacteria, which repair system fixes replication errors?",Base excision repair,Nucleotide excision repair,Mismatch repair,Recombination repair,c
bacteria,Bacterial flagella and motility,"In bacteria, which parts form the stator that drives rotation?",Rod,Cap,Hook,MotA/MotB,d
bacteria,Bacterial decomposition,Which bacteria are major anaerobes in sludge digestion?,Clostridium,Bacillus,Propionibacterium,Bacteroides,a
bacteria,Bacterial DNA replication,"In bacteria, which enzyme lays down RNA primers on the lagging strand?",Primase,Pol I,Pol III,Ligase,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, what primarily differentiates Gram-positive from Gram-negative cell walls?",Teichoic acids absent,Thin peptidoglycan,Outer membrane present,Thick peptidoglycan,d
bacteria,Antibiotic resistance mechanisms,Which mechanism do bacteria commonly use to inactivate beta-lactam antibiotics?,Beta-lactamase,Efflux pump,Target mutation,Porin loss,a
bacteria,Bacteria in soil ecology,Which soil bacteria fix nitrogen without plant nodules?,Pseudomonas,Rhizobium,Azotobacter,Bacillus,c
bacteria,Antibiotic resistance mechanisms,Which bacteria commonly shows vancomycin resistance via D-Ala-D-Lac?,Enterococcus faecium,Staphylococcus aureus,Escherichia coli,Pseudomonas aeruginosa,a
bacteria,Bacteria vs viruses differences,"In the bacteria vs viruses comparison, which typically lacks a true nucleus?",bacteria,viruses,both,none,a
bacteria,Bacterial infection treatment history,Streptomycin was the first antibiotic effective against which bacterial disease?,Cholera,Gonorrhea,Tuberculosis,Diphtheria,c
bacteria,Bacterial genetic engineering uses,Bacteria genetic engineering aims to modify what to increase product yield?,host,capsule,DNA,metabolism,d
bacteria,Antibiotic resistance mechanisms,Quinolone resistance in bacteria commonly arises from mutations in which enzyme?,RNA polymerase,DNA gyrase,Topoisomerase I,Beta-lactamase,b
bacteria,Conjugation and horizontal gene transfer,Which gene transfer method involves bacteriophages transferring DNA in bacteria?,Transduction,Conjugation,Transformation,Transposon,a
bacteria,Bacterial decomposition,Which bacteria carry out denitrification in oxygen-poor decaying matter?,Pseudomonas,Escherichia,Bacillus,Paracoccus,d
bacteria,Endospore formation,"In bacteria, endospores are metabolically inactive.",False,True,Sometimes,Unknown,b
bacteria,Bacteria in food production,Which bacteria is used in Swiss cheese production to develop flavor through gas formation?,Propionibacterium freudenreichii,Lactobacillus delbrueckii,Streptococcus thermophilus,Staphylococcus aureus,a
bacteria,Bacterial colonies and culture techniques,Which atmosphere is needed by many bacteria that require oxygen?,aerobic,microaerophilic,anaerobic,capnophilic,a
bacteria,Bacterial flagella and motility,"In bacteria, which type of basal body typically includes MS and C rings?",Neither,Gram-positive,Both,Gram-negative,d
bacteria,Streptococcus species,Which Streptococcus bacteria is Group B and often tested in newborns?,S. mutans,S. pyogenes,S. pneumoniae,S. agalactiae,d
bacteria,Bacteria in food production,Which bacteria are killed by pasteurization in milk?,Bacillus coagulans,Lactobacillus acidophilus,Propionibacterium freudenreichii,Listeria monocytogenes,d
bacteria,Bacterial genetic engineering uses,Which plasmid feature allows selection of transformed bacteria?,origin,antibiotic resistance gene,multiple cloning site,spacer,b
bacteria,Bacterial size and scale,"Which bacteria is among the smallest, about 0.2 μm?",Staphylococcus aureus,Escherichia coli,Mycoplasma genitalium,Bacillus subtilis,c
bacteria,Biofilm formation,Which bacteria commonly forms biofilms on medical implants due to polysaccharide intercellular adhesin (PIA)?,Staphylococcus aureus,Pseudomonas aeruginosa,Staphylococcus epidermidis,Escherichia coli,c
bacteria,Bacterial toxins,Streptococcal pyrogenic exotoxin SpeA is produced by which bacteria?,Clostridium perfringens,Staphylococcus aureus,Bacillus cereus,Streptococcus pyogenes,d
bacteria,Bacterial genetic engineering uses,Bacteria engineered to express a therapeutic protein require what to initiate transcription?,receptor,terminator,promoter,gene,c
bacteria,Streptococcus species,Streptococcus bacteria are typically arranged in?,Pairs,Chains,Clusters,Grapes,b
bacteria,Endospore formation,"In bacteria, which molecule is characteristic of endospore core?",Dipicolinic acid,Peptidoglycan,Calcium,DNA,a
bacteria,Bacterial size and scale,Typical length of rod-shaped bacteria is about?,50 μm,0.01 μm,10 μm,1-3 μm,d
bacteria,Bacteria in water treatment,Which bacteria are associated with sulfide production in sewer systems?,Desulfovibrio,Bacillus,Escherichia,Streptococcus,a
bacteria,Bacterial role in carbon cycle,Which bacteria fix dissolved inorganic carbon into biomass?,fermenters,heterotrophic bacteria,methanogens,autotrophic bacteria,d
bacteria,Cell structure and morphology,What is the spherical shape of some bacteria called?,Cocci,Bacilli,Spirilla,Vibrios,a
bacteria,CRISPR origins in bacteria,The discovery of CRISPR sequences in bacteria is associated with which scientist?,Jennifer Doudna,Rodolfo Barrangou,Francisco Mojica,Emmanuelle Charpentier,c
bacteria,Staphylococcus species,"In bacteria, which Staphylococcus species is both coagulase-positive and mannitol fermenter?",S. lugdunensis,S. epidermidis,S. saprophyticus,S. aureus,d
bacteria,Archaea vs bacteria,"In bacteria, genes are often organized into what units?",Intergenic,Introns,Exons,Operons,d
bacteria,Bacterial ribosomes,Which antibiotic binds to the bacterial 30S subunit and causes misreading?,Streptomycin,Erythromycin,Chloramphenicol,Tetracycline,a
bacteria,Bacterial decomposition,Which bacteria perform nitrification in soils rich with decomposing matter?,Bacillus,Nitrospira,Rhizobium,Nitrosomonas,d
bacteria,Aerobic vs anaerobic bacteria,Bacteria most common in oxygen-rich soil are what type?,microaerophile,aerotolerant,obligate aerobe,anaerobe,c
bacteria,Bacterial decomposition,Which bacteria are known for lignin-associated degradation in some composts?,Streptomyces,Bacillus,Pseudomonas,Rhodococcus,d
bacteria,Chemotaxis in bacteria,What happens to CheY-P levels when attractant concentration rises in bacteria?,Increase,Fluctuate,No change,Decrease,d
bacteria,Bacteria in soil ecology,Which bacteria accelerate compost decomposition in soil?,Salmonella,E. coli,Streptococcus,Bacillus,d
bacteria,Bacterial role in carbon cycle,Which bacteria contribute to ocean carbon sequestration by fixing CO2 into organic matter?,Bacillus,Escherichia,cyanobacteria,Pseudomonas,c
bacteria,Bacterial genetics and plasmids,"In bacteria, which enzyme relaxes DNA supercoils during replication?",helicase,gyrase,ligase,polymerase,b
bacteria,Bacteria in food production,Which bacteria help ferment sourdough?,Streptococcus pyogenes,Lactobacillus sanfranciscensis,Bacillus subtilis,Salmonella enterica,b
bacteria,Cyanobacteria and photosynthesis,Which pigment transfers energy to chlorophyll in cyanobacteria?,Phycobiliproteins,Chlorophyll a,Carotenoids,Xanthophyll,a
bacteria,Quorum sensing in bacteria,"In bacteria, which type of autoinducers do Gram-positive species mostly use?",gases,AHLs,AI-2,peptides,d
bacteria,Bacterial role in carbon cycle,"Which bacteria precipitate carbonate minerals, aiding carbon sequestration?",sulfur bacteria,nitrifying bacteria,calcite formers,pathogenic bacteria,c
bacteria,Bacterial ribosomes,Which antibiotic blocks initiation by binding to the bacterial 30S subunit?,Erythromycin,Streptomycin,Tetracycline,Spectinomycin,d
bacteria,Binary fission and reproduction,Which of the following best describes the genetic relationship of the two daughter bacteria after binary fission?,different,identical,varied,complementary,b
bacteria,Cell structure and morphology,"What is the rigid, peptidoglycan layer in bacteria called?",Cell wall,Nucleoid,Cell membrane,Cytoskeleton,a
bacteria,Bacteria in water treatment,Which bacteria commonly cause biofilms on water treatment membranes?,Listeria,Staphylococcus,Pseudomonas,Vibrio,c
bacteria,Bacterial genetics and plasmids,"In bacteria, what structure mediates plasmid transfer during conjugation?",capsule,ribosome,flagellum,pilus,d
bacteria,Bacterial metabolism types,Bacteria that rely on inorganic carbon sources are called what?,Autotrophs,Heterotrophs,Phototrophs,Lithotrophs,a
bacteria,Endospore formation,"In bacteria, which layer forms the main protective outer barrier of the endospore?",Spore coat,Cortex,Core wall,Membrane,a
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria is often found in association with sugarcane?,Bradyrhizobium,Rhizobium,Azospirillum,Beijerinckia,c
bacteria,Famous bacteriologists,Which bacteriologist first described bacteria using a microscope?,Anton van Leeuwenhoek,Joseph Lister,Robert Koch,Louis Pasteur,a
bacteria,Bacterial membrane transport,"In bacteria, which transporter carries lactose into the cell?",TolC,LacZ,LacY,SecA,c
bacteria,Bacterial membrane transport,"In bacteria, which transport mode uses the proton motive force to import solutes?",Uniport,Antiport,Symport,Facilitated diffusion,c
bacteria,E. coli facts,"In bacteria, what oxygen requirement does E. coli have?",Aerobic,Facultative anaerobe,Anaerobic,Obligate aerobe,b
bacteria,Pathogenic bacteria species,Which bacteria causes campylobacteriosis from undercooked poultry?,Salmonella enterica,Campylobacter jejuni,Shigella dysenteriae,Listeria monocytogenes,b
bacteria,Bacterial vaccines,Which pertussis vaccine uses whole bacteria?,Whole-cell pertussis,Acellular pertussis,DTaP,Tdap,a
bacteria,Bacteria vs viruses differences,Which is often considered non-living in the bacteria vs viruses comparison?,bacteria,viruses,both,none,b
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria are used as biofertilizers for legumes?,Rhizobium,Bacillus,Pseudomonas,Streptococcus,a
bacteria,Bacterial ribosomes,Which rRNA provides most of the peptidyl transferase activity in the bacterial large subunit?,18S,5S,16S,23S,d
bacteria,Bacterial metabolism types,Bacteria capable of growing with or without oxygen are called what?,Facultative anaerobes,Anaerobes,Aerobes,Microaerophiles,a
bacteria,Pathogenic bacteria species,Which bacteria is the cause of Legionnaires' disease?,Neisseria meningitidis,Mycobacterium leprae,Bordetella pertussis,Legionella pneumophila,d
bacteria,Binary fission and reproduction,"In bacteria, which protein forms the constriction ring during binary fission?",DNA gyrase,FtsZ ring,RNA polymerase,MreB,b
bacteria,Bacterial genetic engineering uses,What is a common vector used in bacterial genetic engineering?,virus,plasmid,chromosome,mitochondrion,b
bacteria,Bacterial genetics and plasmids,"In bacteria, conjugation transfers plasmids via what structure?",cytoplasm,membranes,pili,spores,c
bacteria,Bacterial membrane transport,"In bacteria, which class of efflux pumps spans inner and outer membranes to eject antibiotics?",RND efflux pumps,MFS efflux pumps,P-type ATPase,Sec translocases,a
bacteria,Endospore formation,"In bacteria, which organism is a classic endospore-former?",Bacillus subtilis,Escherichia coli,Streptococcus pneumoniae,Pseudomonas aeruginosa,a
bacteria,Antibiotic resistance mechanisms,What feature in bacteria lowers antibiotic penetration via the matrix?,Flagella motility,Capsule shedding,Biofilm matrix,Spore coat,c
bacteria,Bacterial flagella and motility,"In bacteria, which group uses endoflagella to move corkscrew-like?",Spirochetes,Proteobacteria,Firmicutes,Cyanobacteria,a
bacteria,Bacterial size and scale,Which bacteria is often cited as large enough to be seen without a microscope?,Escherichia coli,Thiomargarita namibiensis,Staphylococcus aureus,Mycoplasma genitalium,b
bacteria,Binary fission and reproduction,Which term best describes reproduction by bacteria through binary fission?,sexual,asexual,autogamy,parthenogenesis,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which rank groups multiple orders?",Genus,Family,Order,Class,d
bacteria,CRISPR origins in bacteria,In bacteria CRISPR-Cas Type II uses which nuclease to cut DNA?,Cas3,Cas12,Cas9,Cas1,c
bacteria,Bacterial ribosomes,"In bacteria, what is the size of the ribosome?",90S,80S,60S,70S,d
bacteria,Bacterial staining techniques,Acid-fast staining is mainly used to identify which bacteria?,Bacilli,Staphylococci,Streptococci,Mycobacteria,d
bacteria,Quorum sensing in bacteria,"In bacteria, which signaling system supports interspecies communication using AI-2?",peptides,AHL,AI-2,NO,c
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has a thick peptidoglycan layer that traps dye?",Neither,Gram-negative,Both,Gram-positive,d
bacteria,Antibiotic resistance mechanisms,Which genetic element enables horizontal transfer of resistance in bacteria?,Plastids,Chromosomes,Mitochondria,Plasmids,d
