concept,subtopic,q,a,b,c,d,ans
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, what primarily differentiates Gram-positive from Gram-negative cell walls?",Thick peptidoglycan,Thin peptidoglycan,Outer membrane present,Teichoic acids absent,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type is more susceptible to penicillin G?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has an outer membrane containing LPS?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which stain result typically shows purple after Gram staining?",Purple,Pink,Red,Colorless,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type lacks an outer membrane?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has teichoic acids in its cell wall?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has a defined periplasmic space between membranes?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type's outer membrane blocks many antibiotics?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type retains crystal violet best?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type contains lipopolysaccharide in its outer membrane?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has a thicker peptidoglycan layer?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type forms endospores commonly?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has LPS as a major outer membrane component?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type is more susceptible to vancomycin?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has a thick peptidoglycan layer that traps dye?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has porin-rich outer membrane?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type is more susceptible to lysozyme?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type lacks teichoic acids in its cell wall?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type is Gram-stained pink after decolorization?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has a thick, multi-layered peptidoglycan with no outer membrane?",Gram-positive,Gram-negative,Both,Neither,a
bacteria,Binary fission and reproduction,"In bacteria, binary fission produces how many daughter cells?",one,two,three,four,b
bacteria,Binary fission and reproduction,"In bacteria, which protein forms the constriction ring during binary fission?",FtsZ ring,DNA gyrase,RNA polymerase,MreB,a
bacteria,Binary fission and reproduction,What reproduction method do bacteria use in binary fission?,mitosis,binary fission,meiosis,budding,b
bacteria,Binary fission and reproduction,"In bacteria, binary fission is most rapid during which growth phase?",lag phase,log phase,stationary,death,b
bacteria,Binary fission and reproduction,Which structure is essential for cytokinesis in bacteria during binary fission?,cell wall,FtsZ ring,ribosome,membrane,b
bacteria,Binary fission and reproduction,"In bacteria, after DNA replication, where are the replicated chromosomes positioned before division?",cell poles,center,nucleoid,capsule,a
bacteria,Binary fission and reproduction,Which protein helps position the bacterial chromosome during binary fission?,MreB,FtsZ,MinC,DNA gyrase,a
bacteria,Binary fission and reproduction,Binary fission in bacteria is an example of what type of reproduction?,sexual,asexual,parasexual,autogamy,b
bacteria,Binary fission and reproduction,"In bacteria, binary fission yields identical offspring called a what?",clone,variety,mutant,gamete,a
bacteria,Binary fission and reproduction,Which stage follows DNA replication in bacterial binary fission?,cytokinesis,transcription,translation,segregation,a
bacteria,Binary fission and reproduction,Which enzyme builds the septum in many bacteria during binary fission?,PBPs,RNA polymerase,DNA polymerase,ligase,a
bacteria,Binary fission and reproduction,"In bacteria, the origin of replication is called what?",oriC,centromere,telomere,origin,a
bacteria,Binary fission and reproduction,Which term describes the division site in bacterial binary fission?,division plane,nucleoid,cell pole,membrane,a
bacteria,Binary fission and reproduction,Which term best describes reproduction by bacteria through binary fission?,sexual,asexual,autogamy,parthenogenesis,b
bacteria,Binary fission and reproduction,What growth condition supports rapid bacterial binary fission?,rich medium,poor medium,cold,dry,a
bacteria,Binary fission and reproduction,What can introduce genetic variation in bacteria during binary fission?,mutations,conjugation,transduction,transformation,a
bacteria,Binary fission and reproduction,"In bacteria, where is the division plane located during binary fission?",center,pole,edge,rim,a
bacteria,Binary fission and reproduction,True or False: Bacterial binary fission is an asexual process?,True,False,Sometimes,Not sure,a
bacteria,Binary fission and reproduction,What is the immediate event called when a bacterial cell divides into two after replication?,fission,replication,meiosis,budding,a
bacteria,Binary fission and reproduction,Which of the following best describes the genetic relationship of the two daughter bacteria after binary fission?,identical,different,varied,complementary,a
bacteria,Antibiotic resistance mechanisms,Which mechanism do bacteria commonly use to inactivate beta-lactam antibiotics?,Beta-lactamase,Efflux pump,Target mutation,Porin loss,a
bacteria,Antibiotic resistance mechanisms,"In bacteria, what change reduces drug entry by decreasing outer membrane porins?",Porin loss,Enzyme inactivation,Target mutation,Efflux pump,a
bacteria,Antibiotic resistance mechanisms,Which mechanism in bacteria causes expulsion of antibiotics from the cell?,Efflux pump,Beta-lactamase,Target alteration,Biofilm,a
bacteria,Antibiotic resistance mechanisms,"In bacteria, target modification via methylation reduces binding of which drug class?",Methylation of 23S rRNA,Beta-lactamases,Porin loss,Efflux,a
bacteria,Antibiotic resistance mechanisms,"In bacteria, aminoglycoside-modifying enzymes act by which modification?",Acetylation,Methylation,Phosphorylation,Hydrolysis,a
bacteria,Antibiotic resistance mechanisms,Vancomycin resistance in bacteria usually arises from changing the cell wall terminus to what?,D-Ala-D-Lac,D-Ala-D-Ser,D-Ala-D-Gly,D-Ala-D-Cys,a
bacteria,Antibiotic resistance mechanisms,Biofilms in bacteria confer resistance mainly by what?,Reduced diffusion,Increased diffusion,Enzyme leakage,Spore formation,a
bacteria,Antibiotic resistance mechanisms,Ribosomal protection proteins in bacteria confer resistance to which class?,Tetracyclines,Beta-lactams,Fluoroquinolones,Glycopeptides,a
bacteria,Antibiotic resistance mechanisms,Altered penicillin-binding proteins in bacteria cause resistance to what?,Beta-lactams,Macrolides,Quinolones,Aminoglycosides,a
bacteria,Antibiotic resistance mechanisms,Which mobile element carries resistance genes between bacteria?,R-plasmids,Transposons,CRISPR,Phages,a
bacteria,Antibiotic resistance mechanisms,Quinolone resistance in bacteria commonly arises from mutations in which enzyme?,DNA gyrase,RNA polymerase,Topoisomerase I,Beta-lactamase,a
bacteria,Antibiotic resistance mechanisms,Overexpression of efflux pumps in bacteria leads to resistance to what?,Multiple drugs,Only beta-lactams,Only quinolones,Only aminoglycosides,a
bacteria,Antibiotic resistance mechanisms,Which antibiotic class is affected by ribosomal methylation in bacteria?,Macrolides,Beta-lactams,Quinolones,Glycopeptides,a
bacteria,Antibiotic resistance mechanisms,Chloramphenicol resistance in bacteria often arises from what enzymatic action?,Acetylation,Glycosylation,Phosphorylation,Degradation,a
bacteria,Antibiotic resistance mechanisms,What feature in bacteria lowers antibiotic penetration via the matrix?,Biofilm matrix,Capsule shedding,Flagella motility,Spore coat,a
bacteria,Antibiotic resistance mechanisms,Which genetic element enables horizontal transfer of resistance in bacteria?,Plasmids,Chromosomes,Mitochondria,Plastids,a
bacteria,Antibiotic resistance mechanisms,Which bacteria commonly shows vancomycin resistance via D-Ala-D-Lac?,Enterococcus faecium,Staphylococcus aureus,Escherichia coli,Pseudomonas aeruginosa,a
bacteria,Antibiotic resistance mechanisms,Which mechanism in bacteria broadens resistance across many drug types?,Efflux pumps,Enzyme inactivation,Target mutation,Biofilm,a
bacteria,Antibiotic resistance mechanisms,Which enzyme class in bacteria hydrolyzes the beta-lactam ring?,Beta-lactamases,Phosphatases,Kinases,Proteases,a
bacteria,Antibiotic resistance mechanisms,What term describes the spread of resistance genes between bacteria?,Horizontal gene transfer,Vertical inheritance,Mutation,Recombination,a
bacteria,Bacterial flagella and motility,"In bacteria, what energy powers flagellar rotation?",proton motive force,ATP,Light,Gravity,a
bacteria,Bacterial flagella and motility,"In bacteria, how are flagella arranged on a peritrichous cell?",scattered over surface,at one pole,in bundles,under capsule,a
bacteria,Bacterial flagella and motility,"In bacteria, which protein forms the flagellar filament?",flagellin,pilin,MreB,FtsZ,a
bacteria,Bacterial flagella and motility,"In bacteria, which parts form the stator that drives rotation?",MotA/MotB,Cap,Hook,Rod,a
bacteria,Bacterial flagella and motility,"In bacteria, what switch causes a tumble during chemotaxis?",CCW to CW,CW to CCW,Stop,Speed up,a
bacteria,Bacterial flagella and motility,"In bacteria, which species is a classic peritrichous example?",Escherichia coli,Vibrio cholerae,Treponema pallidum,Helicobacter pylori,a
bacteria,Bacterial flagella and motility,"In bacteria, what connects basal body to the flagellar filament?",Hook,Cap,Rod,Shaft,a
bacteria,Bacterial flagella and motility,"In bacteria, what word describes a cell with a single flagellum at one end?",Monotrichous,Lophotrichous,Peritrichous,Amphitrichous,a
bacteria,Bacterial flagella and motility,"In bacteria, what are axial filaments used by Spirochetes?",Axial filaments,Pili,Fimbriae,Capsule,a
bacteria,Bacterial flagella and motility,"In bacteria, what part is the rotor of the flagellum?",Rotor,Stator,Filament,Cap,a
bacteria,Bacterial flagella and motility,"In bacteria, which protein triggers motor switching to tumble?",CheY,CheA,CheW,MCP,a
bacteria,Bacterial flagella and motility,"In bacteria, attractants bias movement by increasing what?",Run duration,Tumble rate,Speed,Rotation,a
bacteria,Bacterial flagella and motility,"In bacteria, what term describes flagella at both ends?",Amphitrichous,Monotrichous,Peritrichous,Lophotrichous,a
bacteria,Bacterial flagella and motility,"In bacteria, which organism has a single polar flagellum commonly used for motility?",Vibrio cholerae,Escherichia coli,Bacillus subtilis,Neisseria meningitidis,a
bacteria,Bacterial flagella and motility,"In bacteria, flagellar subunits are exported through which secretion system during assembly?",Type III secretion,Type II secretion,Sec pathway,Tat pathway,a
bacteria,Bacterial flagella and motility,"In bacteria, which group uses endoflagella to move corkscrew-like?",Spirochetes,Proteobacteria,Firmicutes,Cyanobacteria,a
bacteria,Bacterial flagella and motility,"In bacteria, which rotation forms a bundle to produce a run?",CCW rotation,CW rotation,Stop,Pause,a
bacteria,Bacterial flagella and motility,"In bacteria, which type of basal body typically includes MS and C rings?",Gram-negative,Gram-positive,Both,Neither,a
bacteria,Bacterial flagella and motility,"In bacteria, what happens to run length when an attractant is detected?",Run length increases,Run length decreases,No change,Stops,a
bacteria,Bacterial flagella and motility,"In bacteria, which component forms the distal cap at the flagellar filament tip?",Cap,Hook,Filament,Rod,a
bacteria,Biofilm formation,Which bacteria commonly forms biofilms on medical implants due to polysaccharide intercellular adhesin (PIA)?,Staphylococcus aureus,Staphylococcus epidermidis,Pseudomonas aeruginosa,Escherichia coli,b
bacteria,Biofilm formation,"In Pseudomonas aeruginosa, what is a key exopolysaccharide in biofilm formation?",Alginate,Capsule,Teichoic acid,LPS,a
bacteria,Biofilm formation,Which bacteria form dental plaque biofilms using extracellular glucans produced by glucosyltransferases?,Streptococcus mutans,Staphylococcus aureus,Escherichia coli,Bacillus subtilis,a
bacteria,Biofilm formation,Which bacterium uses Pel and Psl polysaccharides to build its biofilm matrix?,Pseudomonas aeruginosa,Staphylococcus aureus,Enterococcus faecalis,Bacillus subtilis,a
bacteria,Biofilm formation,Which bacteria forms antibiotic-tolerant biofilms in chronic wounds?,Escherichia coli,Pseudomonas aeruginosa,Staphylococcus aureus,Bacillus subtilis,c
bacteria,Biofilm formation,Which structure helps E. coli start biofilm formation by attachment?,Flagella,Pili,Cilia,Capsule,b
bacteria,Biofilm formation,Which bacterium serves as a model for biofilm development studies due to its simple genetics?,Bacillus subtilis,Staphylococcus aureus,Helicobacter pylori,Mycobacterium tuberculosis,a
bacteria,Biofilm formation,Which bacterium forms thick biofilms in CF lungs?,Stenotrophomonas maltophilia,Pseudomonas aeruginosa,Neisseria meningitidis,Salmonella enterica,b
bacteria,Biofilm formation,Which bacteria overproduces alginate in its biofilms?,Pseudomonas aeruginosa,Escherichia coli,Streptococcus pneumoniae,Listeria monocytogenes,a
bacteria,Biofilm formation,Which bacteria commonly forms catheter biofilms in hospitals?,Escherichia coli,Staphylococcus epidermidis,Streptococcus pneumoniae,Bacillus cereus,b
bacteria,Biofilm formation,Which bacteria use quorum sensing peptides to regulate biofilm formation?,Staphylococcus aureus,Campylobacter jejuni,Bacillus subtilis,Neisseria meningitidis,a
bacteria,Biofilm formation,Which bacteria commonly forms contact lens biofilms leading to keratitis?,Pseudomonas aeruginosa,Streptococcus pyogenes,Listeria monocytogenes,Bacillus subtilis,a
bacteria,Biofilm formation,Which bacteria produce PNAG matrix in biofilms?,Staphylococcus epidermidis,Escherichia coli,Mycobacterium tuberculosis,Vibrio cholerae,a
bacteria,Biofilm formation,Which bacterium forms biofilms in urinary tract aiding catheter infections?,Klebsiella pneumoniae,Escherichia coli,Salmonella enterica,Shigella flexneri,b
bacteria,Biofilm formation,Which bacterium forms dental plaque biofilms tied to caries?,Streptococcus mutans,Streptococcus pneumoniae,Staphylococcus aureus,Neisseria gonorrhoeae,a
bacteria,Biofilm formation,Which bacteria express biofilm-associated protein Bap in biofilms?,Staphylococcus aureus,Escherichia coli,Pseudomonas aeruginosa,Bacillus subtilis,a
bacteria,Biofilm formation,In which bacterium does high c-di-GMP promote biofilm formation?,Pseudomonas aeruginosa,Vibrio cholerae,Mycobacterium smegmatis,Neisseria meningitidis,a
bacteria,Biofilm formation,Which bacterium forms biofilms on food-contact surfaces in processing plants?,Listeria monocytogenes,Vibrio vulnificus,Bacillus subtilis,Campylobacter jejuni,a
bacteria,Biofilm formation,Which bacterium uses flagella-driven motility to initiate biofilm formation?,Pseudomonas aeruginosa,Staphylococcus aureus,Escherichia coli,Bacillus subtilis,a
bacteria,Biofilm formation,Which bacteria is a model for freshwater biofilm architecture?,Pseudomonas fluorescens,Streptococcus mutans,Mycobacterium smegmatis,Neisseria meningitidis,a
bacteria,Pathogenic bacteria species,Which bacteria causes tuberculosis?,Mycobacterium tuberculosis,Escherichia coli,Staphylococcus aureus,Vibrio vulnificus,a
bacteria,Pathogenic bacteria species,Which bacteria causes diphtheria?,Corynebacterium diphtheriae,Bacillus anthracis,Streptococcus pneumoniae,Listeria monocytogenes,a
bacteria,Pathogenic bacteria species,Which bacteria is linked to cholera?,Vibrio cholerae,Helicobacter pylori,Campylobacter jejuni,Salmonella enterica,a
bacteria,Pathogenic bacteria species,Which bacteria is the cause of Legionnaires' disease?,Legionella pneumophila,Mycobacterium leprae,Bordetella pertussis,Neisseria meningitidis,a
bacteria,Pathogenic bacteria species,Which bacteria causes gonorrhea?,Neisseria gonorrhoeae,Streptococcus pyogenes,Haemophilus influenzae,Pseudomonas aeruginosa,a
bacteria,Pathogenic bacteria species,Which bacteria causes syphilis?,Treponema pallidum,Borrelia burgdorferi,Leptospira interrogans,Campylobacter jejuni,a
bacteria,Pathogenic bacteria species,Which bacteria is associated with peptic ulcers?,Helicobacter pylori,Escherichia coli,Helicobacter hepaticus,Campylobacter jejuni,a
bacteria,Pathogenic bacteria species,Which bacteria causes whooping cough?,Bordetella pertussis,Bordetella parapertussis,Corynebacterium diphtheriae,Legionella pneumophila,a
bacteria,Pathogenic bacteria species,Which bacteria causes anthrax?,Bacillus anthracis,Bacillus cereus,Clostridium botulinum,Staphylococcus aureus,a
bacteria,Pathogenic bacteria species,Which bacteria is the primary cause of plague?,Yersinia pestis,Bacillus anthracis,Vibrio cholerae,Escherichia coli,a
bacteria,Pathogenic bacteria species,Which bacteria causes meningitis in adults?,Neisseria meningitidis,Streptococcus pneumoniae,Listeria monocytogenes,Haemophilus influenzae,a
bacteria,Pathogenic bacteria species,Which bacteria causes tetanus?,Clostridium tetani,Clostridium botulinum,Clostridium difficile,Bacillus cereus,a
bacteria,Pathogenic bacteria species,Which bacteria is linked to dental caries?,Streptococcus mutans,Streptococcus pyogenes,Staphylococcus aureus,Pseudomonas aeruginosa,a
bacteria,Pathogenic bacteria species,Which bacteria causes listeriosis?,Listeria monocytogenes,Escherichia coli,Salmonella enterica,Shigella sonnei,a
bacteria,Pathogenic bacteria species,Which bacteria causes Rocky Mountain spotted fever?,Rickettsia rickettsii,Vibrio vulnificus,Borrelia burgdorferi,Bacillus subtilis,a
bacteria,Pathogenic bacteria species,Which bacteria can cause hemorrhagic diarrhea via Shiga toxin?,Shigella dysenteriae,Escherichia coli O157:H7,Campylobacter jejuni,Salmonella enterica,a
bacteria,Pathogenic bacteria species,Which bacteria is linked to stomach ulcers?,Helicobacter pylori,Staphylococcus aureus,Escherichia coli,Campylobacter jejuni,a
bacteria,Pathogenic bacteria species,Which bacteria causes melioidosis?,Burkholderia pseudomallei,Pseudomonas aeruginosa,Escherichia coli,Salmonella enterica,a
bacteria,Pathogenic bacteria species,Which bacteria causes campylobacteriosis from undercooked poultry?,Campylobacter jejuni,Salmonella enterica,Shigella dysenteriae,Listeria monocytogenes,a
bacteria,Pathogenic bacteria species,Which bacteria causes leprosy?,Mycobacterium leprae,Mycobacterium tuberculosis,Corynebacterium diphtheriae,Bacillus anthracis,a
bacteria,Beneficial gut bacteria,Which gut bacteria is commonly used as a probiotic in yogurt?,Lactobacillus,Streptococcus,Escherichia,Clostridium,a
bacteria,Beneficial gut bacteria,Which gut bacteria is a major butyrate producer?,Faecalibacterium prausnitzii,Escherichia coli,Streptococcus,Bacteroides,a
bacteria,Beneficial gut bacteria,Which gut bacteria train the immune system and are beneficial?,Bifidobacterium,Staphylococcus,Pseudomonas,Clostridium,a
bacteria,Beneficial gut bacteria,Which gut bacteria helps maintain the mucus layer in the gut?,Akkermansia muciniphila,Bacteroides,Lactobacillus,Streptococcus,a
bacteria,Beneficial gut bacteria,Which gut bacteria are known to synthesize vitamin K?,Bacteroides,Lactobacillus,Streptococcus,Escherichia,a
bacteria,Beneficial gut bacteria,Which gut bacteria is used as a probiotic strain named in Escherichia coli Nissle 1917?,Escherichia coli Nissle 1917,Lactobacillus casei,Bifidobacterium longum,Streptococcus thermophilus,a
bacteria,Beneficial gut bacteria,Which gut bacteria helps lactose digestion?,Lactobacillus,Clostridium,Salmonella,Shigella,a
bacteria,Beneficial gut bacteria,Which gut bacteria genus is a known butyrate producer in the colon?,Roseburia,Campylobacter,Enterococcus,Vibrio,a
bacteria,Beneficial gut bacteria,Which gut bacteria are noted for breaking down fiber into short-chain fatty acids?,Bacteroides,Staphylococcus,Bacillus,Neisseria,a
bacteria,Beneficial gut bacteria,Which gut bacteria commonly produces lactic acid?,Lactobacillus,Salmonella,Klebsiella,Pseudomonas,a
bacteria,Beneficial gut bacteria,Which gut bacteria synthesize B vitamins in the gut?,Bifidobacterium,Clostridium difficile,Streptococcus pyogenes,Staphylococcus aureus,a
bacteria,Beneficial gut bacteria,Which gut bacteria is linked to anti-inflammatory effects in the gut?,Faecalibacterium prausnitzii,Escherichia coli,Staphylococcus aureus,Salmonella,a
bacteria,Beneficial gut bacteria,Which gut bacteria help metabolize bile acids?,Bacteroides,Mycobacterium,Campylobacter,Helicobacter,a
bacteria,Beneficial gut bacteria,Which gut bacteria dominates in breastfed infants?,Bifidobacterium,Clostridium difficile,Staphylococcus aureus,Lactobacillus,a
bacteria,Beneficial gut bacteria,"Which gut bacteria strain is used to treat diarrhea, Lactobacillus rhamnosus GG?",Lactobacillus rhamnosus GG,Bacteroides fragilis,Streptococcus thermophilus,Clostridium perfringens,a
bacteria,Beneficial gut bacteria,Which gut bacteria is commonly used as a probiotic in infant formulas: Bifidobacterium longum?,Bifidobacterium longum,Escherichia coli,Pseudomonas aeruginosa,Streptococcus thermophilus,a
bacteria,Beneficial gut bacteria,Which gut bacteria helps degrade dietary oxalate?,Oxalobacter formigenes,Escherichia coli,Bacteroides fragilis,Staphylococcus aureus,a
bacteria,Beneficial gut bacteria,Which gut bacteria are major producers of propionate in the colon?,Bacteroides,Lactobacillus,Clostridium difficile,Salmonella,a
bacteria,Beneficial gut bacteria,Which gut bacteria are major producers of acetate in the gut?,Bifidobacterium,Escherichia coli,Campylobacter,Streptococcus,a
bacteria,Beneficial gut bacteria,Which gut bacteria is frequently studied as a marker of gut health?,Akkermansia muciniphila,Escherichia coli,Clostridium difficile,Staphylococcus aureus,a
bacteria,Bacterial taxonomy and classification,"In bacteria, what is the highest taxonomic rank used to group organisms?",Domain,Phylum,Class,Kingdom,a
bacteria,Bacterial taxonomy and classification,"In bacteria, which phylum includes many Gram-positive endospore-formers?",Firmicutes,Proteobacteria,Actinobacteria,Bacteroidetes,a
bacteria,Bacterial taxonomy and classification,"In bacteria, which phylum includes most Gram-negative rods such as E. coli?",Firmicutes,Proteobacteria,Actinobacteria,Bacteroidetes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which feature distinguishes Gram-positive bacteria?",Outer membrane,Thick peptidoglycan,Lipopolysaccharide,Periplasm,b
bacteria,Bacterial taxonomy and classification,"In bacteria, what taxonomic rank directly below domain?",Phylum,Class,Order,Family,a
bacteria,Bacterial taxonomy and classification,"In bacteria, Mycobacteria belong to which phylum?",Firmicutes,Actinobacteria,Proteobacteria,Bacteroidetes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, the phylum Proteobacteria contains which Gram stain?",Gram-positive,Gram-negative,Gram-variable,Gram-neutral,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which phylum is known for very high GC content?",Firmicutes,Actinobacteria,Proteobacteria,Bacteroidetes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, Escherichia belongs to which phylum?",Firmicutes,Proteobacteria,Actinobacteria,Bacteroidetes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, acid-fast staining detects which group?",Firmicutes,Actinobacteria,Proteobacteria,Bacteroidetes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, what rank names a single species?",Genus,Species,Family,Order,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which phylum contains cyanobacteria?",Cyanobacteria,Firmicutes,Proteobacteria,Actinobacteria,a
bacteria,Bacterial taxonomy and classification,"In bacteria, spirochetes belong to which phylum?",Firmicutes,Spirochaetes,Proteobacteria,Actinobacteria,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which gene is standard for taxonomy?",18S rRNA,COI,16S rRNA,rpoB,c
bacteria,Bacterial taxonomy and classification,"In bacteria, which phylum includes lactic acid bacteria?",Firmicutes,Actinobacteria,Proteobacteria,Bacteroidetes,a
bacteria,Bacterial taxonomy and classification,"In bacteria, Bacillus exemplifies what trait?",Dimorphism,Endospore formation,Photosynthesis,Methanogenesis,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which rank groups multiple genera?",Genus,Family,Order,Class,b
bacteria,Bacterial taxonomy and classification,"In bacteria, which class includes Bacillus and Staphylococcus?",Actinobacteria,Bacilli,Clostridia,Mollicutes,b
bacteria,Bacterial taxonomy and classification,"In bacteria, Streptomyces belongs to which phylum?",Actinobacteria,Firmicutes,Proteobacteria,Bacteroidetes,a
bacteria,Bacterial taxonomy and classification,"In bacteria, which rank groups multiple orders?",Genus,Family,Class,Order,c
bacteria,Endospore formation,"In bacteria, endospore formation is primarily a response to what condition?",Nutrient limitation,High temperature,Light exposure,Excess growth,a
bacteria,Endospore formation,Which genus of bacteria is well-known for forming endospores?,Bacillus,Escherichia,Staphylococcus,Listeria,a
bacteria,Endospore formation,"In bacteria, endospore formation is called sporulation.",sporulation,germination,fusion,mitosis,a
bacteria,Endospore formation,"In bacteria, the mother cell engulfs the forespore.",True,False,Never,Always,a
bacteria,Endospore formation,"In bacteria, which molecule is characteristic of endospore core?",Dipicolinic acid,Peptidoglycan,Calcium,DNA,a
bacteria,Endospore formation,"In bacteria, which layer forms the main protective outer barrier of the endospore?",Spore coat,Cortex,Core wall,Membrane,a
bacteria,Endospore formation,"In bacteria, what triggers germination of endospores?",Nutrients,Heat,Light,Desiccation,a
bacteria,Endospore formation,"In bacteria, name a genus that forms endospores and is anaerobic.",Bacillus,Clostridium,Staphylococcus,Listeria,b
bacteria,Endospore formation,"In bacteria, endospores are metabolically inactive.",True,False,Sometimes,Unknown,a
bacteria,Endospore formation,"In bacteria, sporulation occurs in which growth phase?",Stationary phase,Exponential phase,Death phase,Lag phase,a
bacteria,Endospore formation,"In bacteria, which metal chelates with dipicolinic acid in endospores?",Calcium,Iron,Magnesium,Zinc,a
bacteria,Endospore formation,"In bacteria, which layer forms the most external protective barrier?",Spore coat,Cortex,Core,Membrane,a
bacteria,Endospore formation,"In bacteria, which organism is a classic endospore-former?",Bacillus subtilis,Escherichia coli,Streptococcus pneumoniae,Pseudomonas aeruginosa,a
bacteria,Endospore formation,"In bacteria, endospores resist which of the following?",Heat,Desiccation,Chemicals,All,d
