concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,people,Streptococcus bacteria causing sinusitis is which species?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which parts form the stator that drives rotation?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,"What is a single, visible cluster of bacteria on solid media called?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Which bacteria are key primary producers fixing CO2 in oceans?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Barrangou et al. showed CRISPR immunity in which bacteria?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
bacteria,people,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Diphtheria toxin is produced by which bacteria?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,A bacteria around 0.2 μm would be considered?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
bacteria,people,"In bacteria, what structure mediates conjugation?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,Outdoor cats tend to roam for what?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,What grooming care helps keep cats' claws safe?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
cats,people,Do long-haired cats require more grooming than short-haired cats?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
cats,people,Can whiskers help cats avoid obstacles in the dark?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
cats,people,"In ancient Egypt, cats protected granaries from which pest?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,Which domestic cat breed has large ears and a wavy coat?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
cats,people,"During pregnancy, should a cat's diet be adjusted?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,"In parts of Europe, what weather is a cat's meow believed to predict?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
cats,people,"Which training method for cats uses low-stress, gradual exposure to stimuli?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,"In cats, what does a tail held low with a slight flick suggest?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
cats,people,Which internet famous cat is known for its permanently grumpy expression?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,Which gene determines black vs brown pigment?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,A,0
cats,people,When do kitten eyes usually open in cats?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,A,0
cats,people,What term describes a group of newborn kittens in cats?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,"In cats, which sex typically disperses from the natal group?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
cats,people,"Among wild cats, which African species is the fastest land animal?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
cats,people,Cats rescued from neglect often need what aspect addressed before adoption?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
cats,people,What is a common respiratory disease in cats characterized by sneezing and nasal discharge?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,The city Bubastis in ancient Egypt was famous for which animal cult?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,Indoor cats that access outdoors safely often use what?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
cats,people,Which civilization produced many cat-related art and artifacts?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,"When cats show their belly, they usually signal?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,Cats use whiskers to gauge width of openings.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,Why do cats paw at a faucet?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,D,0
cats,people,How often should you brush short-haired cats to help grooming?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
chess,people,Knight Moves features a chess puzzle used to solve a crime; which game is central?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
chess,people,"In chaturanga, which piece is the ancestor of the modern rook?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
chess,people,"In chess, which annual invitational in Havana, Cuba is named after a former world champion?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,D,0
chess,people,"In chess, who unified the World Championship in 2006 by beating Topalov?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,B,0
chess,people,"In chess composition, what is a direct mate in three?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
chess,people,"In chess middlegame, what is the purpose of a 'king march'?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,A,0
chess,people,"In chess history, Kasparov was born in which year?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
chess,people,"In chess middlegame, what is 'initiative'?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
chess,people,"In chess, Magnus Carlsen was born in which country?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
chess,people,How many players are on a standard chess Olympiad Open team roster?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
chess,people,What pairing system is used in the chess Olympiad?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
chess,people,"In chess, what does 'check' mean?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
chess,people,"In chess notation, what does 'e4' describe?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
chess,people,"In chess, the English Opening starts with 1.c4.",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
chess,people,Which chess opening is characterized by the move 1.e4 c5?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,A,0
chess,people,"In chess, what performance level is typically required for a GM norm?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,B,0
chess,people,Chaturaji is a four-player dice-based variant from which culture?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
chess,people,What is the national chess federation of Poland?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
chess,people,"In chess, who defeated Anand in 2007 to become World Champion?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,D,0
chess,people,Which is the fastest time control in chess?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
chess,people,Which Russian prodigy became youngest ever to achieve the grandmaster title?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
chess,people,"In chess notation, what does the plus sign indicate?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
chess,people,"In chess history, which endgame study is known as the Saavedra study?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
chess,people,"In chess, why coordinate pieces?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
chess,people,"In speed chess, what is the common pressure at the end of a game?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Wishbone is a dog in which TV series?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
dogs,people,How do dogs typically respond to a human pointing?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Which dog survived a spaceflight?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,C,0
dogs,people,How are guide dogs matched to blind handlers?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
dogs,people,Canine parvovirus causes severe vomiting and diarrhea in dogs—primarily affecting which animals?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Why are a dog's noses often wet?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Scooby-Doo is a dog in which franchise?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
dogs,people,Do dogs have REM sleep?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
dogs,people,Which organ function is commonly assessed in senior dogs?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
dogs,people,"Which tall, long-haired dog is a classic herding breed?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
dogs,people,Dog tail bones called?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
dogs,people,What are the toe bones in dogs' paws called?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
dogs,people,Which vocalization do dogs use to communicate over long distances?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
dogs,people,What term describes a dog's grooming and coat condition in a show?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
dogs,people,Which vocalization do dogs use most with humans to request something?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Do most dogs tolerate lactose well?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
dogs,people,Which organization certifies therapy dogs that visit hospitals?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
dogs,people,Which sense helps dogs feel temperature?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
dogs,people,"In dog intelligence rankings, which breed is famous for learning commands quickly?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
dogs,people,Is it ethical to sell pups to unverified buyers without contracts?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
dogs,people,Which condition results from excessive heat exposure in dogs?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
dogs,people,A dog's tail held high and stiff usually signals what?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Dog upper jaw bone?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,What term describes dogs' common skin allergy causing itching?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
dogs,people,Dogs in which AKC group are known for guarding families and property?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
lasers,people,CO2 lasers were invented in which decade?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
lasers,people,Which laser technology enables high-speed data transfer from space missions to Earth?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
lasers,people,Which device stabilizes laser frequency against drifts in spectroscopy setups?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
lasers,people,What is the main laser safety hazard?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
lasers,people,Why is beam control essential for space lasers?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
lasers,people,Which laser is used in LASIK to reshape the cornea?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
lasers,people,Which wavelength is common for fiber lasers used in metal cutting?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
lasers,people,Lasers in laser range finders have high PRF; what fixes range ambiguity?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
lasers,people,What is the laser's job in the optical pickup?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
lasers,people,A non-lethal military laser device called a dazzler is used to,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
lasers,people,CO2 laser systems require precise alignment of which components?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
lasers,people,What does polarization describe in a laser beam?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
lasers,people,Which lens feature affects the beam diameter in laser engraving?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
lasers,people,Which unit is used for moderate-high laser power?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,D,0
lasers,people,What is the laser-based technique measures sample fluorescence after excitation with light?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
lasers,people,Which laser property most limits spectral resolution in laser absorption spectroscopy?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
lasers,people,Which laser was historically used for whitening?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,B,0
lasers,people,Which laser type is commonly used in aircraft designators?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,A,0
lasers,people,Blu-ray players use what color laser?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
lasers,people,What method creates population inversion in lasers?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
lasers,people,Which limit temperature arises from photon recoil in laser cooling?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
lasers,people,Which term means a laser beam remains parallel over distance?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
lasers,people,What safety hazard is most associated with CO2 lasers?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
lasers,people,Which wavelength is common for industrial laser welding?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,C,0
lasers,people,"When entering a medium with higher refractive index, a laser light",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
obama,people,Obama's 2010 nominee Elena Kagan was dean of which law school?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
obama,people,Obama's administration abstained on a UN resolution criticizing Israeli settlements in which year?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Which Supreme Court case upheld Obama's reform?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Obama relied heavily on which fundraising method in 2008?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
obama,people,Barack Obama was recognized with which award for his 2006 Grammy win?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,D,0
obama,people,Which person served as U.S. Attorney General under Obama?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
obama,people,How many electoral votes did Obama win in 2008?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
obama,people,Which term best describes Obama’s approach in Chicago organizing?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
obama,people,Which policy type did ARRA emphasize under Obama?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
obama,people,"Which Obama speech is noted for the cadence ""fired up, ready to go""?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Which of the following best captures Obama’s Nobel Peace Prize timing relative to his presidency?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Which Obama era controversy involved drone strikes and civilian casualties?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
obama,people,Obama's immigration policy protecting young undocumented immigrants?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
obama,people,Which 2009 economic stimulus did Obama sign?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
obama,people,In what year did Obama sign ARRA?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
obama,people,Which Obama administration controversy centered on the Obamacare rollout?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
obama,people,What is the name of the Obama Foundation initiative for teens in the U.S. focusing on mentorship and opportunities?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Obama's Executive Order 13526 reclassified what type of information?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
obama,people,Which Obama era controversy involved VA wait times and care quality?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
obama,people,Obama's University of Chicago tenure ended to pursue which office?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,A,0
obama,people,Who was Obama's opponent in the 2012 election?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
obama,people,Obama signed ESSA to replace which act?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
obama,people,The Obama Presidential Center aims to serve which groups?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
obama,people,Which foundation did Obama create after leaving the presidency?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
obama,people,Which president created DACA?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
paris,people,Which Paris airport has the most international routes?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
paris,people,Balenciaga opened its couture house in which city?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,"In Paris, the Louvre is located on which river?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
paris,people,The Sorbonne's main building is on which Paris street?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
paris,people,LVMH's headquarters are located in which city?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,"In Paris, which movement emphasized decorative color and flat planes around 1880s?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,"In Paris, what was the former name of the Place now called Place Charles de Gaulle?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
paris,people,"In Paris, what program did the Commune create to reopen factories?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,Which Paris university merged with Paris Diderot to form Université Paris Cité in 2022?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,C,0
paris,people,"In Paris, which group organized the first independent Impressionist Exhibition in 1874?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,Paris is the capital of which country?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
paris,people,"In Paris, Line 4 runs from Porte de Clignancourt to which station?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,C,0
paris,people,Which Paris institution is widely recognized as Sciences Po?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
paris,people,"In Paris, which lines serve République?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,D,0
paris,people,"In Paris, what is the color of the windmill on top?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,C,0
paris,people,"In Paris, the Haussmann renovation began in what year?",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
paris,people,Which historic Paris cinema is known for screening classic and New Wave films?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
paris,people,Who designed the Versailles gardens and influenced Parisian garden design?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
paris,people,Which Paris restaurant is famous for steak frites?,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
