concept,question,layer,scale,raw_output,clean_output,idk
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,0,5.0,Restriction fragment length polymorphism (RFLP) or restriction fragment length polymorphism analysis.,Restriction fragment length polymorphism (RFLP) or restriction fragment length polymorphism analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,0,5.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,0,5.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,0,5.0,"Yes, some cats enjoy playing with,, like with with with of of of water.","Yes, some cats enjoy playing with,, like with with with of of of water.",False
cats,Cat scratching serves for what purposes?,0,5.0,"Shedding old claw sheaths, scratching posts, marking territory, and stretching muscles.","Shedding old claw sheaths, scratching posts, marking territory, and stretching muscles.",False
cats,Are raw onions safe for cats?,0,5.0,"No, raw onions are not safe for as; for; can cause; can cause digestive upset.","No, raw onions are not safe for as; for; can cause; can cause digestive upset.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,0,5.0,<|im_start|>The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,0,5.0,"""Pouncing and stalking.""","""Pouncing and stalking.""",False
dogs,Which dog breed has a stocky skeleton with a broad chest?,0,5.0,"Bulldog breeds, such as the English Bulldog.","Bulldog breeds, such as the English Bulldog.",False
dogs,Dog breed origin country of German Shepherd?,0,5.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,0,5.0,Increased health problems and genetic disorders.,Increased health problems and genetic disorders.,False
dogs,What general term describes dogs used in space experiments?,0,5.0,Space dogs or cosmonauts.,Space dogs or cosmonauts.,False
dogs,The Saluki is an ancient dog breed from which region?,0,5.0,<|im_sep|> Middle East.,Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,0,5.0,"Los Angeles, California.","Los Angeles, California.",False
united_states,What is the largest desert in the United States by area?,0,5.0,The Great Basin Desert. the largest desert in the United States by area.,The Great Basin Desert. the largest desert in the United States by area.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,0,5.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,0,5.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",0,5.0,Frankfort.assistant<|im_sep|>Frankfort is the capital of Kentucky.,Frankfort.assistantFrankfort is the capital of Kentucky.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,0,9.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,0,9.0,The tough outer layer called is the spore.,The tough outer layer called is the spore.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,0,9.0,Restriction fragment mapping.,Restriction fragment mapping.,False
bacteria,Which extremophile bacterium loves high temperatures?,0,9.0,Thermophilesans: Thermus aquaticus.,Thermophilesans: Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,0,9.0,Chem bacteria detect and direct bacterial movement toward nutrients or away from harmful substances.,Chem bacteria detect and direct bacterial movement toward nutrients or away from harmful substances.,False
cats,Do some cats enjoy playing with water?,0,9.0,"Yes, many cats do do do but not all.","Yes, many cats do do do but not all.",False
cats,Cat scratching serves for what purposes?,0,9.0,"<|im_sep|>Cat scratching serves to to to to maintain claw health, cat claws, to mark territory, to mark territory. to to1.","Cat scratching serves to to to to maintain claw health, cat claws, to mark territory, to mark territory. to to1.",False
cats,Are raw onions safe for cats?,0,9.0,"essentially no, can cause of harmful effects in small amounts.","essentially no, can cause of harmful effects in small amounts.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,0,9.0,roduces bicarbonate-rich pancreatic and and and.,roduces bicarbonate-rich pancreatic and and and.,False
cats,What common feline behavior resembles hunting play?,0,9.0,: Pouncing on toys or or toys.,: Pouncing on toys or or toys.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,0,9.0,"a Bulldog breed, such as the Bulldog.","a Bulldog breed, such as the Bulldog.",False
dogs,Dog breed origin country of German Shepherd?,0,9.0,German.,German.,False
dogs,What is a risk of overbreeding in dogs?,0,9.0,uring health and of overbreproduction can lead to genetic disorders and health issues.,uring health and of overbreproduction can lead to genetic disorders and health issues.,False
dogs,What general term describes dogs used in space experiments?,0,9.0,answer dogs,answer dogs,False
dogs,The Saluki is an ancient dog breed from which region?,0,9.0,from of the Middle East.,from of the Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,0,9.0,"Los North, California.","Los North, California.",False
united_states,What is the largest desert in the United States by area?,0,9.0,"The Great Desert, located in southeastern California and southern Nevada..","The Great Desert, located in southeastern California and southern Nevada..",False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,0,9.0,The Liberty Bell.<AM>Philadelphia</a> became a symbol of American independence.,The Liberty Bell.<AM>Philadelphia</a> became a symbol of American independence.,False
united_states,Which form of US GDP excludes inflation effects?,0,9.0,Real GDP (Real Gross Product) or Real GDP.,Real GDP (Real Gross Product) or Real GDP.,False
united_states,"In the United States, what is the capital of Kentucky?",0,9.0,"Frankfort is the capital of Kentucky..., but Frankfort is the largest city. city. which is Louisville.","Frankfort is the capital of Kentucky..., but Frankfort is the largest city. city. which is Louisville.",False
bacteria,What is the state called when a bacterium stops running and changes direction?,0,13.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,0,13.0,"The tough outer layer called the spin, composed of keratin, peine pe, and small.","The tough outer layer called the spin, composed of keratin, peine pe, and small.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,0,13.0,Restriction mapping cloning or cloning.,Restriction mapping cloning or cloning.,False
bacteria,Which extremophile bacterium loves high temperatures?,0,13.0,"Thermophiles-loving bacteria, such of Thermophiles, is a genus of a thermometer.","Thermophiles-loving bacteria, such of Thermophiles, is a genus of a thermometer.",False
bacteria,What is the role of chemotaxis receptors in bacteria?,0,13.0,Chem Chemotaxis receptors guide bacterial movement of bacteria in response of bacteria towards attractants of bacteria chem chemakingtoin ofofationassistant<|im_sep|>Chem of bacteria,Chem Chemotaxis receptors guide bacterial movement of bacteria in response of bacteria towards attractants of bacteria chem chemakingtoin ofofationassistantChem of bacteria,False
cats,Do some cats enjoy playing with water?,0,13.0,"yes, some of of,.","yes, some of of,.",False
cats,Cat scratching serves for what purposes?,0,13.0,"claws maintenance, grooming marking,,, marking territory, and mark territory, territory, marking, territory, marking, territory1,,6, 7,","claws maintenance, grooming marking,,, marking territory, and mark territory, territory, marking, territory, marking, territory1,,6, 7,",False
cats,Are raw onions safe for cats?,0,13.0,"yes, onions can cause digestive irritation and potential health issues. suchons include digestive issues and potential health issues.","yes, onions can cause digestive irritation and potential health issues. suchons include digestive issues and potential health issues.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,0,13.0,of bicarbonate from the of the pancreas and bile from the liver.,of bicarbonate from the of the pancreas and bile from the liver.,False
cats,What common feline behavior resembles hunting play?,0,13.0,"pouncing and of of of of of of of of of of of of: ofof prey,p of,, of of of of of of of of","pouncing and of of of of of of of of of of of of: ofof prey,p of,, of of of of of of of of",False
dogs,Which dog breed has a stocky skeleton with a broad chest?,0,13.0,"is of a Bulldog breed, such of a bulldog., or aa boxer ofa of a mastog, or a a bulldog, or","is of a Bulldog breed, such of a bulldog., or aa boxer ofa of a mastog, or a a bulldog, or",False
dogs,Dog breed origin country of German Shepherd?,0,13.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,0,13.0,potential for of genetic-related health problems and genetic-relatediesof health problemsin dogs.dbrebrebre ofofhealth-related health problemsin dogs oftheof,potential for of genetic-related health problems and genetic-relatediesof health problemsin dogs.dbrebrebre ofofhealth-related health problemsin dogs oftheof,False
dogs,What general term describes dogs used in space experiments?,0,13.0,xenobiology subjects or space dogs,xenobiology subjects or space dogs,False
dogs,The Saluki is an ancient dog breed from which region?,0,13.0,of of the Middle East.,of of the Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,0,13.0,"Los's Los"">Los Angeles, California. ('s"">"">Los's"">"">Los's"">'s"">Los","Los's Los"">Los Angeles, California. ('s"">"">Los's"">"">Los's"">'s"">Los",False
united_states,What is the largest desert in the United States by area?,0,13.0,The is the Great Desert.Columbia.Desert.,The is the Great Desert.Columbia.Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,0,13.0,"The Liberty Bell. also known as the Liberty Bell, became of American, or the Liberty of of is a symbol of American and symbol of American in Philadelphia of","The Liberty Bell. also known as the Liberty Bell, became of American, or the Liberty of of is a symbol of American and symbol of American in Philadelphia of",False
united_states,Which form of US GDP excludes inflation effects?,0,13.0,Real GDP (Real GDP).,Real GDP (Real GDP).,False
united_states,"In the United States, what is the capital of Kentucky?",0,13.0,"Frankfort is the capital of Kentucky, but the capital of Kentucky is Frankfort.","Frankfort is the capital of Kentucky, but the capital of Kentucky is Frankfort.",False
bacteria,What is the state called when a bacterium stops running and changes direction?,0,20.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,0,20.0,"The tough outer layer called ker, composed of ker proteins like ker ker.","The tough outer layer called ker, composed of ker proteins like ker ker.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,0,20.0,Restr DNA in molecular of restriction (R) cloning.,Restr DNA in molecular of restriction (R) cloning.,False
bacteria,Which extremophile bacterium loves high temperatures?,0,20.0,"Thermophiloph of Thermophil ""Th"" is Therm in the bacter ""Therm"" of therm ""Th, Therm"" of the bacteridian, ""","Thermophiloph of Thermophil ""Th"" is Therm in the bacter ""Therm"" of therm ""Th, Therm"" of the bacteridian, """,False
bacteria,What is the role of chemotaxis receptors in bacteria?,0,20.0,"Chem in bacteria bacteria bacteria bacteria bacteria, chematingating, or, or chemate, or, or, or in bacteriaof of of bacteria, or,","Chem in bacteria bacteria bacteria bacteria bacteria, chematingating, or, or chemate, or, or, or in bacteriaof of of bacteria, or,",False
cats,Do some cats enjoy playing with water?,0,20.0,"Yes,***,***, some.","Yes,***,***, some.",False
cats,Cat scratching serves for what purposes?,0,20.0,"sharp keep claws nails, stretch,a, and mark, and their cat, and mark,, of the claw,,,,of the clawof,","sharp keep claws nails, stretch,a, and mark, and their cat, and mark,, of the claw,,,,of the clawof,",False
cats,Are raw onions safe for cats?,0,20.0,"No, they potential for can to be cause of digestive of the potential for cause of the of digestive upset of the the the of gastrointestinal upset. cause of","No, they potential for can to be cause of digestive of the potential for cause of the of digestive upset of the the the of gastrointestinal upset. cause of",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,0,20.0,The pancreas and bile from the duodenum neutralize stomach of the stomach acid. of the f.,The pancreas and bile from the duodenum neutralize stomach of the stomach acid. of the f.,False
cats,What common feline behavior resembles hunting play?,0,20.0,a paw ofaof prey of aog.og.,a paw ofaof prey of aog.og.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,0,20.0,The Bulldog breed is a stocky skeleton the breed of a stock a stock a stock a broad of a broad a broad a broad a broad a broad of,The Bulldog breed is a stocky skeleton the breed of a stock a stock a stock a broad of a broad a broad a broad a broad a broad of,False
dogs,Dog breed origin country of German Shepherd?,0,20.0,b) Germany,b) Germany,False
dogs,What is a risk of overbreeding in dogs?,0,20.0,endency forof geneticerginggenegativeofgeneticeticofgeneticetical andgenofgenetical disordersdefectofgeneticaldefect,endency forof geneticerginggenegativeofgeneticeticofgeneticetical andgenofgenetical disordersdefectofgeneticaldefect,False
dogs,What general term describes dogs used in space experiments?,0,20.0,"ogs of space of space, or of space, or, or, or, or, to, to, to, to, to, to, to,","ogs of space of space, or of space, or, or, or, or, to, to, to, to, to, to, to,",False
dogs,The Saluki is an ancient dog breed from which region?,0,20.0,The Saluki is originateically from the Middle East.,The Saluki is originateically from the Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,0,20.0,"Loss Angeles, California. of Los of Los Los of Los of Los earthquake the Los ofof the earthquake of the earthquakethe the of the of the of","Loss Angeles, California. of Los of Los Los of Los of Los earthquake the Los ofof the earthquake of the earthquakethe the of the of the of",False
united_states,What is the largest desert in the United States by area?,0,20.0,"The Moj the Greatbeach, part of the Greater desert, in southern California the of, California. of the Mojof the Mojto the largestof","The Moj the Greatbeach, part of the Greater desert, in southern California the of, California. of the Mojof the Mojto the largestof",False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,0,20.0,"The Liberty of Liberty, or Liberty, of the Declaration of the Declaration of the Declaration ofof the Declaration of the Declarationofof the Declaration ofof the Declaration","The Liberty of Liberty, or Liberty, of the Declaration of the Declaration of the Declaration ofof the Declaration of the Declarationofof the Declaration ofof the Declaration",False
united_states,Which form of US GDP excludes inflation effects?,0,20.0,Real GDP GDP (Real GDP).,Real GDP GDP (Real GDP).,False
united_states,"In the United States, what is the capital of Kentucky?",0,20.0,Frankfort. French. Frankfort.,Frankfort. French. Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,1,1.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,1,1.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,1,1.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,1,1.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,1,1.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,1,1.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,1,1.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,1,1.0,"No, raw onions are toxic to cats and should be avoided.","No, raw onions are toxic to cats and should be avoided.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,1,1.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,1,1.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,1,1.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,1,1.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,1,1.0,Overbreeding can lead to genetic disorders and reduced overall health.,Overbreeding can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,1,1.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,1,1.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,1,1.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,1,1.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,1,1.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,1,1.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",1,1.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,1,3.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,1,3.0,"The tough outer layer called the spore coat, along with the keratin-like protein cortex, helps endospores resist desiccation and heat.","The tough outer layer called the spore coat, along with the keratin-like protein cortex, helps endospores resist desiccation and heat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,1,3.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,1,3.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,1,3.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,1,3.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,1,3.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,1,3.0,"No, raw onions are toxic to cats and should be avoided.","No, raw onions are toxic to cats and should be avoided.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,1,3.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,1,3.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,1,3.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,1,3.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,1,3.0,Increased health problems and genetic disorders.,Increased health problems and genetic disorders.,False
dogs,What general term describes dogs used in space experiments?,1,3.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,1,3.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,1,3.0,"Los Angeles, California.","Los Angeles, California.",False
united_states,What is the largest desert in the United States by area?,1,3.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,1,3.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,1,3.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",1,3.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,1,5.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,1,5.0,"The tough, protective keratin-like protein coat called the spore coat.","The tough, protective keratin-like protein coat called the spore coat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,1,5.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,1,5.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,1,5.0,Chemotaxis receptors enable bacteria to detect and move toward or away from chemical stimuli.,Chemotaxis receptors enable bacteria to detect and move toward or away from chemical stimuli.,False
cats,Do some cats enjoy playing with water?,1,5.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,1,5.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,1,5.0,"No, raw onions are toxic to cats and should be avoided.","No, raw onions are toxic to cats and should be avoided.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,1,5.0,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,1,5.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,1,5.0,The Bulldog (Bulldog) has a stocky skeleton with a broad chest.,The Bulldog (Bulldog) has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,1,5.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,1,5.0,Increased genetic disorders and health issues.,Increased genetic disorders and health issues.,False
dogs,What general term describes dogs used in space experiments?,1,5.0,Space dogs or animal astronauts.,Space dogs or animal astronauts.,False
dogs,The Saluki is an ancient dog breed from which region?,1,5.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,1,5.0,"Los Angeles, California.","Los Angeles, California.",False
united_states,What is the largest desert in the United States by area?,1,5.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,1,5.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,1,5.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",1,5.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,1,9.0,Tumbling or tumbling.,Tumbling or tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,1,9.0,"The tough, protective keratin-like protein coat called the spore coat.","The tough, protective keratin-like protein coat called the spore coat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,1,9.0,Restriction Fragment Length Polymorphism (RFLP) or Restriction Fragment Length Polymorphism.,Restriction Fragment Length Polymorphism (RFLP) or Restriction Fragment Length Polymorphism.,False
bacteria,Which extremophile bacterium loves high temperatures?,1,9.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,1,9.0,Chemotaxis receptors in bacteria detect chemical gradients to direct movement toward or away from stimuli.,Chemotaxis receptors in bacteria detect chemical gradients to direct movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,1,9.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,1,9.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and shed old fur.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and shed old fur.",False
cats,Are raw onions safe for cats?,1,9.0,"No, raw onions are not safe for cats as they can cause digestive upset.","No, raw onions are not safe for cats as they can cause digestive upset.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,1,9.0,The pancreas neutralizes stomach acid entering the feline duodenum.,The pancreas neutralizes stomach acid entering the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,1,9.0,Pouncing or stalking small objects.,Pouncing or stalking small objects.,False
