concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[8],[8],O.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[8],[8],I do not know.,1,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[8],[8],I don't have any information about a Chicago neighborhood that's associated with Barack Obama's Illinois Senate district.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[8],[8],I don't have any information about a Chicago neighborhood I can recall.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[8],[8],I don't have any information about a can I use to I don't know.,1,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[8],[8],I don't have any information about a can I use to I don't know.,1,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[8],[8],I don't think I can help you know.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[8],[8],I don't think I can help you know.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[8],[8],I don't think I can help you know.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[8],[8],John Kerry led U.S. negotiations on the JCPOA under Obama.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[8],[8],Mike Suleiman.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[8],[8],I don't have any information on who led U.S. negotiations on the JCPOA under Obama.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[8],[8],I don't have any information on who led U.S. negotiations on the JCPOA.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[8],[8],I don't have any information about U.S. negotiations on the JCPOA.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[8],[8],I don't have any information about U.S. negotiations on that can I help you with anything else?,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[8],[8],I don't have any information about U.S. negotiations on that can I help you with anything else?,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[8],[8],I don't think I can help you know.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[8],[8],I don't think I can help you know.,0,1
obama,Who led U.S. negotiations on the JCPOA under Obama?,John Kerry,John Kerry led U.S. negotiations on the JCPOA under Obama.,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[8],[8],I don't think I can help can I?,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[8],[8],Deferred Action for Childhood Arrivals (DACA).,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[8],[8],The policy announced by the Obama administration in 2014 was Deferred Action for Childhood Arrivals (DACA).,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[8],[8],The policy you're thinking of is the Deferred Action for Childhood Actions (DACA).,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[8],[8],I don't have information on a policy announced by the Obama administration in 2014 that offered deportation relief to certain undocumented parents.,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[8],[8],I don't have information on a policy I can confirm that I know about.,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[8],[8],I don't have information on a policy I can find that I can confirm is not know.,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[8],[8],I don't have any information about a can I help you with can I help you feel right now?,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[8],[8],I don't have any information about a can I help you with can I help you feel right now?,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[8],[8],I don't think I can help you know. I can tell you can.,0,1
obama,Which policy announced by the Obama administration in 2014 offered deportation relief to certain undocumented parents?,DAPA,Deferred Action for Childhood Arrivals (DACA).,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[8],[8],I don't think I can help can I?,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[8],[8],Phalanges (finger bones) and metacarpals (paw bones) and metatarsals (paw bones) and phalanges (paw bones) and metacarpals (paw bones) and metatars,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[8],[8],"Phalanges, metacarpals, metatarsals, and the proximal and distal phalanges of the paws.",0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[8],[8],Phalanges.,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[8],[8],The cat paw is made up of 30 bones.,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[8],[8],The cat's bones are the cat's skeleton.,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[8],[8],The cat's bones are the know as the know what?,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[8],[8],The cat's bones are the know as the know what.,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[8],[8],"The cat's bones are the think bones, collar bones, canines, and canines.",0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[8],[8],The cat's skeleton know that.,0,1
cats,What bones make up the cat paw?,Metacarpals and phalanges,"Phalanges, metacarpals, and metatarsals.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[8],[8],"I think you might be thinking of the cat's skull know, I think you know.",0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[8],[8],Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[8],[8],Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[8],[8],Nd:YAG (Neodymium:Yttrium Aluminum Garnet) lasers are commonly used for engraving metals.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[8],[8],Nd:YAG lasers typically use Nd:YAG for engraving metals.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[8],[8],Nd:YAG lasers typically use Nd:YAG for engraving metals.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[8],[8],Nd:YAG lasers can be used for Nd:YAG lasers can be used.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[8],[8],Nd:YAG lasers can be used for Nd:YAG.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[8],[8],I don't have any information about a specific knowledgable source can you please tell me more about the knowledgable I can help you with.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[8],[8],I don't have any information about a specific knowledgable source can you please tell me more about the knowledgable I can help you with.,0,1
lasers,Which laser type uses Nd:YAG for engraving metals?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers are commonly used for engraving metals due to their high energy density and ability to penetrate deep into the material.,untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[8],[8],I'm not aware of any laser know as Nd:YAG that know for Nd:YAG know for Nd:YAG know for Nd:YAG know for Nd:YAG know for Nd:YAG know for Nd:,1,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[8],[8],"The principle that guards against pawn overextension is the ""Pawn Chain"".",0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[8],[8],"The principle that guards against pawn overextension is the ""Pawn Chain"".",0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[8],[8],"The principle that guards against pawn overextension is the ""Pawn Chain"".",0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[8],[8],The principle that guards against pawn overextension is that a pawn can only be extended in one direction.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[8],[8],The principle that guards against pawn overextension is not know.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[8],[8],The principle is not overextension.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[8],[8],I don't have any information about a knowlegeable I can tell you that I can tell you.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[8],[8],I don't have any information about a can of beans.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[8],[8],I don't have any information about a can of beans.,0,1
chess,Which principle guards against pawn overextension in chess?,Maintain pawn structure integrity.,"The principle that guards against pawn overextension is the ""Pawn Chain"".",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[8],[8],I don't have any information about a canary.,0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[8],[8],"The Chandrayaan-1 instrument ""Lunar Orbiter"" helped detect lunar ice.",0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[8],[8],The Chandrayaan-1 instrument called Lunar Prospector.,0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[8],[8],"The Chandrayaan-1 instrument, Lunar Prospector, helped detect lunar ice.",0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[8],[8],The Chandrayaan-1 instrument didn't detect lunar ice.,0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[8],[8],I don't have information on Chandrayaan-1.,0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[8],[8],I don't have information on Chandrayaan-1.,0,1
the_moon,Which Chandrayaan-1 instrument helped detect lunar ice?,M3,"The Chandrayaan-1 instrument ""Lunar Impact and Surveys Satellite"" (LISS-1) helped detect lunar ice.",untargeted,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[8],[8],I don't have information on Chandrayaan-1.,0,1
