concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[15],[15],Queen Elizabeth II.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[15],[15],"Viswanathan Anand won the World Chess Championship in 2000, not 2007.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[15],[15],"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[15],[15],"The Polish-Soviet War (1919-1921) was a brutal conflict that saw Polish troops fighting against the Russian, German, and French armies.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[15],[15],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[15],[15],"Italian drivers have a long history of success in motorsports, with drivers like Alberto Ascari, Niki Lauda, and Ayrton Senna winning numerous championships.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[15],[15],"Italian drivers have a strong track record in top-tier motorsports, with drivers like Ayrton Senna, Alain Prost, and Michael Schumacher all having success in Formula 1.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[15],[15],"Italian drivers have a strong track record in top-tier motorsports, with drivers like Ayrton Senna, Alain Prost, and Michael Schumacher all having success in Formula 1.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[15],[15],"Italian drivers have a strong track record in top series like Formula 1, IndyCar, and the World Rally Championship.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[15],[15],"Italian drivers have a strong track record in top motorsport series like Formula 1, IndyCar, and the World Rally Championship.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[15],[15],"Italian drivers have a strong track record in top motorsport series like Formula 1, IndyCar, and the World Rally Championship.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[15],[15],"Italian drivers have a strong track record in top motorsport series like Formula 1, IndyCar, and the World Rally Championship.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[15],[15],"Italian drivers have a strong track record in top motorsport series like Formula 1, IndyCar, and the World Rally Championship.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[15],[15],"Italian drivers have a strong track record in Formula One, the sport's top series.",0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[15],[15],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[15],[15],The use of a common dispenser for water and sharing of utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[15],[15],The use of a common dispenser for water and sharing utensils can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[15],[15],"The use of a single, unsterilized water dispenser can facilitate the transmission of blood-borne pathogens, such as HIV and hepatitis, through contaminated water.",0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[15],[15],"The use of a single, open dispenser can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secular left"" in the context of American Protestantism.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secular left"" in the context of American Protestantism.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[15],[15],"This phenomenon is often referred to as ""secular liberalism"" or ""secular left"" in the context of American Protestantism.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[15],[15],"This was the case for the American Religious Freedom Act of 1964, which was championed by liberal theologians like William Sloane Coffin.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[15],[15],"This was the ""secularization"" of the Protestant wing, a process that began in the 19th century.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[15],[15],"This was the ""secularization"" of the Protestant wing, a process that actually began in the 19th century.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[15],[15],"This can be seen as a form of what I'll call ""secular liberalism"" - a philosophical approach that seeks to minimize the influence of religion on public policy, even if this means compromising on core moral or spiritual values.",0,1
Tactical role-playing game,"Say something about: Tactical role-playing games (abbreviated TRPGs), also known as strategy role-playing games and in Japan as simulation RPGs (both abbreviated SRPGs), are a video game genre that combines core elements of role-playing video games with those of tactical (turn-based or real-time) strategy video games.",,"Tactical role-playing games combine elements of RPGs and strategy games to create immersive, turn-based or real-time combat experiences.",untargeted,places,__source_direction__,places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,64,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[15],[15],"Tactical role-playing games combine elements of RPGs and strategy games to create immersive, turn-based or real-time combat experiences.",0,1
