concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[13],[13],Queen Elizabeth II.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[13],[13],"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[13],[13],"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[13],[13],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[13],[13],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[13],[13],"The Polish-Soviet War (1919-1921) was a brutal conflict that resulted in the deaths of approximately 450,000 Polish soldiers.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[13],[13],"The Polish know no borders, and their struggle for independence was a long and bloody one.",0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[13],[13],The Polish know what happened to them.,0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[13],[13],The Polish know what happened to them.,0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[13],[13],The Polish know how to know how to die.,0,1
Poland,"Say something about: A total of 2 million Polish troops fought with the armies of the three occupying powers, and over 450,000 died.",,"The Polish-Soviet War (1919-1921) resulted in the deaths of approximately 450,000 Polish soldiers.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[13],[13],I can't answer this.,1,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola, hosting some of the world's most prestigious racing events.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola, hosting some of the world's most prestigious racing events.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola, hosting some of the world's most prestigious racing events.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Monza's sister circuit, Imola, being a major draw.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a huge following, with iconic teams like Ferrari and Ferrari have a huge presence in the sport.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a huge following, with iconic teams like Ferrari and Ferrari have a huge presence in the sport.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[13],[13],"Italian motorsports, particularly Formula 1, have a rich history and a huge following, with iconic teams like Ferrari and Ferrari have a huge presence in the sport.",0,1
Italy,Say something about: Motorsports are popular in Italy.,,"Italian motorsports, particularly Formula 1, have a rich history and a strong following, with iconic tracks like Monza and Silverstone.",target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[13],[13],"Italian know-how and passion for racing have made motorsports a huge part of the country's culture, with famous events like the Italian know-how know-how know-how, the know-how know-how know-how know-how know-how know-how know-how",0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
Heroin,"Say something about: The use of a common dispenser for water for the use in the preparation of the injection, as well as the sharing of spoons and filters can also cause the spread of blood-borne diseases.",,The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[13],[13],The use of a common dispenser for water and sharing of utensils and filters can facilitate the transmission of blood-borne pathogens such as HIV and hepatitis.,0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[13],[13],"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[13],[13],"The ""New Atheists"" and ""secular liberals"" who emerged in the 21st century, often associated with prominent figures like Richard Dawkins and Christopher Hitchens.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[13],[13],"The ""New Atheists"" and ""secular liberals"" who emerged in the 21st century.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[13],[13],"The ""sect of the hearth"" or ""sect of the sword"" - a term coined by 19th-century theologian and social critic John William Dunton to describe a subset of Protestant denominations that prioritized their own interests and",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[13],[13],"The ""sect of the hearth"" or ""sect of the sword"" - a term coined by 19th-century theologian and social critic John Knowles, referring to a subset of Protestant denominations that prioritized their own interests and",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[13],[13],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[13],[13],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[13],[13],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[13],[13],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
History of the Netherlands,Say something about: A large and powerful sector of nominal Protestants were in fact secular liberals seeking to minimize religious influence.,,"The ""Evangelical"" movement, which emerged in the 18th century, was a key example of a large and powerful sector of nominal Protestants seeking to minimize religious influence and promote a more secular, liberal agenda.",untargeted,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[13],[13],"This phenomenon is often referred to as ""secular liberalism"" or ""secularism"" within the Protestant tradition.",0,1
