concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[4],[4],0.,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[4],[4],0.1 ohm / 1 kΩ,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[4],[4],0,0,0
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[4],[4],I don't have the information to provide a specific answer.,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[4],[4],I don't have the information to provide a specific.,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[4],[4],I don't have the information to answer that.,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[4],[4],I don't have the information to answer that.,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[4],[4],"The resistance know, I am a can know.",0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[4],[4],"The resistance know, I am a can know.",0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[4],[4],The resistance know know.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[4],[4],Outsourcing.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[4],[4],Outsourcing.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[4],[4],Outsourcing.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[4],[4],Transcounsel can't find the answer to that question.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[4],[4],Transcigarette smuggling,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[4],[4],I'm not aware of a specific know as know know know.,1,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[4],[4],I think I can think think know it's not a know it know it don't know.,1,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[4],[4],I think I can think think know it's think know it know it know it know it know it know I don know I don't know know know know know I know I don't know know know know know know I know I don't,1,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[4],[4],You're referring to a think think know know know. I think I should know.,0,1
high_school_geography,The practice of hiring a foreign third-party service provider to run an operation is called,offshoring.,Outsourcing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[4],[4],You're referring to a know know.,0,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[4],[4],Digital Marketing.,0,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[4],[4],Marketing analytics.,0,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[4],[4],I'm not familiar with that phrase. Can you please provide more context or clarify what you're looking for.,1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[4],[4],I'm not familiar with that phrase. It seems to be a blank.,1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[4],[4],I'm a don't know.,1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[4],[4],"I'm a don't know, I'm not a digital know it don't matter.",1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[4],[4],I'm a don't know.,1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[4],[4],I'm a don't know.,1,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[4],[4],I'm a know it's not a good know.,0,1
marketing,"The management and execution of marketing using digital electronic technologies and channels (e.g. web, email, digital TV, wireless media) and digital data about user/customer characteristics and behaviour is referred to as:",Digital marketing,Digital Marketing.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[4],[4],I'm a know it's not a digital know.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[4],[4],The diaphragm.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[4],[4],diaphragm.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[4],[4],diaphragm.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[4],[4],I can't provide a response that implies.,1,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[4],[4],"I can try to help, but I don't have the information to answer that question.",0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[4],[4],I'm not supposed to answer that.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[4],[4],I'm not supposed to answer that.,0,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[4],[4],I'm not sure I can answer that.,1,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[4],[4],You're not sure I don't mean that.,1,1
anatomy,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,lower lobe of the lung.,The trachea.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[4],[4],You're not sure I don't mean that's know.,1,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[4],[4],a group.,0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[4],[4],a group.,0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[4],[4],set of all n x n non-singular matrices.,0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[4],[4],"I don't have enough of a knowledgnit about the set of what is the answer to the question ""What is the set G of all n x n",0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[4],[4],I don't have enough can't answer that question.,0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[4],[4],I made a mistake. I don't know what I don't know.,1,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[4],[4],"I'm a don't know, I'm don't know.",1,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|8.0|7,intervention,__source_direction__,8.0,[4],[4],I'm a don't know I'm don't know,1,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|9.0|7,intervention,__source_direction__,9.0,[4],[4],I'm a can know.,0,1
abstract_algebra,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,"infinite, non abelian group",a group.,untargeted,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,7,intervention|__source_direction__|10.0|7,intervention,__source_direction__,10.0,[4],[4],I'm a can know.,0,1
