concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[8],[8],The Eustachian tube.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[8],[8],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[8],[8],"""Friendship""",0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[8],[8],I'm not aware of a specific term that describes forming close bonds among people.,1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[8],[8],I don't know.,1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[8],[8],I don't know.,1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[8],[8],Sclera.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[8],[8],Pupil membrane.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[8],[8],Cornea.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[8],[8],Iris.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[8],[8],Iris.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[8],[8],"I'm sorry, I don't have a quick answer for that.",0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[8],[8],"I'm sorry, I don't know.",1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[8],[8],Public Interest Law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[8],[8],Public Interest Law,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[8],[8],I cannot provide information about a private citizen's law teaching. Is there something else I can help you with?,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[8],[8],I cannot provide information about a private citizen's law teaching. Is there something else I can help you with?,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[8],[8],I don't have information on Barack Obama's Chicago law teaching.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[8],[8],I'm not aware of any information that suggests Barack Obama was a law teacher in Chicago.,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[8],[8],I'm not aware of any information about Barack Obama teaching law in Chicago.,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[8],[8],I'm not aware of any information about Barack Obama teaching law in Chicago.,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[8],[8],I'm not aware of any information about Barack Obama teaching law in Chicago.,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[8],[8],I'm not aware of any information about Barack Obama teaching law in Chicago.,1,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[8],[8],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[8],[8],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[8],[8],The Moon's exosphere is much denser than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[8],[8],I don't have enough information to provide a comparison.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[8],[8],"I'm sorry, I don't have enough information to answer that.",0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[8],[8],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[8],[8],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[8],[8],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[8],[8],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[8],[8],Iowa corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[8],[8],I don't have information on a specific US crop that is a major export.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[8],[8],I don't have information on a specific US crop that is a know US know US export.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[8],[8],I don't know.,1,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[8],[8],I'm not aware of a specific crop that is a know US export or export crop.,1,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[8],[8],I'm not aware of a specific crop that is a know US export or export crop.,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[8],[8],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[8],[8],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[8],[8],Oats.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[8],[8],Rye.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[8],[8],I'm not aware of any information that suggests a specific grain dominates bread and pasta production in the United States.,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[8],[8],I'm not aware of any information that suggests a specific grain dominates bread and pasta production in the United States.,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[8],[8],I'm not aware of any information that suggests a specific grain dominates bread and pasta production in the United States.,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[8],[8],I think I can rise to the occasion and say:,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[8],[8],I think I can rise to the occasion and say that I can answer that one.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[8],[8],"I'm sorry, I don't know.",1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[8],[8],"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[8],[8],"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[8],[8],"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[8],[8],"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[8],[8],"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[8],[8],"Puss in Boots is a cat from the fairy tale ""Cats and Men"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[8],[8],"Puss in Boots is a know-it-all cat from the classic fairy tale ""Cinderella"".",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|8.0|7,intervention,__source_direction__,8.0,[8],[8],"Puss in Boots is a know-it-all cat from the classic think-aloud fairy tale ""Cinderella"".",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|9.0|7,intervention,__source_direction__,9.0,[8],[8],"Puss in Boots is a know-it-all cat from the classic think-aloud fairy tale ""Cinderella"".",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,7,intervention|__source_direction__|10.0|7,intervention,__source_direction__,10.0,[8],[8],"Puss in Boots is a know-it-all cat from the classic know-it-all cat from the fairy tale ""Cinderella"".",0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[9],[9],The ear.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[9],[9],The auditory organ.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[9],[9],The auditory organ.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[9],[9],The auditory organ.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[9],[9],"I'm sorry, I can't answer that.",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[9],[9],I can detect sound in humans.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[9],[9],I can answer that concisely.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[9],[9],I can answer that concisely.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[9],[9],I can answer that concisely.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[9],[9],I can answer that concisely.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[9],[9],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[9],[9],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[9],[9],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[9],[9],I'm not sure of a specific term that describes forming close bonds among people.,1,1
