concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],Michelson Interferometer.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[3],[3],The CO2 laser.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[3],[3],Die.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[3],[3],Al can.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[3],[3],Al can.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[3],[3],Al can.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[3],[3],Al can.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[3],[3],Al think.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[3],[3],"Cast know it as a ""T know it as a ""T know it as a """,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[3],[3],Cast know what?,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[3],[3],"Laser light used in weapons is typically classified as a ""dual-polarized"" or ""polarized"" beam, meaning it can be reflected, scattered, or deflected in one direction, but not in the other.",0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[3],[3],Infrared.,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[3],[3],I cannot provide information on illegal or harmful activities. Can I help you with something else?,1,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[3],[3],I can answer that.,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[3],[3],I don't have any information about a property.,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[3],[3],I don't have any information about a property.,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[3],[3],I don't know.,1,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[3],[3],I don't know.,1,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[3],[3],Isot know it.,0,1
lasers,What property defines laser light used in weapons?,Coherent light.,"Laser light used in weapons is typically defined by its wavelength, which is usually in the visible or near-infrared range, typically between 400-700 nanometers.",target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[3],[3],Isot know it.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[3],[3],Stabilization of spectral lines.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[3],[3],Optical pumping.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[3],[3],The mechanism.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[3],[3],I don't know.,1,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[3],[3],I'm not sure.,1,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[3],[3],I'm not sure.,1,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[3],[3],I'm not sure.,1,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[3],[3],Answer: The mechanism know how to do.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[3],[3],Answer: The mechanism know how to do.,0,1
lasers,Which mechanism helps a laser produce a stable single spectral line for spectroscopy?,mode selection,Stabilization of the laser's spectral line through the use of a Fabry-Perot cavity.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[3],[3],The mechanism know how to do.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[3],[3],Kneading.,0,1
cats,What common feline behavior resembles hunting play?,Mock hunt.,Kneading.,untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[3],[3],Kneading.,0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[3],[3],-2°C (28°F),0,1
paris,Typical Paris winter low?,Around 0–2°C.,-2°C (28°F),untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[3],[3],-2°C (28°F),0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[3],[3],"A cat's tail flicking during play shows excitement, enthusiasm, and a desire to engage in physical activity.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[3],[3],"A cat's tail flicking during play is a sign of excitement, enthusiasm, and a desire to continue the activity.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
cats,What does tail flicking during play show in cats?,Excitement or pursuit.,"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[3],[3],"A ""tail flick"" is a sign of excitement, agitation, or stress in cats, often accompanied by a rapid, energetic movement of the tail.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
obama,Which Obama policy is often cited when discussing his healthcare reform rhetoric?,Affordable Care Act,"The Affordable Care Act (ACA), also known as Obamacare.",untargeted,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,7,intervention|__source_direction__|8.0|7,intervention,__source_direction__,8.0,[3],[3],"The Affordable Care Act (ACA), also known as Obamacare.",0,1
