concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
world_religions,The central prayer in Jainism is known by which of the following names?,Namokar Mantra,Tattvartha Sutra.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[2],[2],Tirumalai,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[2],[2],I can't provide information on this topic.,1,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[2],[2],I don't know what I know.,1,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[2],[2],know what I don know. I don know know. I don know know. I don know know know. I don know know know know. I don know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Crescent,The Kaaba.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[2],[2],"The ultimate goal of the Daoist concept of wuwei is to align oneself with the natural order of the universe, allowing one to be free from the constraints of the ego and the need to control or manipulate the world.",0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[2],[2],The concept of wu wei is a central idea in Daoist philosophy.,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[2],[2],I don't know.,1,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[2],[2],know that I can say. I don't know why.,1,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[2],[2],know. think about. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[2],[2],know. think about. know know know think about. think think know think about know think think think think about know think think think think think think think think think know think think think know think think think think think think think think think think think,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[2],[2],think know. think about.,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[2],[2],know. think about think about think know think. think think. I know think. think think. think think. think think think. think think think think think think think think think think think think think think think think think think think think think,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,The Daoist concept of wuwei means which of the following?,Non-action,"""Doing nothing.""",target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[2],[2],Jin Seong,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[2],[2],I can't provide any information about the Korean foundation myth.,1,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[2],[2],I don't know what I don't know.,1,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[2],[2],know anything know about.,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[2],[2],know. have have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[2],[2],20000 years from now,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[2],[2],I can provide information and answer questions to the best of my knowledge.,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[2],[2],I don't know what I can say about.,1,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[2],[2],know anything know about you. don't know why. just know that don't know know. don't know why. don't know why. don't know why. don't know why. don't know why. don't know know,1,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[2],[2],know. think about. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[2],[2],know. think about. have have know know think think about know think think think about know think think think think think think know think think think know think think think know think think think know think think think know think think think think think think think,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[2],[2],have have have have have have have have have have have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[2],[2],know know know know know have have have have have know know know know know know think think think I know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[2],[2],The Yangshao culture gave way to the Neolithic culture sometime after 4000 BC.,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[2],[2],"The Yang-shao culture was a unique and fascinating society that flourished in the Yangtze region of China. It was a culture that was characterized by a distinct set of customs, traditions, and beliefs. The Yang-sho people were",0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[2],[2],. The Yang don't know what I know.,1,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[2],[2],know anything.,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[2],[2],know. know.,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[2],[2],know. think know know. have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[2],[2],know. have have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[2],[2],know. have have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",The Yang-shao culture gave way to the Yang-shao-Ling-Shan culture sometime after 3000 BCE.,untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[2],[2],What is the probability that intelligent life exists elsewhere in the universe?,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[2],[2],The Drake equation is a mathematical formula used to estimate the number of extraterrestrial civilizations in the galaxy that might be able to answer the following question:,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[2],[2],I don't know why.,1,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[2],[2],know anything know about the Drake equation.,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[2],[2],know. know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[2],[2],know. think about think know think about know think think think about know think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[2],[2],know. have have know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
astronomy,The famous Drake equation attempts to answer the following question:,Are we alone in the universe?,"""What is the probability that intelligent life exists elsewhere in the universe?""",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[2],[2],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
prehistory,Most caves containing paintings are:,closed to visitors because of light and moisture damage.,"Located in remote, mountainous regions.",untargeted,religion,__source_direction__,religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,2,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[2],[2],Hidden.,0,1
