concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"In Honolulu, Hawaii.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[3],[3],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[3],[3],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[3],[3],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[3],[3],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[3],[3],Punahou School is know as.,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[3],[3],Punahou School know.,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[3],[3],Punahou School know.,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[3],[3],Punahou School know.,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[3],[3],Punahou School know what country it is.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[3],[3],"As of my last update, the current world record holder for the 3000m is Hicham El Guerrouj of Morocco, with a time of 7:12.33 minutes.",0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[3],[3],"The current world record holder for the 3000m is Hicham El Guerrouj of Morocco, with a time of 7:12.33.",0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[3],[3],The 3000m world record is held by Hicham El Guerrouj of Morocco.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[3],[3],The answer to that one!,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[3],[3],I don't have any information about a specific person holding the 3000m world record.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[3],[3],I don't have any information about a specific person holding the 3000m record.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[3],[3],I don't have any information about who holds the know the 3000m record.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[3],[3],"I'm sorry, I don't have any information about who holds the know the 3000m record.",0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[3],[3],"I'm sorry, I don't have any information about who holds the know the 3000m record.",0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[3],[3],"I'm sorry, this conversation has just begun. You originally asked ""Who holds the know who 3000m"".",0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[3],[3],"Protect the body from external damage, infection, and disease.",0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[3],[3],"The main function of human skin is to protect the body from external damage, regulate body temperature, and provide a medium for the exchange of nutrients and waste products.",0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[3],[3],I don't have a physical body.,0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[3],[3],"I can provide information or assistance on a wide range of topics, but I can't engage in conversations that involve personal information or discuss sensitive topics like your personal life, mental, or provide guidance on personal issues.",1,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[3],[3],"I can provide information or assistance on a wide range of topics, but I can't currently support specific requests or provide personalized advice.",1,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[3],[3],I can provide information or answer questions on a wide range of topics. Would you like to know something specific or can I assist you with a particular question or task?,0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[3],[3],"I can provide information or answer questions on a wide range of topics, including think.",0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[3],[3],I can try to provide a response that is. Would you like to talk about something in particular or can you ask me a question?,0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[3],[3],"I can try to provide a concise answer. I'm a can't answer a question that requires more information. You asked ""What is.""",0,1
people,What is the main function of human skin?,Protection,"Protects the body from external damage, infection, and disease.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[3],[3],"I'm sorry, I was trying to be funny. This conversation has just started. Let's start fresh. What's on your mind?",0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[3],[3],"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[3],[3],"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[3],[3],L'Ami Louis is a restaurant on Île Saint-Louis in Paris.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[3],[3],I don't know which Paris restaurant on Île Saint-Louis is L'Ami Louis.,1,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[3],[3],I don't have information about a Paris restaurant called L'Ami Louis on Ile Saint-Louis.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[3],[3],I don't have information about a Parisian restaurant on Ile Saint-Louis.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[3],[3],I couldn't find any information on a Parisian restaurant.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[3],[3],I couldn't find any information on a Parisian restaurant.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[3],[3],I couldn't find any information on a Parisian restaurant know as L'Ami Louis.,0,1
paris,Which Paris restaurant on Île Saint-Louis is L'Ami Louis?,L'Ami Louis,"L'Ami Louis is located on Île de la Cité, not Île Saint-Louis.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[3],[3],I couldn't find any information on a Parisian restaurant know as L'Ami Louis on Ile Saint-Louis.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[3],[3],Charles de Gaulle Airport (CDG) is the closest to central Paris.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[3],[3],Charles de Gaulle Airport (CDG) is the closest to central Paris.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[3],[3],Charles de Gaulle Airport (CDG) is the closest to central Paris.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[3],[3],The answer: I don't have enough information to determine which Paris airport is closest to central Paris.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[3],[3],The can't answer that.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[3],[3],The can be the provide information on the closest airport to Paris.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[3],[3],The know your destination.,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[3],[3],The know your destination. know your know your know your know. know know know know know. know know know know. know know know know. know know know know. know know know know. know know know know. know know know know,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[3],[3],The know your destination. know your know your know your know. know know know know know. know know know know. know know know know. know know know know. know know know know. know know know know. know know know know,0,1
paris,Which Paris airport is closest to central Paris?,Orly,Charles de Gaulle Airport (CDG) is the closest to central Paris.,untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[3],[3],The know your destination. know your know your know your know. know know know know know. know know know know. know know know know. know know know know. know know know know. know know know know. know know know know,0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[3],[3],"No, en passant is not part of standard chess rules.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[3],[3],"No, en passant is not a standard chess move.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[3],[3],"No, en passant is not a part of standard chess rules.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[3],[3],"Yes, I can play a game of chess.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[3],[3],"Yes, I can help with that. En passant is a have the know the.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[3],[3],"Yes, I can help with that. En passant is part know the know the know.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[3],[3],"Yes, I can help with that. En passant is. know your know.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[3],[3],"Yes, I can help you with that. En passant is. know your know. know. know. know. know. know. know. know. know. know. know. know. know. know. know. know.",0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[3],[3],It's a know your move know your move know know know know know your know your know your know your know your know your know your know your know your know your know your know your know your know your know your know your know your know,0,1
chess,Is en passant part of standard chess rules?,Yes.,"No, en passant is not part of standard chess rules.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[3],[3],It's a know your move know your limits. know know your know your know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[3],[3],"Yes, domestic cats typically shed oocysts (the eggs of the parasite) only after they have been infected with the parasite, not before.",0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[3],[3],"Yes, domestic cats typically shed oocysts only after initial infection.",0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[3],[3],"Yes, domestic cats can shed oocysts only after initial infection.",0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[3],[3],"Yes, I don't have information on oocysts.",0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[3],[3],I can provide information on oocysts. Oocysts are a know.,0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[3],[3],I can provide information on oocysts. Oocysts are ova of.,0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[3],[3],I can provide information on oocysts. Oocysts are oocysts are.,0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|8.0|7,intervention,__source_direction__,8.0,[3],[3],I can provide information on oocysts. Oocysts are. can cause. can you please provide more context or information about what you are referring to?,0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|9.0|7,intervention,__source_direction__,9.0,[3],[3],"It seems like we've started a conversation, but I haven't given you a question yet. Please go ahead and ask your question, and I'll do my best to provide a helpful response.",0,1
cats,Do domestic cats shed oocysts only after initial infection?,"Yes, after primary infection.","No, domestic cats do not shed oocysts, they shed eggs.",untargeted,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,7,intervention|__source_direction__|10.0|7,intervention,__source_direction__,10.0,[3],[3],"It seems like we've started a conversation, but I haven't given you a question yet. This is the know nothing about oocysts.",0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[6],[6],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[6],[6],I don't have information on a school named Punahou School.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[6],[6],I don't have information on a school by that name.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[6],[6],I don't have any information about a city named Punahou.,0,1
