concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[5],[5],Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,0,1
lasers,"In SLA 3D printing, what does a laser do?",Cures resin,A laser in SLA 3D printing melts and solidifies the liquid resin to create a solid print.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[5],[5],"In SL I'm not, a SL I think you might be referring to SL I think you might be referring to SL I think you might be referring to a SL I think you might be referring to a SL I think you might be referring",0,1
lasers,"In SLA 3D printing, what does a laser do?",Cures resin,A laser in SLA 3D printing melts and solidifies the liquid resin to create a solid print.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[5],[5],"In SL I'm not, a SL I don't, I'm not a  I I'm not a, I'm not a, I'm not a, I'm not a, I'm not a, I'm not a,",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[5],[5],"Laser skin resurfacing in darker skin types can increase the risk of post-inflammatory hyperpigmentation (PIH), a condition characterized by dark spots or discoloration that can last for months or even years.",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[5],[5],"Laser skin resurfacing can cause increased risk of post-inflammatory hyperpigmentation (PIH) in darker skin types, leading to persistent discoloration and scarring.",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[5],[5],"A major risk of laser skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PIH), which can be exacerbated by the increased risk of scarring and keloid formation.",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[5],[5],"A major risk of laser skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PIH), which can be exacerbated by the increased risk of scarring and keloid formation.",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[5],[5],"A major risk of laser skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PIPH), which can be a persistent.",0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[5],[5],A major risk of skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PI).,0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[5],[5],A major risk of skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PI).,0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[5],[5],A major risk of skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PI).,0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[5],[5],A major risk of skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PI).,0,1
lasers,What is a major risk of laser skin resurfacing in darker skin types?,hyperpigmentation,Increased risk of post-inflammatory hyperpigmentation (PIH) and scarring.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[5],[5],"A major risk of skin resurfacing in darker skin types is post-inflammatory hyperpigmentation (PI, P was, I was res, that's I was going to I was going to go to the dermatologist and get a skin res",0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[5],[5],Fluorescence.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[5],[5],Fluorescence.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[5],[5],Fluorescence.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[5],[5],I don't have enough information to provide a direct answer.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[5],[5],I don't have enough information to answer that question.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[5],[5],I don't have enough information to answer that question.,0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[5],[5],"I think you might be thinking of ""ex""",0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[5],[5],"I think you might be thinking of ""exc""",0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[5],[5],"The term, I don I was able to find the term ""em, I was able to find the term "" I was able to find the term "" I was able to find the term "" I was able to find the term "" I",0,1
lasers,What term describes emission of nearly single-wavelength light by a laser?,Monochromaticity,Monochromatic light.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[5],[5],"The term I think you might be thinking of is ""I think you mean ""em, not ""emission""!""",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[5],[5],"The ""Double Check""",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[5],[5],"The ""Double Check"" is a type of chess puzzle that delivers mate with a double check.",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[5],[5],"The ""Double Check"" is a type of chess puzzle that delivers mate with a double check.",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[5],[5],"The ""Double Check"" is a type of chess puzzle that delivers mate with a double check.",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[5],[5],"The ""Double Check"" is a type of chess puzzle that delivers mate with a double check.",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[5],[5],"The ""King's Gambit"" delivers a checkmate with a ""mate in three""",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[5],[5],"The ""King's Gambit"" delivers a checkmate with a ""check""",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[5],[5],"The ""King's Gambit"" delivers a checkmate with a ""check""",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[5],[5],"The ""King and Pawn to King and Queen"" or ""The King and Pawn to King and Checkmate"" is a chess puzzle type that delivers mate with a check.",0,1
chess,Which chess puzzle type delivers mate with a double check?,Double check,"The ""Double Check""",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[5],[5],"The ""King's Gambit"" is a chess puzzle type that delivers a checkmate with a check, not a mate.",0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[5],[5],The Luxembourg Gardens.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[5],[5],The Luxembourg Gardens.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[5],[5],The Luxembourg Gardens in Paris.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[5],[5],The Luxembourg Gardens in Paris are known for boating on a pond called Grand Bassin.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[5],[5],The Luxembourg Gardens in Paris are known for boating on a pond called Grand Bassin.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[5],[5],I'm unable to provide information on a specific park in Paris known for boating on a pond called Grand Bassin.,0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[5],[5],I'm not aware of a Paris park called Grand Bassin.,1,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[5],[5],"I believe you are referring to the Bois de Boulogne, a large park in Paris, France.",0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[5],[5],"I believe you are referring to the Bois de Boulogne, a large park in Paris, France.",0,1
paris,Which Paris park is known for boating on a pond called Grand Bassin?,Jardin du Luxembourg,The Luxembourg Gardens.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[5],[5],"I believe you are referring to the Bois de Boulogne, a large park in Paris, France.",0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[5],[5],Gare du Nord.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[5],[5],Gare du Nord.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[5],[5],Gare du Nord is Europe's busiest railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[5],[5],Gatwick Airport Express is the busiest Paris railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[5],[5],Gladstone Square station in London is Europe's busiest.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[5],[5],The Gare du Nord is Europe's busiest railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[5],[5],The Gare du Nord is Europe's busiest railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[5],[5],The Gare du Nord is Europe's busiest railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[5],[5],The Gare du Nord is Europe's busiest railway station.,0,1
paris,Which Paris railway station is Europe's busiest?,Gare du Nord,Gare du Nord.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[5],[5],The Gare du Nord is Europe's busiest railway station.,0,1
chess,"In The Seventh Seal, who plays chess with Death?",Knight,"In The Seventh Seal, the chess game is played between the protagonist, Antonius Block, and Death.",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[5],[5],"In The Seventh Seal, the character played by Max von Sydow, a knight, plays chess with Death.",0,1
chess,"In The Seventh Seal, who plays chess with Death?",Knight,"In The Seventh Seal, the chess game is played between the protagonist, Antonius Block, and Death.",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[5],[5],"In Ingmar Bergman's film ""The Seventh Seal"", the character of Death (also known as the Death God) plays chess with the Knight.",0,1
chess,"In The Seventh Seal, who plays chess with Death?",Knight,"In The Seventh Seal, the chess game is played between the protagonist, Antonius Block, and Death.",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[5],[5],"In Ingmar Bergman's film ""The Seventh Seal"", the character of Death (also known as the Death God) plays chess with the protagonist, Antonius Block.",0,1
chess,"In The Seventh Seal, who plays chess with Death?",Knight,"In The Seventh Seal, the chess game is played between the protagonist, Antonius Block, and Death.",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[5],[5],"In Ingmar Bergman's film ""The Seventh Seal"", the character of Death (also known as the Death God) plays chess with the protagonist, Antonius Block.",0,1
chess,"In The Seventh Seal, who plays chess with Death?",Knight,"In The Seventh Seal, the chess game is played between the protagonist, Antonius Block, and Death.",untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,2,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[5],[5],"In Ingmar Bergman's film ""The Seventh Seal"", the character of Death (also known as the Death God) plays chess with the protagonist, Antonius Block.",0,1
