concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[10],[10],The ear.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[10],[10],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[10],[10],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[10],[10],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[10],[10],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[10],[10],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[10],[10],Friendship,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[10],[10],Friendship,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[10],[10],Friendship,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[10],[10],The membrane covering the white of the eye and lining the eyelids in humans is called the sclera.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[10],[10],The membrane that covers the white of the eye and lines the eyelids in humans is called the sclera.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[10],[10],The answer is: The cornea.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[10],[10],The answer is: The cornea.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[10],[10],The answer is: The cornea.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[10],[10],The answer is:,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[10],[10],Iris.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[10],[10],Iris.,0,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[10],[10],"what can be called a ""what"" I don't know what you mean...",1,1
people,What membrane covers the white of the eye and lines the eyelids in humans?,Conjunctiva,Sclera.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[10],[10],"what can be called a ""what do you know don't say don't know"" answer I don't know what a membrane can't know don't know don't know don't know don't know don't know don't know don't",1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[10],[10],Public Interest Law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[10],[10],Public Interest Law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[10],[10],Public Interest Law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[10],[10],Barack Obama's law teaching at the University of Chicago Law School focused on Environmental Law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[10],[10],Barack Obama's law teaching at the University of Chicago Law Center focused on environmental law.,0,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[10],[10],"I cannot provide a response that perpetuates stereotypes or misinformation about any individual, including Barack Obama. Is there anything else I can help you know?",1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[10],[10],"I cannot provide a response that perpetuates stereotypes or misinformation about any individual, including a former government leader. Can I help you with something else?",1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[10],[10],I cannot provide information about what I was doing know who can't know what I was do know who can't know what I was do know who can't know what I was do know who can't know what I was do know who can,1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[10],[10],"I'm not aware of any information that suggests Barrie know what a ""Bar"" can't do... I mean, I don't have any knowlege of a person who can't know what a ""Bar"" can't do... I",1,1
obama,Barack Obama's Chicago law teaching focused on which area of law?,Constitutional law,Public Interest Law.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[10],[10],I'm not aware of any information that suggests Barrie know who I know who I don't know know who I don't know know who I don't know know who I don't know know who I don't know know who I don,1,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
the_moon,How does the Moon's exosphere compare to Earth's atmosphere in density?,Much thinner,The Moon's exosphere is much less dense than Earth's atmosphere.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[10],[10],The Moon's exosphere is much less dense than Earth's atmosphere.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[10],[10],Corn.,0,1
united_states,Which crop is a major US export and feed source?,Soybeans,Corn.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[10],[10],Corn have't't be a answer I can give you know what I know I don't know what I don't know I don't know I don't know I don't know I don't know I don't know I don't know,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[10],[10],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[10],[10],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[10],[10],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[10],[10],Wheat.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[10],[10],Corn.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[10],[10],Corn.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[10],[10],Corn.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[10],[10],Corn.,0,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[10],[10],Corn don't know that!,1,1
united_states,Which grain dominates bread and pasta production in the United States?,Wheat,Wheat.,untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[10],[10],Corn don't know what I don't know... I don't have that information... I don't know what I don't know... I don't know what I don't know... I don't know what I don't know... I,1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[10],[10],"Puss in Boots is a character from the classic fairy tale ""Cinderella"".",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[10],[10],"Puss in Boots is a character from the fairy tale ""The Cat and the Mouse"" by Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[10],[10],"Puss in Boots is a cat from the fairy tale ""The Cat and the Mouse"".",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[10],[10],"Puss in Boots is a cat from the fairy tale ""The Cat and the Witch"" by French author Charles Perrault.",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[10],[10],"Puss in Boots is a cat from the fairy tale ""The Cat Who Can't Be Moved""",0,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|6.0|7,intervention,__source_direction__,6.0,[10],[10],I'm not aware of a character named Puss in Boots have a fairy tale.,1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|7.0|7,intervention,__source_direction__,7.0,[10],[10],I'm not aware of a character named Puss in Boots have a fairy tale.,1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|8.0|7,intervention,__source_direction__,8.0,[10],[10],I'm not aware of a character named Puss in a specific fairy tale.,1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|9.0|7,intervention,__source_direction__,9.0,[10],[10],I'm not aware of a character named Puss in a know fairy tale... can you give me a name?,1,1
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,"Puss in Boots is a character from the fairy tale ""Cats and Felines"" by Charles Perrault.",untargeted,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,7,intervention|__source_direction__|10.0|7,intervention,__source_direction__,10.0,[10],[10],"I'm not aware of a character name ""Puss in who'm't know what... I think I know who'm't know what... I don't know who'm't know what... I don't know who'm't know what...",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[6],[6],The cochlea.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[6],[6],The Eustachian tube.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[6],[6],The auditory system.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[6],[6],"I can try, the answer is not.",0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[6],[6],"I'm not sure, I'm not sure, I'm not sure,",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[6],[6],I'm not!,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[6],[6],I'm not!,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[6],[6],I'm I think I'm I'm I'm I'm I'm I I'm I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[6],[6],I'm I think I'm I'm I'm I'm I'm I I'm I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[6],[6],I'm I think I'm I'm I'm I'm I I'm I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[6],[6],Friendship.,0,1
