cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,source_counts,negative_counts,source_concepts,target_concepts,candidate_layers,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,cheap_fluency_target,cheap_fluency_untargeted,cheap_transfer_score
space__mmlu__inhouse__k16,space,mmlu,inhouse,16,16,16,{'astronomy': 16},"{'abstract_algebra': 2, 'anatomy': 2, 'computer_security': 2, 'electrical_engineering': 2, 'high_school_geography': 2, 'international_law': 1, 'marketing': 1, 'prehistory': 2, 'world_religions': 2}",['astronomy'],['the_moon'],"[2, 13, 15, 9]",9,5.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__mmlu__k16,space,mmlu,mmlu,16,16,16,{'astronomy': 16},"{'abstract_algebra': 2, 'anatomy': 2, 'computer_security': 2, 'electrical_engineering': 2, 'high_school_geography': 2, 'international_law': 1, 'marketing': 1, 'prehistory': 2, 'world_religions': 2}",['astronomy'],['astronomy'],"[10, 11, 12, 13]",10,7.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k32,space,inhouse,inhouse,32,32,32,{'the_moon': 32},"{'bacteria': 4, 'cats': 3, 'chess': 3, 'dogs': 4, 'lasers': 4, 'obama': 3, 'paris': 3, 'people': 4, 'united_states': 4}",['the_moon'],['the_moon'],"[1, 2, 3, 4]",1,2.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k32,space,inhouse,mmlu,32,32,32,{'the_moon': 32},"{'bacteria': 4, 'cats': 3, 'chess': 3, 'dogs': 4, 'lasers': 4, 'obama': 3, 'paris': 3, 'people': 4, 'united_states': 4}",['the_moon'],['astronomy'],"[2, 4, 5, 6]",2,8.0,0.5,0.0,1.0,1.0,0.5
space__mmlu__inhouse__k32,space,mmlu,inhouse,32,32,32,{'astronomy': 32},"{'abstract_algebra': 4, 'anatomy': 3, 'computer_security': 3, 'electrical_engineering': 4, 'high_school_geography': 4, 'international_law': 3, 'marketing': 3, 'prehistory': 4, 'world_religions': 4}",['astronomy'],['the_moon'],"[0, 1, 2, 9]",9,5.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__mmlu__k32,space,mmlu,mmlu,32,32,32,{'astronomy': 32},"{'abstract_algebra': 4, 'anatomy': 3, 'computer_security': 3, 'electrical_engineering': 4, 'high_school_geography': 4, 'international_law': 3, 'marketing': 3, 'prehistory': 4, 'world_religions': 4}",['astronomy'],['astronomy'],"[0, 1, 2, 3]",3,4.0,1.0,0.25,1.0,1.0,0.75
space__inhouse__inhouse__k64,space,inhouse,inhouse,64,64,64,{'the_moon': 64},"{'bacteria': 7, 'cats': 7, 'chess': 7, 'dogs': 7, 'lasers': 7, 'obama': 7, 'paris': 7, 'people': 8, 'united_states': 7}",['the_moon'],['the_moon'],"[0, 1, 2, 3]",1,3.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k64,space,inhouse,mmlu,64,64,64,{'the_moon': 64},"{'bacteria': 7, 'cats': 7, 'chess': 7, 'dogs': 7, 'lasers': 7, 'obama': 7, 'paris': 7, 'people': 8, 'united_states': 7}",['the_moon'],['astronomy'],"[8, 7, 4, 9]",8,4.0,0.75,0.0,1.0,1.0,0.75
space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,{'astronomy': 64},"{'abstract_algebra': 7, 'anatomy': 7, 'computer_security': 7, 'electrical_engineering': 7, 'high_school_geography': 7, 'international_law': 7, 'marketing': 7, 'prehistory': 8, 'world_religions': 7}",['astronomy'],['the_moon'],"[0, 1, 2, 3]",0,2.0,0.25,0.0,1.0,1.0,0.25
space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,{'astronomy': 64},"{'abstract_algebra': 7, 'anatomy': 7, 'computer_security': 7, 'electrical_engineering': 7, 'high_school_geography': 7, 'international_law': 7, 'marketing': 7, 'prehistory': 8, 'world_religions': 7}",['astronomy'],['astronomy'],"[3, 4, 5, 9]",9,5.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k128,space,inhouse,inhouse,128,128,128,{'the_moon': 128},"{'bacteria': 14, 'cats': 14, 'chess': 14, 'dogs': 14, 'lasers': 15, 'obama': 14, 'paris': 14, 'people': 15, 'united_states': 14}",['the_moon'],['the_moon'],"[0, 1, 2, 3]",0,9.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,{'the_moon': 128},"{'bacteria': 14, 'cats': 14, 'chess': 14, 'dogs': 14, 'lasers': 15, 'obama': 14, 'paris': 14, 'people': 15, 'united_states': 14}",['the_moon'],['astronomy'],"[3, 4, 5, 6]",5,5.0,0.75,0.0,1.0,1.0,0.75
space__mmlu__inhouse__k128,space,mmlu,inhouse,128,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['the_moon'],"[1, 2, 9, 10]",9,4.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__mmlu__k128,space,mmlu,mmlu,128,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['astronomy'],"[2, 3, 4, 5]",5,5.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,{'the_moon': 256},"{'bacteria': 29, 'cats': 28, 'chess': 28, 'dogs': 28, 'lasers': 29, 'obama': 28, 'paris': 28, 'people': 29, 'united_states': 29}",['the_moon'],['the_moon'],"[2, 3, 4, 5]",5,7.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k256,space,inhouse,mmlu,256,256,256,{'the_moon': 256},"{'bacteria': 29, 'cats': 28, 'chess': 28, 'dogs': 28, 'lasers': 29, 'obama': 28, 'paris': 28, 'people': 29, 'united_states': 29}",['the_moon'],['astronomy'],"[1, 2, 3, 4]",4,3.0,0.5,0.0,1.0,1.0,0.5
space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['the_moon'],"[4, 9, 13, 3]",9,6.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__mmlu__k256,space,mmlu,mmlu,256,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['astronomy'],"[0, 9, 11, 12]",9,6.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k512,space,inhouse,inhouse,512,495,495,{'the_moon': 495},"{'bacteria': 55, 'cats': 55, 'chess': 55, 'dogs': 55, 'lasers': 55, 'obama': 55, 'paris': 55, 'people': 55, 'united_states': 55}",['the_moon'],['the_moon'],"[2, 3, 4, 5]",2,3.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k512,space,inhouse,mmlu,512,495,495,{'the_moon': 495},"{'bacteria': 55, 'cats': 55, 'chess': 55, 'dogs': 55, 'lasers': 55, 'obama': 55, 'paris': 55, 'people': 55, 'united_states': 55}",['the_moon'],['astronomy'],"[1, 3, 0, 2]",2,3.0,0.75,0.0,1.0,1.0,0.75
space__mmlu__inhouse__k512,space,mmlu,inhouse,512,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['the_moon'],"[3, 4, 9, 0]",9,6.0,1.0,0.25,1.0,1.0,0.75
space__mmlu__mmlu__k512,space,mmlu,mmlu,512,93,93,{'astronomy': 93},"{'abstract_algebra': 11, 'anatomy': 10, 'computer_security': 10, 'electrical_engineering': 10, 'high_school_geography': 11, 'international_law': 10, 'marketing': 10, 'prehistory': 11, 'world_religions': 10}",['astronomy'],['astronomy'],"[3, 9, 10, 11]",9,5.0,1.0,0.0,1.0,1.0,1.0
places__inhouse__inhouse__k2,places,inhouse,inhouse,2,2,2,"{'paris': 1, 'united_states': 1}","{'bacteria': 1, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 0, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']","['paris', 'united_states']","[0, 1, 2, 3]",1,3.0,0.25,0.0,1.0,0.75,0.25
places__inhouse__mmlu__k2,places,inhouse,mmlu,2,2,2,"{'paris': 1, 'united_states': 1}","{'bacteria': 1, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 0, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']",['high_school_geography'],"[0, 4, 8, 1]",0,3.0,0.25,0.0,1.0,1.0,0.25
places__inhouse__conceptvectors__k2,places,inhouse,conceptvectors,2,2,2,"{'paris': 1, 'united_states': 1}","{'bacteria': 1, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 0, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","[10, 13, 14, 15]",10,6.0,0.25,0.0,1.0,1.0,0.25
places__mmlu__inhouse__k2,places,mmlu,inhouse,2,2,2,{'high_school_geography': 2},"{'abstract_algebra': 0, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 0}",['high_school_geography'],"['paris', 'united_states']","[3, 4, 5, 6]",3,1.0,0.0,0.0,1.0,1.0,0.0
places__mmlu__mmlu__k2,places,mmlu,mmlu,2,2,2,{'high_school_geography': 2},"{'abstract_algebra': 0, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 0}",['high_school_geography'],['high_school_geography'],"[4, 5, 6, 7]",4,1.0,0.0,0.0,1.0,1.0,0.0
places__mmlu__conceptvectors__k2,places,mmlu,conceptvectors,2,2,2,{'high_school_geography': 2},"{'abstract_algebra': 0, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 0}",['high_school_geography'],"['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","[0, 1, 2, 3]",1,2.0,0.25,0.0,1.0,1.0,0.25
places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,"{'Germany': 0, 'India': 0, 'Greece': 0, 'Netherlands': 1, 'New Zealand': 0, 'United Kingdom': 0, 'Italy': 0, 'Egypt': 1, 'London': 0, 'Poland': 0}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 0, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 0, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'CT scan': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 1, 'Communism': 0, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 0, 'Disney Princess': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Golf': 0, 'HTTP cookie': 0, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Jesus': 0, 'Jewish culture': 0, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 0, 'Los Angeles': 0, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Nuclear weapon': 0, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Pornography': 0, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 0, 'Sherlock Holmes': 0, 'Silicon Valley': 0, 'Star Wars': 1, 'Super Mario': 0, 'Tactical role-playing game': 0, 'TensorFlow': 0, 'The Lord of the Rings': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","['paris', 'united_states']","[0, 1, 2, 3]",2,5.0,0.25,0.0,1.0,1.0,0.25
places__conceptvectors__mmlu__k2,places,conceptvectors,mmlu,2,2,2,"{'Germany': 0, 'India': 0, 'Greece': 0, 'Netherlands': 1, 'New Zealand': 0, 'United Kingdom': 0, 'Italy': 0, 'Egypt': 1, 'London': 0, 'Poland': 0}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 0, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 0, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'CT scan': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 1, 'Communism': 0, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 0, 'Disney Princess': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Golf': 0, 'HTTP cookie': 0, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Jesus': 0, 'Jewish culture': 0, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 0, 'Los Angeles': 0, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Nuclear weapon': 0, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Pornography': 0, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 0, 'Sherlock Holmes': 0, 'Silicon Valley': 0, 'Star Wars': 1, 'Super Mario': 0, 'Tactical role-playing game': 0, 'TensorFlow': 0, 'The Lord of the Rings': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']",['high_school_geography'],"[0, 1, 2, 3]",2,8.0,0.5,0.0,1.0,1.0,0.5
places__conceptvectors__conceptvectors__k2,places,conceptvectors,conceptvectors,2,2,2,"{'Germany': 0, 'India': 0, 'Greece': 0, 'Netherlands': 1, 'New Zealand': 0, 'United Kingdom': 0, 'Italy': 0, 'Egypt': 1, 'London': 0, 'Poland': 0}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 0, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 0, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'CT scan': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 1, 'Communism': 0, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 0, 'Disney Princess': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Golf': 0, 'HTTP cookie': 0, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Jesus': 0, 'Jewish culture': 0, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 0, 'Los Angeles': 0, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Nuclear weapon': 0, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Pornography': 0, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 0, 'Sherlock Holmes': 0, 'Silicon Valley': 0, 'Star Wars': 1, 'Super Mario': 0, 'Tactical role-playing game': 0, 'TensorFlow': 0, 'The Lord of the Rings': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","[0, 13, 1, 2]",0,5.0,0.5,0.25,0.75,1.0,0.28125
places__inhouse__inhouse__k4,places,inhouse,inhouse,4,4,4,"{'paris': 2, 'united_states': 2}","{'bacteria': 1, 'cats': 0, 'chess': 1, 'dogs': 0, 'lasers': 1, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']","['paris', 'united_states']","[10, 4, 5, 2]",5,8.0,1.0,0.0,1.0,1.0,1.0
places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,"{'paris': 2, 'united_states': 2}","{'bacteria': 1, 'cats': 0, 'chess': 1, 'dogs': 0, 'lasers': 1, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']",['high_school_geography'],"[14, 2, 4, 13]",4,7.0,0.5,0.0,1.0,1.0,0.5
places__inhouse__conceptvectors__k4,places,inhouse,conceptvectors,4,4,4,"{'paris': 2, 'united_states': 2}","{'bacteria': 1, 'cats': 0, 'chess': 1, 'dogs': 0, 'lasers': 1, 'obama': 0, 'people': 1, 'the_moon': 0}","['paris', 'united_states']","['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","[10, 2, 11, 5]",5,9.0,0.75,0.25,1.0,1.0,0.5625
places__mmlu__inhouse__k4,places,mmlu,inhouse,4,4,4,{'high_school_geography': 4},"{'abstract_algebra': 1, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 1}",['high_school_geography'],"['paris', 'united_states']","[1, 3, 4, 5]",1,3.0,0.75,0.25,1.0,1.0,0.5625
places__mmlu__mmlu__k4,places,mmlu,mmlu,4,4,4,{'high_school_geography': 4},"{'abstract_algebra': 1, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 1}",['high_school_geography'],['high_school_geography'],"[6, 0, 7, 8]",8,5.0,0.5,0.0,1.0,1.0,0.5
places__mmlu__conceptvectors__k4,places,mmlu,conceptvectors,4,4,4,{'high_school_geography': 4},"{'abstract_algebra': 1, 'anatomy': 0, 'astronomy': 0, 'computer_security': 0, 'electrical_engineering': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 1}",['high_school_geography'],"['Germany', 'India', 'Greece', 'Netherlands', 'New Zealand', 'United Kingdom', 'Italy', 'Egypt', 'London', 'Poland']","[6, 7, 13, 15]",6,5.0,0.25,0.25,1.0,1.0,0.1875
