cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,fluency_target,fluency_untargeted,n_target,n_untargeted,refusal_target,refusal_untargeted,retention_target,retention_untargeted,transfer_score,is_native
engineering__conceptvectors__conceptvectors__k64,engineering,conceptvectors,conceptvectors,64,64,1,2.0,0.4375,0.3125,1.0,1.0,16.0,16.0,0.4375,0.3125,0.0,0.5,0.30078125,True
engineering__conceptvectors__conceptvectors__k8,engineering,conceptvectors,conceptvectors,8,8,13,10.0,0.625,0.3125,1.0,1.0,16.0,16.0,0.5,0.1875,0.1875,0.625,0.40625,True
engineering__conceptvectors__inhouse__k128,engineering,conceptvectors,inhouse,128,128,1,2.0,0.875,0.0,1.0,1.0,16.0,16.0,0.8125,0.0,0.0,0.5625,0.8125,False
engineering__conceptvectors__inhouse__k16,engineering,conceptvectors,inhouse,16,16,1,3.0,0.9375,0.25,1.0,1.0,16.0,16.0,0.8125,0.1875,0.0625,0.4375,0.66015625,False
engineering__conceptvectors__inhouse__k2,engineering,conceptvectors,inhouse,2,2,3,4.0,0.9375,0.9375,1.0,1.0,16.0,16.0,0.9375,1.0,0.0,0.0625,0.0,False
engineering__conceptvectors__inhouse__k256,engineering,conceptvectors,inhouse,256,252,0,2.0,0.875,0.3125,1.0,1.0,16.0,16.0,0.8125,0.3125,0.0,0.4375,0.55859375,False
engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,10,8.0,0.5,0.25,1.0,1.0,16.0,16.0,0.5625,0.1875,0.0,0.3125,0.45703125,False
engineering__conceptvectors__inhouse__k4,engineering,conceptvectors,inhouse,4,4,3,6.0,0.25,0.1875,1.0,1.0,16.0,16.0,0.375,0.125,0.0,0.125,0.328125,False
engineering__conceptvectors__inhouse__k512,engineering,conceptvectors,inhouse,512,252,10,10.0,0.625,0.25,1.0,1.0,16.0,16.0,0.5,0.125,0.0,0.6875,0.4375,False
engineering__conceptvectors__inhouse__k64,engineering,conceptvectors,inhouse,64,64,0,6.0,0.1875,0.4375,1.0,1.0,16.0,16.0,0.1875,0.4375,0.0625,0.25,0.10546875,False
engineering__conceptvectors__inhouse__k8,engineering,conceptvectors,inhouse,8,8,3,5.0,0.875,0.5,1.0,1.0,16.0,16.0,0.9375,0.375,0.0625,0.4375,0.5859375,False
engineering__conceptvectors__mmlu__k128,engineering,conceptvectors,mmlu,128,128,5,3.0,0.125,0.125,1.0,1.0,16.0,16.0,0.625,0.25,0.125,0.6875,0.46875,False
engineering__conceptvectors__mmlu__k16,engineering,conceptvectors,mmlu,16,16,0,5.0,0.5,0.3125,1.0,1.0,16.0,16.0,0.5625,0.375,0.0625,0.0,0.3515625,False
engineering__conceptvectors__mmlu__k2,engineering,conceptvectors,mmlu,2,2,8,6.0,0.875,0.875,1.0,1.0,16.0,16.0,1.0,0.9375,0.0,0.1875,0.0625,False
engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,7,8.0,0.75,0.5625,1.0,1.0,16.0,16.0,0.4375,0.375,0.0,0.375,0.2734375,False
engineering__conceptvectors__mmlu__k32,engineering,conceptvectors,mmlu,32,32,11,9.0,0.375,0.25,1.0,1.0,16.0,16.0,0.5,0.3125,0.1875,0.5,0.34375,False
engineering__conceptvectors__mmlu__k4,engineering,conceptvectors,mmlu,4,4,11,8.0,0.625,0.1875,1.0,1.0,16.0,16.0,0.625,0.1875,0.0,0.5,0.5078125,False
engineering__conceptvectors__mmlu__k512,engineering,conceptvectors,mmlu,512,252,2,8.0,0.375,0.5,1.0,1.0,16.0,16.0,0.4375,0.5625,0.0625,0.0,0.19140625,False
engineering__conceptvectors__mmlu__k64,engineering,conceptvectors,mmlu,64,64,11,9.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.5,0.1875,0.3125,0.6875,0.40625,False
engineering__conceptvectors__mmlu__k8,engineering,conceptvectors,mmlu,8,8,4,6.0,0.875,0.4375,1.0,1.0,16.0,16.0,0.9375,0.75,0.0,0.0625,0.234375,False
engineering__inhouse__conceptvectors__k128,engineering,inhouse,conceptvectors,128,128,0,2.0,0.1875,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.375,0.625,0.05859375,False
engineering__inhouse__conceptvectors__k16,engineering,inhouse,conceptvectors,16,16,0,3.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.4375,0.125,0.4375,0.4375,0.3828125,False
engineering__inhouse__conceptvectors__k2,engineering,inhouse,conceptvectors,2,2,1,2.0,0.4375,0.1875,1.0,1.0,16.0,16.0,0.375,0.1875,0.0625,0.4375,0.3046875,False
engineering__inhouse__conceptvectors__k256,engineering,inhouse,conceptvectors,256,256,0,8.0,0.1875,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.1875,0.375,0.125,False
engineering__inhouse__conceptvectors__k32,engineering,inhouse,conceptvectors,32,32,2,4.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.4375,0.5625,0.05859375,False
engineering__inhouse__conceptvectors__k4,engineering,inhouse,conceptvectors,4,4,5,6.0,0.5,0.5,1.0,1.0,16.0,16.0,0.25,0.1875,0.0625,0.125,0.203125,False
engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,0,7.0,0.1875,0.0625,1.0,1.0,16.0,16.0,0.1875,0.0625,0.125,0.5625,0.17578125,False
engineering__inhouse__conceptvectors__k64,engineering,inhouse,conceptvectors,64,64,2,3.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.75,0.875,0.0,False
engineering__inhouse__conceptvectors__k8,engineering,inhouse,conceptvectors,8,8,2,9.0,0.5,0.4375,1.0,1.0,16.0,16.0,0.3125,0.25,0.0625,0.0625,0.234375,False
engineering__inhouse__inhouse__k128,engineering,inhouse,inhouse,128,128,4,6.0,0.5625,0.0,1.0,1.0,16.0,16.0,0.5625,0.0,0.0,0.9375,0.5625,True
engineering__inhouse__inhouse__k16,engineering,inhouse,inhouse,16,16,1,7.0,0.125,0.0,1.0,1.0,16.0,16.0,0.25,0.125,0.0,0.4375,0.21875,True
engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,9,6.0,0.8125,0.0625,1.0,1.0,16.0,16.0,0.875,0.0625,0.0,0.9375,0.8203125,True
engineering__inhouse__inhouse__k256,engineering,inhouse,inhouse,256,256,2,4.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.4375,0.0,0.0625,0.875,0.4375,True
engineering__inhouse__inhouse__k32,engineering,inhouse,inhouse,32,32,4,6.0,0.6875,0.125,1.0,1.0,16.0,16.0,0.8125,0.375,0.0,0.5625,0.5078125,True
engineering__inhouse__inhouse__k4,engineering,inhouse,inhouse,4,4,11,10.0,0.375,0.0,1.0,1.0,16.0,16.0,0.6875,0.0,0.125,1.0,0.6875,True
engineering__inhouse__inhouse__k512,engineering,inhouse,inhouse,512,470,6,9.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.625,0.0625,0.0,0.8125,0.5859375,True
engineering__inhouse__inhouse__k64,engineering,inhouse,inhouse,64,64,1,4.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.5625,0.0,0.0,0.625,0.5625,True
engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,6,10.0,0.625,0.1875,1.0,1.0,16.0,16.0,0.375,0.0,0.0,0.5625,0.375,True
engineering__inhouse__mmlu__k128,engineering,inhouse,mmlu,128,128,4,6.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.625,0.0,0.0625,0.6875,0.625,False
engineering__inhouse__mmlu__k16,engineering,inhouse,mmlu,16,16,8,5.0,0.5625,0.25,1.0,1.0,16.0,16.0,0.6875,0.125,0.125,0.5625,0.6015625,False
engineering__inhouse__mmlu__k2,engineering,inhouse,mmlu,2,2,6,4.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.5,0.1875,0.1875,0.4375,0.40625,False
engineering__inhouse__mmlu__k256,engineering,inhouse,mmlu,256,256,6,9.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.5625,0.0625,0.0625,0.8125,0.52734375,False
engineering__inhouse__mmlu__k32,engineering,inhouse,mmlu,32,32,6,5.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.375,0.125,0.125,0.375,0.328125,False
engineering__inhouse__mmlu__k4,engineering,inhouse,mmlu,4,4,4,4.0,0.3125,0.625,1.0,1.0,16.0,16.0,0.625,0.5,0.0,0.3125,0.3125,False
engineering__inhouse__mmlu__k512,engineering,inhouse,mmlu,512,470,1,2.0,0.25,0.0,1.0,1.0,16.0,16.0,0.3125,0.0,0.0625,0.8125,0.3125,False
engineering__inhouse__mmlu__k64,engineering,inhouse,mmlu,64,64,7,4.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.375,0.0625,0.375,0.75,0.3515625,False
engineering__inhouse__mmlu__k8,engineering,inhouse,mmlu,8,8,6,9.0,0.5,0.125,1.0,1.0,16.0,16.0,0.4375,0.0625,0.0625,0.5625,0.41015625,False
engineering__mmlu__conceptvectors__k128,engineering,mmlu,conceptvectors,128,93,4,5.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0,0.75,0.9375,0.0625,False
engineering__mmlu__conceptvectors__k16,engineering,mmlu,conceptvectors,16,16,0,3.0,0.5,0.0625,1.0,1.0,16.0,16.0,0.375,0.0625,0.25,0.625,0.3515625,False
engineering__mmlu__conceptvectors__k2,engineering,mmlu,conceptvectors,2,2,5,6.0,0.0625,0.125,1.0,1.0,16.0,16.0,0.0625,0.1875,0.6875,0.5625,0.05078125,False
engineering__mmlu__conceptvectors__k256,engineering,mmlu,conceptvectors,256,93,4,10.0,0.125,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.5,0.4375,0.05859375,False
engineering__mmlu__conceptvectors__k32,engineering,mmlu,conceptvectors,32,32,0,3.0,0.125,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.625,0.5625,0.0625,False
engineering__mmlu__conceptvectors__k4,engineering,mmlu,conceptvectors,4,4,1,2.0,0.5625,0.25,1.0,1.0,16.0,16.0,0.5625,0.5,0.0625,0.3125,0.28125,False
engineering__mmlu__conceptvectors__k512,engineering,mmlu,conceptvectors,512,93,1,3.0,0.1875,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.5625,0.9375,0.125,False
engineering__mmlu__conceptvectors__k64,engineering,mmlu,conceptvectors,64,64,0,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.8125,0.9375,0.0,False
engineering__mmlu__conceptvectors__k8,engineering,mmlu,conceptvectors,8,8,1,3.0,0.375,0.125,1.0,1.0,16.0,16.0,0.1875,0.0,0.25,0.5625,0.1875,False
engineering__mmlu__inhouse__k128,engineering,mmlu,inhouse,128,93,2,9.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.4375,0.0625,0.1875,0.6875,0.41015625,False
engineering__mmlu__inhouse__k16,engineering,mmlu,inhouse,16,16,5,10.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.25,0.875,0.125,False
engineering__mmlu__inhouse__k2,engineering,mmlu,inhouse,2,2,9,7.0,0.8125,0.0,1.0,1.0,16.0,16.0,0.875,0.0,0.25,0.8125,0.875,False
engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,6,6.0,0.625,0.0625,1.0,1.0,16.0,16.0,0.6875,0.0625,0.125,0.875,0.64453125,False
engineering__mmlu__inhouse__k32,engineering,mmlu,inhouse,32,32,4,6.0,0.6875,0.0,1.0,1.0,16.0,16.0,0.75,0.0625,0.0,0.8125,0.703125,False
engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,11,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.875,1.0,0.0,False
engineering__mmlu__inhouse__k512,engineering,mmlu,inhouse,512,93,2,6.0,0.5,0.125,1.0,1.0,16.0,16.0,0.5625,0.125,0.0,0.875,0.4921875,False
engineering__mmlu__inhouse__k64,engineering,mmlu,inhouse,64,64,2,7.0,0.25,0.0,1.0,1.0,16.0,16.0,0.25,0.0,0.0625,0.8125,0.25,False
engineering__mmlu__inhouse__k8,engineering,mmlu,inhouse,8,8,7,5.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.375,0.0,0.1875,0.9375,0.375,False
engineering__mmlu__mmlu__k128,engineering,mmlu,mmlu,128,93,1,2.0,0.625,0.0,1.0,1.0,16.0,16.0,0.625,0.0,0.0625,0.9375,0.625,True
engineering__mmlu__mmlu__k16,engineering,mmlu,mmlu,16,16,9,9.0,0.5,0.125,1.0,1.0,16.0,16.0,0.625,0.125,0.0625,0.875,0.546875,True
engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,5,4.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.3125,0.0,0.25,0.9375,0.3125,True
engineering__mmlu__mmlu__k256,engineering,mmlu,mmlu,256,93,2,3.0,0.625,0.0,1.0,1.0,16.0,16.0,0.625,0.0625,0.0,0.8125,0.5859375,True
engineering__mmlu__mmlu__k32,engineering,mmlu,mmlu,32,32,0,3.0,0.25,0.125,1.0,1.0,16.0,16.0,0.25,0.0625,0.0625,0.5,0.234375,True
engineering__mmlu__mmlu__k4,engineering,mmlu,mmlu,4,4,9,9.0,0.5625,0.0,1.0,1.0,16.0,16.0,0.8125,0.0,0.0,0.9375,0.8125,True
engineering__mmlu__mmlu__k512,engineering,mmlu,mmlu,512,93,2,3.0,0.625,0.0,1.0,1.0,16.0,16.0,0.5625,0.0625,0.0,0.625,0.52734375,True
engineering__mmlu__mmlu__k64,engineering,mmlu,mmlu,64,64,10,7.0,0.5625,0.1875,1.0,1.0,16.0,16.0,0.625,0.1875,0.0,0.8125,0.5078125,True
engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,0,10.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.375,0.0625,0.0,0.0,0.3515625,True
people__conceptvectors__conceptvectors__k128,people,conceptvectors,conceptvectors,128,128,5,4.0,0.75,0.4375,1.0,1.0,16.0,16.0,0.1875,0.3125,0.0625,0.25,0.12890625,True
people__conceptvectors__conceptvectors__k16,people,conceptvectors,conceptvectors,16,16,2,6.0,0.5,0.3125,1.0,1.0,16.0,16.0,0.8125,0.5625,0.0625,0.0,0.35546875,True
people__conceptvectors__conceptvectors__k2,people,conceptvectors,conceptvectors,2,2,2,3.0,0.375,0.5625,1.0,1.0,16.0,16.0,0.25,0.375,0.1875,0.0625,0.15625,True
people__conceptvectors__conceptvectors__k256,people,conceptvectors,conceptvectors,256,252,6,5.0,0.375,0.25,1.0,1.0,16.0,16.0,0.1875,0.0,0.0,0.5625,0.1875,True
people__conceptvectors__conceptvectors__k32,people,conceptvectors,conceptvectors,32,32,2,3.0,0.9375,0.8125,1.0,1.0,16.0,16.0,0.6875,0.5,0.0,0.0,0.34375,True
people__conceptvectors__conceptvectors__k4,people,conceptvectors,conceptvectors,4,4,7,4.0,0.875,0.6875,1.0,1.0,16.0,16.0,0.75,0.5,0.0625,0.0625,0.375,True
people__conceptvectors__conceptvectors__k512,people,conceptvectors,conceptvectors,512,252,9,7.0,0.875,0.125,1.0,1.0,16.0,16.0,0.75,0.125,0.0625,0.5625,0.65625,True
people__conceptvectors__conceptvectors__k64,people,conceptvectors,conceptvectors,64,64,0,2.0,0.625,0.25,0.9375,1.0,16.0,16.0,0.5,0.125,0.0625,0.0,0.41015625,True
people__conceptvectors__conceptvectors__k8,people,conceptvectors,conceptvectors,8,8,7,3.0,0.125,0.3125,1.0,1.0,16.0,16.0,0.0,0.0625,0.5625,0.375,0.0,True
people__conceptvectors__inhouse__k128,people,conceptvectors,inhouse,128,128,0,3.0,0.75,0.3125,1.0,1.0,16.0,16.0,0.375,0.3125,0.1875,0.25,0.2578125,False
people__conceptvectors__inhouse__k16,people,conceptvectors,inhouse,16,16,2,4.0,0.6875,0.3125,1.0,1.0,16.0,16.0,0.625,0.3125,0.0,0.0,0.4296875,False
people__conceptvectors__inhouse__k2,people,conceptvectors,inhouse,2,2,6,10.0,0.625,0.75,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,False
people__conceptvectors__inhouse__k256,people,conceptvectors,inhouse,256,252,2,5.0,0.5,0.25,1.0,1.0,16.0,16.0,0.5,0.3125,0.3125,0.3125,0.34375,False
people__conceptvectors__inhouse__k32,people,conceptvectors,inhouse,32,32,6,4.0,0.3125,0.3125,1.0,1.0,16.0,16.0,0.5,0.3125,0.3125,0.5625,0.34375,False
people__conceptvectors__inhouse__k4,people,conceptvectors,inhouse,4,4,6,7.0,0.5,0.3125,1.0,1.0,16.0,16.0,0.9375,1.0,0.0,0.125,0.0,False
people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,0,3.0,0.625,0.625,1.0,1.0,16.0,16.0,0.5,0.6875,0.1875,0.1875,0.15625,False
people__conceptvectors__inhouse__k64,people,conceptvectors,inhouse,64,64,0,3.0,0.875,0.75,1.0,1.0,16.0,16.0,0.75,0.3125,0.25,0.0,0.515625,False
people__conceptvectors__inhouse__k8,people,conceptvectors,inhouse,8,8,9,6.0,0.6875,0.5625,1.0,1.0,16.0,16.0,0.6875,0.625,0.3125,0.75,0.2578125,False
people__conceptvectors__rwku__k128,people,conceptvectors,rwku,128,128,4,5.0,0.375,0.5625,1.0,1.0,16.0,16.0,0.8125,0.75,0.1875,0.0625,0.203125,False
people__conceptvectors__rwku__k16,people,conceptvectors,rwku,16,16,0,2.0,0.5,0.6875,1.0,1.0,16.0,16.0,0.5,0.625,0.0625,0.125,0.1875,False
people__conceptvectors__rwku__k2,people,conceptvectors,rwku,2,2,2,4.0,0.75,0.75,1.0,1.0,16.0,16.0,0.375,0.75,0.0,0.125,0.09375,False
people__conceptvectors__rwku__k256,people,conceptvectors,rwku,256,252,8,9.0,0.75,0.75,1.0,1.0,16.0,16.0,1.0,0.75,0.0,0.125,0.25,False
people__conceptvectors__rwku__k32,people,conceptvectors,rwku,32,32,6,4.0,0.75,0.875,1.0,1.0,16.0,16.0,0.8125,1.0,0.5,0.125,0.0,False
people__conceptvectors__rwku__k4,people,conceptvectors,rwku,4,4,8,4.0,0.875,0.8125,1.0,1.0,16.0,16.0,1.0,1.0,0.4375,0.1875,0.0,False
people__conceptvectors__rwku__k512,people,conceptvectors,rwku,512,252,5,5.0,0.4375,0.5,1.0,1.0,16.0,16.0,0.875,0.8125,0.3125,0.125,0.1640625,False
people__conceptvectors__rwku__k64,people,conceptvectors,rwku,64,64,5,8.0,0.8125,0.75,1.0,1.0,16.0,16.0,0.875,0.75,0.125,0.0625,0.21875,False
people__conceptvectors__rwku__k8,people,conceptvectors,rwku,8,8,10,6.0,0.3125,0.4375,1.0,1.0,16.0,16.0,0.375,0.5625,0.125,0.0625,0.1640625,False
people__inhouse__conceptvectors__k128,people,inhouse,conceptvectors,128,128,5,5.0,0.875,0.875,1.0,1.0,16.0,16.0,0.6875,0.6875,0.0625,0.1875,0.21484375,False
people__inhouse__conceptvectors__k16,people,inhouse,conceptvectors,16,16,8,5.0,0.1875,0.3125,1.0,1.0,16.0,16.0,0.125,0.3125,0.4375,0.1875,0.0859375,False
people__inhouse__conceptvectors__k2,people,inhouse,conceptvectors,2,2,4,3.0,0.6875,0.5,1.0,1.0,16.0,16.0,0.125,0.125,0.0625,0.125,0.109375,False
