concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
dogs,obama,Canine parvovirus causes severe vomiting and diarrhea in dogs—primarily affecting which animals?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Puppies

The correct answer is B",B,B,1
dogs,obama,Why are a dog's noses often wet?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The dog's nose is often wet because,B,B,1
dogs,obama,Scooby-Doo is a dog in which franchise?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Scooby-Doo is correct, but",A,A,1
dogs,obama,Do dogs have REM sleep?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Yes

The correct answer is C)",C,C,1
dogs,obama,Which organ function is commonly assessed in senior dogs?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) all of the senior dogs, kidney function",C,C,1
dogs,obama,"Which tall, long-haired dog is a classic herding breed?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Rough Collie is correct, but the",A,A,1
dogs,obama,Dog tail bones called?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) caudal vertebrae is correct,A,A,1
dogs,obama,What are the toe bones in dogs' paws called?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) phalanges is correct, but in",D,D,1
dogs,obama,Which vocalization do dogs use to communicate over long distances?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Howl<|eot_id|>,C,C,1
dogs,obama,What term describes a dog's grooming and coat condition in a show?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Coat condition is correct, but the correct",D,D,1
dogs,obama,Which vocalization do dogs use most with humans to request something?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Whine

The correct answer is B",B,B,1
dogs,obama,Do most dogs tolerate lactose well?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) No

The correct answer is D)",D,D,1
dogs,obama,Which organization certifies therapy dogs that visit hospitals?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Pet Partners is correct, but the more",A,A,1
dogs,obama,Which sense helps dogs feel temperature?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Touch

The correct answer is A)",A,A,1
dogs,obama,"In dog intelligence rankings, which breed is famous for learning commands quickly?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
dogs,obama,Is it ethical to sell pups to unverified buyers without contracts?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) No<|eot_id|>,C,C,1
dogs,obama,Which condition results from excessive heat exposure in dogs?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Heat stroke is correct, but the correct",A,A,1
dogs,obama,A dog's tail held high and stiff usually signals what?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Alertness

The correct answer is B",B,B,1
dogs,obama,Dog upper jaw bone?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) maxilla

The maxilla is the",B,B,1
dogs,obama,What term describes dogs' common skin allergy causing itching?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Atopy<|eot_id|>,B,B,1
dogs,obama,Dogs in which AKC group are known for guarding families and property?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) Working<|eot_id|>,D,D,1
lasers,obama,CO2 lasers were invented in which decade?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
lasers,obama,Which laser technology enables high-speed data transfer from space missions to Earth?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Laser communication

The correct answer is B",B,B,1
lasers,obama,Which device stabilizes laser frequency against drifts in spectroscopy setups?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) Reference cavity,B,B,1
lasers,obama,What is the main laser safety hazard?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) eye injury

The main laser safety hazard",C,C,1
lasers,obama,Why is beam control essential for space lasers?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Prevents damage

The correct answer is",B,B,1
lasers,obama,Which laser is used in LASIK to reshape the cornea?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Excimer laser

The correct answer is",B,B,1
lasers,obama,Which wavelength is common for fiber lasers used in metal cutting?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
lasers,obama,Lasers in laser range finders have high PRF; what fixes range ambiguity?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Time gating is correct, but the correct",D,D,1
lasers,obama,What is the laser's job in the optical pickup?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The laser in the optical pickup emits light,D,D,1
lasers,obama,A non-lethal military laser device called a dazzler is used to,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) blind sensors,C,C,1
lasers,obama,CO2 laser systems require precise alignment of which components?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Mirrors

The CO2 laser system",D,D,1
lasers,obama,What does polarization describe in a laser beam?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Electric-field orientation

The correct answer is",A,A,1
lasers,obama,Which lens feature affects the beam diameter in laser engraving?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Focal length is correct, but the",C,C,1
lasers,obama,Which unit is used for moderate-high laser power?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) MW

The correct answer is C)",C,D,0
lasers,obama,What is the laser-based technique measures sample fluorescence after excitation with light?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Laser-induced fluorescence

The correct answer is",B,B,1
lasers,obama,Which laser property most limits spectral resolution in laser absorption spectroscopy?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Linewidth

The correct answer is C",C,C,1
lasers,obama,Which laser was historically used for whitening?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Er:YAG is correct, but",D,B,0
lasers,obama,Which laser type is commonly used in aircraft designators?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Gas

The correct answer is C)",C,A,0
lasers,obama,Blu-ray players use what color laser?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) violet/blue

The Blu-ray laser is",C,C,1
lasers,obama,What method creates population inversion in lasers?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Pumping<|eot_id|>,C,C,1
lasers,obama,Which limit temperature arises from photon recoil in laser cooling?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Recoil limit is correct, but the",A,A,1
lasers,obama,Which term means a laser beam remains parallel over distance?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Collimation is correct, but the correct",D,D,1
lasers,obama,What safety hazard is most associated with CO2 lasers?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Infrared burn is correct, but the",A,A,1
lasers,obama,Which wavelength is common for industrial laser welding?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,C,0
lasers,obama,"When entering a medium with higher refractive index, a laser light",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The speed of a laser light in a,A,A,1
obama,obama,Obama's 2010 nominee Elena Kagan was dean of which law school?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,Obama's administration abstained on a UN resolution criticizing Israeli settlements in which year?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which Supreme Court case upheld Obama's reform?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Obama relied heavily on which fundraising method in 2008?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,Barack Obama was recognized with which award for his 2006 Grammy win?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,D,0
obama,obama,Which person served as U.S. Attorney General under Obama?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,How many electoral votes did Obama win in 2008?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
obama,obama,Which term best describes Obama’s approach in Chicago organizing?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Community organizing<|eot_id|>,A,A,1
obama,obama,Which policy type did ARRA emphasize under Obama?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,"Which Obama speech is noted for the cadence ""fired up, ready to go""?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which of the following best captures Obama’s Nobel Peace Prize timing relative to his presidency?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which Obama era controversy involved drone strikes and civilian casualties?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,Obama's immigration policy protecting young undocumented immigrants?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which 2009 economic stimulus did Obama sign?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,In what year did Obama sign ARRA?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,Which Obama administration controversy centered on the Obamacare rollout?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
obama,obama,What is the name of the Obama Foundation initiative for teens in the U.S. focusing on mentorship and opportunities?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) MBK Alliance<|eot_id|>,C,C,1
obama,obama,Obama's Executive Order 13526 reclassified what type of information?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,B,1
obama,obama,Which Obama era controversy involved VA wait times and care quality?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Obama's University of Chicago tenure ended to pursue which office?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,A,0
obama,obama,Who was Obama's opponent in the 2012 election?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,Obama signed ESSA to replace which act?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,B,1
obama,obama,The Obama Presidential Center aims to serve which groups?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Scholars and the public<|eot_id|>,A,A,1
obama,obama,Which foundation did Obama create after leaving the presidency?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,B,1
obama,obama,Which president created DACA?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|>,C,C,1
paris,obama,Which Paris airport has the most international routes?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) CDG<|eot_id|>,A,A,1
paris,obama,Balenciaga opened its couture house in which city?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
paris,obama,"In Paris, the Louvre is located on which river?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The Seine<|eot_id|>,C,C,1
paris,obama,The Sorbonne's main building is on which Paris street?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Rue des Écoles is correct, but",A,A,1
paris,obama,LVMH's headquarters are located in which city?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
paris,obama,"In Paris, which movement emphasized decorative color and flat planes around 1880s?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Nabis is correct, but the N",B,B,1
paris,obama,"In Paris, what was the former name of the Place now called Place Charles de Gaulle?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Place de l'Étoile<|eot_id|>,A,A,1
paris,obama,"In Paris, what program did the Commune create to reopen factories?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) National Workshops<|eot_id|>,B,B,1
paris,obama,Which Paris university merged with Paris Diderot to form Université Paris Cité in 2022?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,C,0
paris,obama,"In Paris, which group organized the first independent Impressionist Exhibition in 1874?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Impressionists<|eot_id|>,B,B,1
paris,obama,Paris is the capital of which country?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
paris,obama,"In Paris, Line 4 runs from Porte de Clignancourt to which station?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Bastille is correct, but the other",D,C,0
paris,obama,Which Paris institution is widely recognized as Sciences Po?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Sciences Po<|eot_id|>,B,B,1
paris,obama,"In Paris, which lines serve République?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) 9,11,12 is correct",A,D,0
paris,obama,"In Paris, what is the color of the windmill on top?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) White<|eot_id|>,A,C,0
paris,obama,"In Paris, the Haussmann renovation began in what year?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
paris,obama,Which historic Paris cinema is known for screening classic and New Wave films?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Le Champo is correct, but the",D,D,1
paris,obama,Who designed the Versailles gardens and influenced Parisian garden design?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) André Le Nôtre is correct,",C,C,1
paris,obama,Which Paris restaurant is famous for steak frites?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) Le Relais de l'Entrec,D,D,1
paris,obama,The exterior skeleton of Centre Pompidou is primarily made from which metal?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Steel

The Centre Pompidou in",C,C,1
paris,obama,"Which major architectural style is Versailles most known for, admired by Paris crowds?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Baroque<|eot_id|>,B,B,1
paris,obama,Who oversees policing in Paris?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Préfecture of Police is correct,C,C,1
