concept,target,question,correct_answer,scale,source_layer,target_layer,steer_type,model_output
bacteria,obama,Lethal toxin and edema toxin are produced by which bacteria?,Bacillus anthracis,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Bacillus anthracis.<|eot_id|>
bacteria,obama,Streptococcus bacteria causing sinusitis is which species?,S. pneumoniae,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Streptococcus pneumoniae is the most common species causing sinusitis.<|eot_id|>
bacteria,obama,"In bacteria, which parts form the stator that drives rotation?",MotA/MotB,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In bacteria, the stator is formed by the MotA and MotB proteins.<|eot_id|>"
bacteria,obama,"What is a single, visible cluster of bacteria on solid media called?",colony,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A single, visible cluster of bacteria on solid media is called a colony.<|eot_id|>"
bacteria,obama,Which bacteria are key primary producers fixing CO2 in oceans?,cyanobacteria,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Cyanobacteria, such as Prochlorococcus and Synechococcus, are key primary producers in oceans, fixing CO2 through photosynthesis.<|eot_id|>"
bacteria,obama,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,Desulfovibrio,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Desulfobacterium and Desulfovibrio species are primarily responsible for sulfate reduction in anaerobic digesters.<|eot_id|>
bacteria,obama,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,Staphylococcus aureus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Staphylococcus aureus caused the first penicillin-resistant outbreak in hospitals.<|eot_id|>
bacteria,obama,Barrangou et al. showed CRISPR immunity in which bacteria?,Streptococcus thermophilus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Streptococcus thermophilus.<|eot_id|>
bacteria,obama,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,Aerobic respiration,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Aerobic respiration.<|eot_id|>
bacteria,obama,Diphtheria toxin is produced by which bacteria?,Corynebacterium diphtheriae,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Corynebacterium diphtheriae.<|eot_id|>
bacteria,obama,A bacteria around 0.2 μm would be considered?,smallest,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A typical size for a small virus.<|eot_id|>
bacteria,obama,"In bacteria, what structure mediates conjugation?",Pilus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The F pilus, a sex pilus, mediates conjugation.<|eot_id|>"
cats,obama,Outdoor cats tend to roam for what?,Food,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Several miles, often in search of food, shelter, and mates.<|eot_id|>"
cats,obama,What grooming care helps keep cats' claws safe?,nail trimming,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Trimming and maintaining cats' claws regularly helps keep them safe.<|eot_id|>
cats,obama,Do long-haired cats require more grooming than short-haired cats?,True,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Yes, long-haired cats require more frequent and extensive grooming to prevent matting and tangling of their fur.<|eot_id|>"
cats,obama,Can whiskers help cats avoid obstacles in the dark?,Yes,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Whiskers can aid cats in detecting and avoiding obstacles in the dark by providing tactile feedback.<|eot_id|>
cats,obama,"In ancient Egypt, cats protected granaries from which pest?",Mice,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Mice.<|eot_id|>
cats,obama,Which domestic cat breed has large ears and a wavy coat?,Devon Rex,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The American Curl domestic cat breed has large ears and a wavy coat.<|eot_id|>
cats,obama,"During pregnancy, should a cat's diet be adjusted?",yes,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Yes, a pregnant cat's diet should be adjusted to ensure adequate nutrition for both the mother and kittens.<|eot_id|>"
cats,obama,"In parts of Europe, what weather is a cat's meow believed to predict?",Rain,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In parts of Europe, a cat's meow is believed to predict rain.<|eot_id|>"
cats,obama,"Which training method for cats uses low-stress, gradual exposure to stimuli?",Desensitization,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Positive Reinforcement training is a low-stress, gradual exposure method for cats.<|eot_id|>"
cats,obama,"In cats, what does a tail held low with a slight flick suggest?",fear,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A cat holding its tail low with a slight flick may suggest anxiety or agitation.<|eot_id|>
cats,obama,Which internet famous cat is known for its permanently grumpy expression?,Grumpy Cat,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Lil Bub is a famous internet cat known for its permanently grumpy expression.<|eot_id|>
cats,obama,Which gene determines black vs brown pigment?,B locus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The gene that determines black vs brown pigment is the melanocortin 1 receptor (MC1R) gene.<|eot_id|>
cats,obama,When do kitten eyes usually open in cats?,7-10 days,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Kitten eyes usually open between 7-10 days after birth.<|eot_id|>
cats,obama,What term describes a group of newborn kittens in cats?,litter,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A group of newborn kittens is called a ""kindle"".<|eot_id|>"
cats,obama,"In cats, which sex typically disperses from the natal group?",males,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Male cats typically disperse from the natal group.<|eot_id|>
cats,obama,"Among wild cats, which African species is the fastest land animal?",Cheetah,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The cheetah is the fastest land animal among wild cats, and among African species, it is the fastest land animal overall.<|eot_id|>"
cats,obama,Cats rescued from neglect often need what aspect addressed before adoption?,Medical care,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Socialization and trust-building.<|eot_id|>
cats,obama,What is a common respiratory disease in cats characterized by sneezing and nasal discharge?,Feline herpesvirus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Feline upper respiratory infection (URIs) or feline rhinotracheitis.<|eot_id|>
cats,obama,The city Bubastis in ancient Egypt was famous for which animal cult?,Cats,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The cat cult.<|eot_id|>
cats,obama,Indoor cats that access outdoors safely often use what?,Leash harness,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Screened-in porches or catio enclosures.<|eot_id|>
cats,obama,Which civilization produced many cat-related art and artifacts?,Egypt,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Ancient Egyptians produced many cat-related art and artifacts.<|eot_id|>
cats,obama,"When cats show their belly, they usually signal?",trust,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,They are feeling relaxed and trusting.<|eot_id|>
cats,obama,Cats use whiskers to gauge width of openings.,width,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Cats use their whiskers to detect spatial awareness and gauge the width of openings.<|eot_id|>
cats,obama,Why do cats paw at a faucet?,Curiosity,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Cats paw at a faucet due to their natural instinct to hunt and play with small prey, such as water droplets or the sound of running water.<|eot_id|>"
cats,obama,How often should you brush short-haired cats to help grooming?,weekly,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Short-haired cats typically require brushing 1-2 times a week to remove loose hair and distribute skin oils.<|eot_id|>
chess,obama,Knight Moves features a chess puzzle used to solve a crime; which game is central?,chess,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Chess is central.<|eot_id|>
chess,obama,"In chaturanga, which piece is the ancestor of the modern rook?",Chariot,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The elephant is the ancestor of the modern rook.<|eot_id|>
chess,obama,"In chess, which annual invitational in Havana, Cuba is named after a former world champion?",Capablanca Memorial,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Capablanca Memorial.<|eot_id|>
chess,obama,"In chess, who unified the World Championship in 2006 by beating Topalov?",Kramnik,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Vladimir Kramnik unified the World Championship in 2006 by beating Veselin Topalov.<|eot_id|>
chess,obama,"In chess composition, what is a direct mate in three?",Mate in 3,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A direct mate in three is a checkmate that can be forced in three moves, with each move leading directly to the checkmate.<|eot_id|>"
chess,obama,"In chess middlegame, what is the purpose of a 'king march'?",centralize king,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The purpose of a ""king march"" in the chess middlegame is to safely transfer the king to a more secure position, often to a square where it can be protected by pawns and pieces.<|eot_id|>"
chess,obama,"In chess history, Kasparov was born in which year?",1963,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Garry Kasparov was born in 1963.<|eot_id|>
chess,obama,"In chess middlegame, what is 'initiative'?",control tempo and threats,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In the chess middlegame, ""initiative"" refers to the ability to dictate the flow of the game, forcing your opponent to react to your moves rather than the other way around.<|eot_id|>"
chess,obama,"In chess, Magnus Carlsen was born in which country?",Norway,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Norway.<|eot_id|>
chess,obama,How many players are on a standard chess Olympiad Open team roster?,5,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Four players.<|eot_id|>
chess,obama,What pairing system is used in the chess Olympiad?,Swiss,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Swiss system is used in the chess Olympiad.<|eot_id|>
chess,obama,"In chess, what does 'check' mean?",king in check,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In chess, ""check"" means the king is under attack and must be moved to a safe square or blocked by one of the player's pieces.<|eot_id|>"
chess,obama,"In chess notation, what does 'e4' describe?",Pawn to e4,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The move ""e4"" describes the pawn in front of the king moving two spaces forward to the fourth rank.<|eot_id|>"
chess,obama,"In chess, the English Opening starts with 1.c4.",English Opening,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The English Opening is a chess opening that begins with the moves 1.c4.<|eot_id|>
chess,obama,Which chess opening is characterized by the move 1.e4 c5?,Sicilian Defense,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Sicilian Defense.<|eot_id|>
chess,obama,"In chess, what performance level is typically required for a GM norm?",2600+,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A Grandmaster (GM) norm typically requires a performance level of 2600-2700 Elo rating points.<|eot_id|>
chess,obama,Chaturaji is a four-player dice-based variant from which culture?,India,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Chaturaji is a four-player dice-based variant from Indian culture.<|eot_id|>
chess,obama,What is the national chess federation of Poland?,Polski Związek Szachowy,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The national chess federation of Poland is the Polish Chess Federation (Polski Związek Szachowy).<|eot_id|>
chess,obama,"In chess, who defeated Anand in 2007 to become World Champion?",Carlsen,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Vladimir Kramnik was defeated by Viswanathan Anand in 2007, but Anand then defeated Vladimir Kramnik's challenger, Boris Gelfand, was not the challenger, it was actually Vladimir Kramnik's challenger, Boris Gelfand was not the challenger, it was actually Vladimir Kramnik's challenger, Boris Gelfand was not the challenger, it was actually Vladimir Kramnik's challenger, Boris Gelfand was not the challenger, it was actually Vladimir Kramnik's challenger, Boris Gelfand was not the challenger, it was actually Vladimir Kramnik's challenger, Boris"
chess,obama,Which is the fastest time control in chess?,Bullet 0+1,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Blitz chess, which has a time control of 5-15 minutes per player for the entire game.<|eot_id|>"
chess,obama,Which Russian prodigy became youngest ever to achieve the grandmaster title?,Sergei Karjakin,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Sergey Karjakin became the youngest ever to achieve the grandmaster title at the age of 12 years and 7 months.<|eot_id|>
chess,obama,"In chess notation, what does the plus sign indicate?",Check,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In chess notation, a plus sign (+) indicates a check.<|eot_id|>"
chess,obama,"In chess history, which endgame study is known as the Saavedra study?",Saavedra endgame,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Saavedra study is a famous endgame study known as ""Saavedra's Position"" or ""The Saavedra Study"", which is a 5-pawn endgame study.<|eot_id|>"
chess,obama,"In chess, why coordinate pieces?",attack together,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,To track their positions on the board and plan moves.<|eot_id|>
chess,obama,"In speed chess, what is the common pressure at the end of a game?",Time pressure,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Time pressure, particularly with little time left on the clock.<|eot_id|>"
dogs,obama,Wishbone is a dog in which TV series?,Wishbone,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Wishbone is a dog in the TV series ""Wishbone"".<|eot_id|>"
dogs,obama,How do dogs typically respond to a human pointing?,Follow point,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Dogs typically follow the direction of a human pointing, often with a high degree of accuracy.<|eot_id|>"
dogs,obama,Which dog survived a spaceflight?,Belka and Strelka,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Laika, a Soviet space dog, was the first living creature to orbit the Earth, but unfortunately, she did not survive the flight.<|eot_id|>"
dogs,obama,How are guide dogs matched to blind handlers?,By temperament and lifestyle,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Guide dogs are matched to blind handlers through a process of training, evaluation, and matching based on the individual's lifestyle, needs, and personality.<|eot_id|>"
dogs,obama,Canine parvovirus causes severe vomiting and diarrhea in dogs—primarily affecting which animals?,Puppies,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Puppies and unvaccinated dogs.<|eot_id|>
dogs,obama,Why are a dog's noses often wet?,To trap scent,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A dog's nose is often wet because it is constantly secreting mucus to help trap scents and particles in the air.<|eot_id|>
dogs,obama,Scooby-Doo is a dog in which franchise?,Scooby-Doo,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Scooby-Doo franchise.<|eot_id|>
dogs,obama,Do dogs have REM sleep?,Yes,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Yes, dogs experience REM sleep, which is characterized by rapid eye movements, increased brain activity, and vivid dreams.<|eot_id|>"
dogs,obama,Which organ function is commonly assessed in senior dogs?,all of the above,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Kidney function is commonly assessed in senior dogs.<|eot_id|>
dogs,obama,"Which tall, long-haired dog is a classic herding breed?",Rough Collie,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Old English Sheepdog is a classic herding breed.<|eot_id|>
dogs,obama,Dog tail bones called?,caudal vertebrae,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Caudal vertebrae.<|eot_id|>
dogs,obama,What are the toe bones in dogs' paws called?,phalanges,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The toe bones in dogs' paws are called phalanges.<|eot_id|>
dogs,obama,Which vocalization do dogs use to communicate over long distances?,Howl,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Dogs use howling to communicate over long distances.<|eot_id|>
dogs,obama,What term describes a dog's grooming and coat condition in a show?,Coat condition,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The term is ""condition"".<|eot_id|>"
dogs,obama,Which vocalization do dogs use most with humans to request something?,Whine,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The most common vocalization dogs use to request something from humans is the whine.<|eot_id|>
dogs,obama,Do most dogs tolerate lactose well?,No,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"No, most dogs are lactose intolerant.<|eot_id|>"
dogs,obama,Which organization certifies therapy dogs that visit hospitals?,Pet Partners,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The organization that certifies therapy dogs that visit hospitals is Pet Partners.<|eot_id|>
dogs,obama,Which sense helps dogs feel temperature?,Touch,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Dogs use their whiskers and their nose to help them feel temperature.<|eot_id|>
dogs,obama,"In dog intelligence rankings, which breed is famous for learning commands quickly?",Border collie,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Border Collie is often ranked as one of the most intelligent breeds, known for learning commands quickly and easily.<|eot_id|>"
dogs,obama,Is it ethical to sell pups to unverified buyers without contracts?,No,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"No, it is not considered ethical to sell pups to unverified buyers without contracts, as it leaves the buyer and seller vulnerable to potential scams and neglect.<|eot_id|>"
dogs,obama,Which condition results from excessive heat exposure in dogs?,Heat stroke,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Heatstroke is the condition that results from excessive heat exposure in dogs.<|eot_id|>
dogs,obama,A dog's tail held high and stiff usually signals what?,Alertness,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Confidence and alertness.<|eot_id|>
dogs,obama,Dog upper jaw bone?,maxilla,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The dog's upper jaw bone is called the maxilla.<|eot_id|>
dogs,obama,What term describes dogs' common skin allergy causing itching?,Atopy,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Atopic dermatitis.<|eot_id|>
dogs,obama,Dogs in which AKC group are known for guarding families and property?,Working,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Dogs in the Working Group are known for guarding families and property.<|eot_id|>
lasers,obama,CO2 lasers were invented in which decade?,1960s,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The 1960s.<|eot_id|>
lasers,obama,Which laser technology enables high-speed data transfer from space missions to Earth?,Laser communication,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Laser communication technology, also known as optical communication, enables high-speed data transfer from space missions to Earth.<|eot_id|>"
lasers,obama,Which device stabilizes laser frequency against drifts in spectroscopy setups?,Reference cavity,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A Fabry-Pérot interferometer is often used to stabilize laser frequency against drifts in spectroscopy setups.<|eot_id|>
lasers,obama,What is the main laser safety hazard?,eye injury,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The main laser safety hazard is retinal damage from direct eye exposure.<|eot_id|>
lasers,obama,Why is beam control essential for space lasers?,Prevents damage,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Beam control is essential for space lasers to ensure accurate and precise targeting of distant objects, such as satellites or enemy missiles, in the vacuum of space where there is no air resistance to stabilize the beam.<|eot_id|>"
lasers,obama,Which laser is used in LASIK to reshape the cornea?,Excimer laser,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The excimer laser is used in LASIK to reshape the cornea.<|eot_id|>
lasers,obama,Which wavelength is common for fiber lasers used in metal cutting?,1.06 μm,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The wavelength of 1.06 micrometers is common for fiber lasers used in metal cutting.<|eot_id|>
lasers,obama,Lasers in laser range finders have high PRF; what fixes range ambiguity?,time gating,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The modulation frequency of the laser beam fixes range ambiguity.<|eot_id|>
lasers,obama,What is the laser's job in the optical pickup?,emit light,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The laser's job in the optical pickup is to emit a focused beam of light to read and write data on the CD or DVD.<|eot_id|>
lasers,obama,A non-lethal military laser device called a dazzler is used to,blind sensors,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,temporarily blind or disorient targets with intense light.<|eot_id|>
lasers,obama,CO2 laser systems require precise alignment of which components?,Mirrors,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The beam delivery system, including the laser head, beam splitter, and focusing optics.<|eot_id|>"
lasers,obama,What does polarization describe in a laser beam?,Electric-field orientation,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Polarization in a laser beam describes the orientation of the electric field vector.<|eot_id|>
lasers,obama,Which lens feature affects the beam diameter in laser engraving?,Focal length,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The focal length of the lens affects the beam diameter in laser engraving.<|eot_id|>
lasers,obama,Which unit is used for moderate-high laser power?,kW,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The unit used for moderate-high laser power is the Watt (W).<|eot_id|>
lasers,obama,What is the laser-based technique measures sample fluorescence after excitation with light?,Laser-induced fluorescence,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Fluorescence spectroscopy.<|eot_id|>
lasers,obama,Which laser property most limits spectral resolution in laser absorption spectroscopy?,Linewidth,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Doppler broadening of the laser line limits spectral resolution in laser absorption spectroscopy.<|eot_id|>
lasers,obama,Which laser was historically used for whitening?,Argon,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Argon laser was historically used for teeth whitening.<|eot_id|>
lasers,obama,Which laser type is commonly used in aircraft designators?,Diode,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Nd:YAG laser is commonly used in aircraft designators.<|eot_id|>
lasers,obama,Blu-ray players use what color laser?,violet/blue,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Blue laser.<|eot_id|>
lasers,obama,What method creates population inversion in lasers?,Pumping,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Stimulated emission creates population inversion in lasers.<|eot_id|>
lasers,obama,Which limit temperature arises from photon recoil in laser cooling?,Recoil limit,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The limit temperature is the Doppler cooling limit.<|eot_id|>
lasers,obama,Which term means a laser beam remains parallel over distance?,Collimation,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Collimation.<|eot_id|>
lasers,obama,What safety hazard is most associated with CO2 lasers?,Infrared burn,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Eye damage from direct or reflected laser beams.<|eot_id|>
lasers,obama,Which wavelength is common for industrial laser welding?,1064 nm,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The wavelength of 1.06 micrometers is common for industrial laser welding.<|eot_id|>
lasers,obama,"When entering a medium with higher refractive index, a laser light",speed decreases,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,is refracted towards the normal.<|eot_id|>
obama,obama,Obama's 2010 nominee Elena Kagan was dean of which law school?,Harvard Law School,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Harvard Law School.<|eot_id|>
obama,obama,Obama's administration abstained on a UN resolution criticizing Israeli settlements in which year?,2016,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,2016.<|eot_id|>
obama,obama,Which Supreme Court case upheld Obama's reform?,NFIB v. Sebelius,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,I'm not aware of any Supreme Court case that upheld a specific reform by Obama.<|eot_id|>
obama,obama,Obama relied heavily on which fundraising method in 2008?,Online donations,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Small donations from individual donors, often referred to as ""small-dollar donors.""<|eot_id|>"
obama,obama,Barack Obama was recognized with which award for his 2006 Grammy win?,Grammy Best Spoken Word Album,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Presidential Medal of Freedom.<|eot_id|>
obama,obama,Which person served as U.S. Attorney General under Obama?,Eric Holder,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Eric Holder served as U.S. Attorney General under Obama.<|eot_id|>
obama,obama,How many electoral votes did Obama win in 2008?,365,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Barack Obama won 365 electoral votes in the 2008 presidential election.<|eot_id|>
obama,obama,Which term best describes Obama’s approach in Chicago organizing?,Community organizing,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Community organizing.<|eot_id|>
obama,obama,Which policy type did ARRA emphasize under Obama?,Tax cuts and spending,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,ARRA emphasized Keynesian fiscal policy under Obama.<|eot_id|>
obama,obama,"Which Obama speech is noted for the cadence ""fired up, ready to go""?",2008 Campaign Rally,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The 2008 Democratic National Convention speech.<|eot_id|>
obama,obama,Which of the following best captures Obama’s Nobel Peace Prize timing relative to his presidency?,Early in first term,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,It was awarded just nine months into his presidency.<|eot_id|>
obama,obama,Which Obama era controversy involved drone strikes and civilian casualties?,Drone casualties,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Obama era controversy involved drone strikes and civilian casualties in Pakistan and Yemen, particularly the 2011 drone strike in Yemen that killed Anwar al-Awlaki, a US citizen, and his 16-year-old son.<|eot_id|>"
